Name,Latitude,Longitude
"White Oak, MD",39.03983,-76.99303
"Dover, DE",39.15817,-75.52437
"Newark, DE",39.68372,-75.74966
"Wilmington, DE",39.74595,-75.54659
"Arvada, CO",39.80276,-105.08748
"Aurora, CO",39.72943,-104.83192
"Boulder, CO",40.01499,-105.27055
"Brighton, CO",39.98526,-104.82053
"Broomfield, CO",39.92054,-105.08665
"Castle Rock, CO",39.37221,-104.85609
"Castlewood, CO",39.58471,-104.90109
"Columbine, CO",39.58777,-105.06943
"Commerce City, CO",39.80832,-104.93387
"Denver, CO",39.73915,-104.9847
"Englewood, CO",39.64777,-104.98776
"Highlands Ranch, CO",39.55388,-104.96943
"Ken Caryl, CO",39.57582,-105.11221
"Lafayette, CO",39.9936,-105.08971
"Lakewood, CO",39.70471,-105.08137
"Littleton, CO",39.61332,-105.01665
"Longmont, CO",40.16721,-105.10193
"Loveland, CO",40.39776,-105.07498
"Northglenn, CO",39.88554,-104.9872
"Parker, CO",39.5186,-104.76136
"Southglenn, CO",39.58721,-104.95276
"Thornton, CO",39.86804,-104.97192
"Westminster, CO",39.83665,-105.0372
"Wheat Ridge, CO",39.7661,-105.07721
"South Charleston, WV",38.36843,-81.69957
"Huntington, WV",38.41925,-82.44515
"Morgantown, WV",39.62953,-79.9559
"Parkersburg, WV",39.26674,-81.56151
"Weirton, WV",40.41896,-80.58952
"Wheeling, WV",40.06396,-80.72091
"Aventura, FL",25.95648,-80.13921
"Carol City, FL",25.94065,-80.2456
"Coral Gables, FL",25.72149,-80.26838
"Coral Terrace, FL",25.74593,-80.3045
"Country Club, FL",25.94815,-80.317
"Cutler Ridge, FL",25.58066,-80.34672
"Doral, FL",25.81954,-80.35533
"Golden Glades, FL",25.91176,-80.20033
"Hialeah, FL",25.8576,-80.27811
"Homestead, FL",25.46872,-80.47756
"Kendale Lakes, FL",25.70816,-80.407
"Kendall West, FL",25.7065,-80.4388
"Key West, FL",24.55524,-81.78163
"Leisure City, FL",25.49539,-80.42922
"West Miami, FL",25.76343,-80.29616
"North Miami Beach, FL",25.93315,-80.16255
"Miami Lakes, FL",25.90871,-80.30866
"Miramar, FL",25.98731,-80.23227
"Norland, FL",25.94898,-80.21227
"North Miami, FL",25.89009,-80.18671
"North Miami Beach, FL",25.93315,-80.16255
"Richmond West, FL",25.6105,-80.42971
"Richmond Heights, FL",25.63149,-80.36894
"South Miami Heights, FL",25.59761,-80.38061
"Tamiami, FL",25.75871,-80.39839
"West Little River, FL",25.85704,-80.23699
"Westchester, FL",25.75482,-80.32727
"Casper, WY",42.86663,-106.31308
"Cheyenne, WY",41.13998,-104.82025
"Gillette, WY",44.29109,-105.50222
"Laramie, WY",41.31137,-105.5911
"Grand Island, NE",40.92501,-98.34201
"Kearney, NE",40.69946,-99.08148
"North Platte, NE",41.12389,-100.76542
"Bloomington, IL",40.4842,-88.99369
"East Moline, IL",41.50087,-90.4443
"East Peoria, IL",40.66615,-89.5801
"Galesburg, IL",40.94782,-90.37124
"Moline, IL",41.5067,-90.51513
"Normal, IL",40.5142,-88.99063
"Pekin, IL",40.56754,-89.64066
"Peoria, IL",40.69365,-89.58899
"Rock Island, IL",41.50948,-90.57875
"Beverly Hills, CA",34.07362,-118.40036
"West Carson, CA",33.82168,-118.29257
"Culver City, CA",34.02112,-118.39647
"Gardena, CA",33.88835,-118.30896
"Hawthorne, CA",33.9164,-118.35257
"Inglewood, CA",33.96168,-118.35313
"Lawndale, CA",33.88724,-118.35257
"Lennox, CA",33.93807,-118.35258
"Lomita, CA",33.79224,-118.31507
"Lynwood, CA",33.93029,-118.21146
"Manhattan Beach, CA",33.88474,-118.41091
"Rancho Palos Verdes, CA",33.74446,-118.38702
"Redondo Beach, CA",33.84918,-118.38841
"Santa Monica, CA",34.01945,-118.49119
"Torrance, CA",33.83585,-118.34063
"West Carson, CA",33.82168,-118.29257
"West Chicago, IL",41.88475,-88.20396
"Allen Park, MI",42.25754,-83.21104
"Dearborn, MI",42.32226,-83.17631
"Dearborn Heights, MI",42.33698,-83.27326
"Detroit, MI",42.33143,-83.04575
"Hamtramck, MI",42.39282,-83.04964
"Inkster, MI",42.2942,-83.30993
"Lincoln Park, MI",42.25059,-83.17854
"Redford, MI",42.38337,-83.2966
"Taylor, MI",42.24087,-83.26965
"Kirkwood, MO",38.58339,-90.40678
"Maryland Heights, MO",38.71311,-90.42984
"Mehlville, MO",38.50839,-90.32289
"Oakville, MO",38.47005,-90.30456
"Spanish Lake, MO",38.78783,-90.21594
"St. Louis, MO",38.62727,-90.19789
"University City, MO",38.65588,-90.30928
"Webster Groves, MO",38.59255,-90.35734
"Affton, MO",38.55061,-90.33317
"Ferguson, MO",38.74422,-90.30539
"Florissant, MO",38.78922,-90.32261
"Hazelwood, MO",38.77144,-90.37095
"Auburn, NY",42.93173,-76.56605
"Rome, NY",43.21285,-75.45573
"Syracuse, NY",43.04812,-76.14742
"Utica, NY",43.1009,-75.23266
"Watertown, NY",43.97478,-75.91076
"Wichita, KS",37.69224,-97.33754
"Carmel, IN",39.97837,-86.11804
"Fishers, IN",39.95559,-86.01387
"Greenwood, IN",39.61366,-86.10665
"Indianapolis, IN",39.76838,-86.15804
"Lawrence, IN",39.83865,-86.02526
"Noblesville, IN",40.04559,-86.0086
"Alexandria, LA",31.31129,-92.44514
"Bossier City, LA",32.51599,-93.73212
"West Monroe, LA",32.51848,-92.14764
"Ruston, LA",32.52321,-92.63793
"Shreveport, LA",32.52515,-93.75018
"Burlington, IA",40.80754,-91.11292
"Cedar Falls, IA",42.52776,-92.44547
"Cedar Rapids, IA",42.00833,-91.64407
"Iowa City, IA",41.66113,-91.53017
"Marion, IA",42.03417,-91.59768
"Waterloo, IA",42.49276,-92.34296
"Saint Cloud, MN",45.5608,-94.16249
"Altamonte Springs, FL",28.66111,-81.36562
"South Apopka, FL",28.66194,-81.50952
"Casselberry, FL",28.67778,-81.32785
"Kissimmee, FL",28.30468,-81.41667
"West Melbourne, FL",28.07168,-80.65339
"Merritt Island, FL",28.53917,-80.672
"Oak Ridge, FL",28.47112,-81.42452
"Ocoee, FL",28.56917,-81.54396
"Orlando, FL",28.53834,-81.37924
"Oviedo, FL",28.67,-81.20812
"Palm Bay, FL",28.03446,-80.58866
"Pine Hills, FL",28.55778,-81.4534
"Rockledge, FL",28.35084,-80.72533
"Sanford, FL",28.80055,-81.27312
"Saint Cloud, FL",28.2489,-81.28118
"Titusville, FL",28.61222,-80.80755
"University Park, FL",25.74649,-80.36755
"Wekiwa Springs, FL",28.69861,-81.42563
"Winter Park, FL",28.6,-81.33924
"Winter Springs, FL",28.69889,-81.30812
"Bell, CA",33.97751,-118.18702
"Bell Gardens, CA",33.96529,-118.15146
"Cudahy, CA",33.96057,-118.18535
"East Los Angeles, CA",34.0239,-118.17202
"Florence-Graham, CA",33.96772,-118.24438
"Huntington Park, CA",33.98168,-118.22507
"Maywood, CA",33.98668,-118.18535
"Montebello, CA",34.00946,-118.10535
"South Gate, CA",33.95474,-118.21202
"West Hollywood, CA",34.09001,-118.36174
"Westmont, CA",33.9414,-118.3023
"Abilene, TX",32.44874,-99.73314
"San Angelo, TX",31.46377,-100.43704
"Akron, OH",41.08144,-81.51901
"Alliance, OH",40.91534,-81.10593
"Austintown, OH",41.10172,-80.76452
"Barberton, OH",41.01283,-81.60512
"Boardman, OH",41.02423,-80.66285
"Brunswick, OH",41.23811,-81.8418
"North Canton, OH",40.87589,-81.40234
"Cuyahoga Falls, OH",41.13394,-81.48456
"Green, OH",40.94589,-81.48317
"Hudson, OH",41.24006,-81.44067
"Kent, OH",41.15367,-81.35789
"Massillon, OH",40.79672,-81.52151
"Medina, OH",41.13839,-81.86375
"Niles, OH",41.18284,-80.76536
"Stow, OH",41.1595,-81.44039
"Warren, OH",41.23756,-80.81842
"Wooster, OH",40.80517,-81.93646
"Youngstown, OH",41.09978,-80.64952
"Addison, IL",41.9317,-87.98896
"North Aurora, IL",41.80614,-88.3273
"Bartlett, IL",41.99503,-88.18563
"Batavia, IL",41.85003,-88.31257
"Bensenville, IL",41.95503,-87.94007
"Bloomingdale, IL",41.95753,-88.0809
"Bolingbrook, IL",41.69864,-88.0684
"Carol Stream, IL",41.91253,-88.13479
"Darien, IL",41.75198,-87.97395
"Downers Grove, IL",41.80892,-88.01117
"Elmhurst, IL",41.89947,-87.94034
"Glen Ellyn, IL",41.87753,-88.06701
"Glendale Heights, IL",41.91031,-88.07174
"Hanover Park, IL",41.99947,-88.14507
"Lisle, IL",41.80114,-88.07479
"Lombard, IL",41.88003,-88.00784
"Naperville, IL",41.78586,-88.14729
"Roselle, IL",41.98475,-88.07979
"Saint Charles, IL",41.91419,-88.30869
"Streamwood, IL",42.02558,-88.17841
"Villa Park, IL",41.88975,-87.98895
"West Chicago, IL",41.88475,-88.20396
"Westmont, IL",41.79586,-87.97562
"Wheaton, IL",41.86614,-88.10701
"Woodridge, IL",41.74697,-88.05034
"Auburn, AL",32.60986,-85.48078
"Dothan, AL",31.22323,-85.39049
"Enterprise, AL",31.31517,-85.85522
"Montgomery, AL",32.36681,-86.29997
"Opelika, AL",32.64541,-85.37828
"Phenix City, AL",32.47098,-85.00077
"Prattville, AL",32.46402,-86.4597
"Selma, AL",32.40736,-87.0211
"Asheboro, NC",35.70791,-79.81364
"Burlington, NC",36.09569,-79.4378
"Greensboro, NC",36.07264,-79.79198
"High Point, NC",35.95569,-80.00532
"Winston-Salem, NC",36.09986,-80.24422
"Lafayette, LA",30.22409,-92.01984
"Lake Charles, LA",30.21309,-93.2044
"New Iberia, LA",30.00354,-91.81873
"Opelousas, LA",30.53353,-92.08151
"Sulphur, LA",30.23659,-93.37738
"Arlington, MA",42.41537,-71.15644
"Braintree, MA",42.22232,-70.99949
"Burlington, MA",42.50482,-71.19561
"Dedham, MA",42.24177,-71.16616
"Lexington, MA",42.44732,-71.2245
"Lynn, MA",42.46676,-70.94949
"Malden, MA",42.4251,-71.06616
"Marblehead, MA",42.5001,-70.85783
"Medford, MA",42.41843,-71.10616
"Melrose, MA",42.45843,-71.06616
"Needham, MA",42.28343,-71.23283
"Norwood, MA",42.19454,-71.1995
"Randolph, MA",42.1626,-71.04116
"Reading, MA",42.52565,-71.09533
"Revere, MA",42.40843,-71.01199
"Saugus, MA",42.46482,-71.01005
"Stoneham, MA",42.4801,-71.0995
"Wakefield, MA",42.50648,-71.07283
"Waltham, MA",42.37649,-71.23561
"Wellesley, MA",42.29649,-71.29256
"Weymouth, MA",42.22093,-70.93977
"Winchester, MA",42.45232,-71.137
"Woburn, MA",42.47926,-71.15228
"Alvin, TX",29.42385,-95.2441
"Atascocita, TX",29.99883,-95.1766
"Baytown, TX",29.7355,-94.97743
"Channelview, TX",29.77606,-95.11465
"Cloverleaf, TX",29.77828,-95.17188
"Deer Park, TX",29.70523,-95.12382
"Friendswood, TX",29.5294,-95.20104
"South Houston, TX",29.66301,-95.23549
"La Porte, TX",29.66578,-95.01937
"League City, TX",29.50745,-95.09493
"Mission Bend, TX",29.69384,-95.66495
"Missouri City, TX",29.61857,-95.53772
"Pasadena, TX",29.69106,-95.2091
"Pearland, TX",29.56357,-95.28605
"Rosenberg, TX",29.55718,-95.80856
"Spring, TX",30.07994,-95.41716
"Sugar Land, TX",29.61968,-95.63495
"The Woodlands, TX",30.15799,-95.48938
"The Bronx, NY",40.84985,-73.86641
"Brooklyn, NY",40.6501,-73.94958
"New York City, NY",40.71427,-74.00597
"Borough of Queens, NY",40.68149,-73.83652
"Staten Island, NY",40.56233,-74.13986
"Beverly, MA",42.55843,-70.88005
"Chelmsford, MA",42.59981,-71.36728
"Danvers, MA",42.57509,-70.93005
"Fitchburg, MA",42.58342,-71.8023
"Gardner, MA",42.57509,-71.99813
"Gloucester, MA",42.61593,-70.66199
"Haverhill, MA",42.7762,-71.07728
"Lawrence, MA",42.70704,-71.16311
"Leominster, MA",42.52509,-71.75979
"Lowell, MA",42.63342,-71.31617
"Methuen, MA",42.7262,-71.19089
"South Peabody, MA",42.50982,-70.94949
"Salem, MA",42.51954,-70.89672
"Wilmington, MA",42.54648,-71.17367
"Gainesville, FL",29.65163,-82.32483
"Oakland Park, FL",26.17231,-80.13199
"Ocala, FL",29.1872,-82.14009
"Spring Hill, FL",28.47688,-82.52546
"Bellingham, WA",48.75955,-122.48822
"Bremerton, WA",47.56732,-122.63264
"Lacey, WA",47.03426,-122.82319
"Longview, WA",46.13817,-122.93817
"Marysville, WA",48.05176,-122.17708
"Mount Vernon, WA",48.42122,-122.33405
"Marysville, WA",48.05176,-122.17708
"Olympia, WA",47.03787,-122.9007
"Vancouver, WA",45.63873,-122.66149
"Corpus Christi, TX",27.80058,-97.39638
"Kingsville, TX",27.51587,-97.85611
"Victoria, TX",28.80527,-97.0036
"Bowling Green, KY",36.99032,-86.4436
"Elizabethtown, KY",37.69395,-85.85913
"Henderson, KY",37.83615,-87.59001
