Municipality,Sex,Workforce,Worked Hours Week,Worked Days Week,Monthly Wage,Workforce MOE
Hecelchakán,Mujer,1624.0,33.0,5.0,4168.0,409.0
Hecelchakán,Hombre,1860.0,43.0,5.0,5300.0,433.0
Hopelchén,Mujer,1581.0,30.0,5.0,3955.0,350.0
Hopelchén,Hombre,1418.0,41.0,5.0,4745.0,371.0
Palizada,Mujer,459.0,29.0,5.0,3254.0,208.0
Palizada,Hombre,1242.0,41.0,5.0,5031.0,307.0
Tenabo,Mujer,1172.0,33.0,5.0,3771.0,324.0
Tenabo,Hombre,1156.0,41.0,5.0,4050.0,333.0
Escárcega,Mujer,1955.0,34.0,5.0,3919.0,401.0
Escárcega,Hombre,2492.0,44.0,5.0,5209.0,498.0
Calakmul,Mujer,1043.0,26.0,4.0,2349.0,320.0
Calakmul,Hombre,1050.0,46.0,5.0,4526.0,327.0
Candelaria,Mujer,1527.0,30.0,4.0,3376.0,373.0
Candelaria,Hombre,2762.0,41.0,5.0,5262.0,461.0
Abasolo,Mujer,4305.0,34.0,4.0,3270.0,1340.0
Abasolo,Hombre,4822.0,43.0,5.0,5112.0,1405.0
Acuña,Mujer,8304.0,37.0,4.0,5929.0,1529.0
Acuña,Hombre,10202.0,41.0,5.0,5951.0,1653.0
Castaños,Mujer,1168.0,36.0,5.0,4672.0,519.0
Castaños,Hombre,2002.0,45.0,5.0,5379.0,631.0
Escobedo,Mujer,652.0,39.0,5.0,2984.0,289.0
Escobedo,Hombre,771.0,43.0,5.0,3817.0,301.0
Francisco I. Madero,Mujer,3852.0,33.0,4.0,4115.0,1188.0
Francisco I. Madero,Hombre,5238.0,40.0,5.0,5256.0,1377.0
Frontera,Mujer,5352.0,38.0,5.0,5279.0,1727.0
Frontera,Hombre,10872.0,45.0,5.0,7130.0,2401.0
General Cepeda,Mujer,1062.0,30.0,4.0,3818.0,450.0
General Cepeda,Hombre,2313.0,45.0,5.0,5126.0,618.0
Jiménez,Mujer,1798.0,34.0,4.0,3539.0,798.0
Jiménez,Hombre,2462.0,41.0,5.0,4778.0,904.0
Lamadrid,Mujer,694.0,27.0,4.0,3721.0,303.0
Lamadrid,Hombre,749.0,37.0,4.0,3419.0,306.0
Matamoros,Mujer,12942.0,34.0,4.0,5365.0,1999.0
Matamoros,Hombre,17850.0,40.0,4.0,6160.0,2383.0
Monclova,Mujer,7795.0,37.0,4.0,5549.0,1684.0
Monclova,Hombre,13743.0,43.0,5.0,7561.0,2062.0
Morelos,Mujer,2403.0,31.0,4.0,2878.0,1048.0
Morelos,Hombre,2744.0,41.0,5.0,4016.0,1074.0
Múzquiz,Mujer,2721.0,36.0,4.0,6013.0,858.0
Múzquiz,Hombre,5033.0,43.0,5.0,6018.0,1191.0
Nadadores,Mujer,770.0,35.0,5.0,3845.0,348.0
Nadadores,Hombre,1555.0,43.0,5.0,4083.0,458.0
Ocampo,Mujer,2388.0,36.0,5.0,3866.0,999.0
Ocampo,Hombre,3527.0,42.0,5.0,5664.0,1148.0
Parras,Mujer,3398.0,38.0,5.0,5640.0,951.0
Parras,Hombre,4341.0,43.0,5.0,5590.0,1059.0
Ramos Arizpe,Mujer,3130.0,38.0,5.0,5907.0,584.0
Ramos Arizpe,Hombre,5095.0,43.0,5.0,6871.0,724.0
Sabinas,Mujer,2942.0,38.0,5.0,5582.0,948.0
Sabinas,Hombre,3422.0,44.0,5.0,7764.0,1021.0
Saltillo,Mujer,21492.0,38.0,5.0,6452.0,1330.0
Saltillo,Hombre,37223.0,42.0,5.0,7450.0,1716.0
San Juan de Sabinas,Mujer,2641.0,34.0,4.0,4935.0,944.0
San Juan de Sabinas,Hombre,4752.0,40.0,4.0,5783.0,1256.0
San Pedro,Mujer,4087.0,33.0,5.0,4523.0,995.0
San Pedro,Hombre,5397.0,39.0,4.0,5271.0,1166.0
Sierra Mojada,Mujer,561.0,37.0,5.0,3053.0,365.0
Sierra Mojada,Hombre,919.0,37.0,4.0,6073.0,446.0
Torreón,Mujer,19805.0,35.0,4.0,5526.0,2042.0
Torreón,Hombre,29637.0,41.0,5.0,6589.0,2568.0
Viesca,Mujer,2556.0,28.0,4.0,2878.0,695.0
Viesca,Hombre,3145.0,42.0,5.0,4542.0,773.0
Zaragoza,Mujer,1987.0,34.0,4.0,3337.0,818.0
Zaragoza,Hombre,2360.0,44.0,5.0,4192.0,837.0
Armería,Mujer,1358.0,32.0,4.0,3752.0,290.0
Armería,Hombre,1213.0,40.0,5.0,5144.0,299.0
Colima,Mujer,4819.0,36.0,4.0,4291.0,412.0
Colima,Hombre,6512.0,41.0,5.0,5854.0,509.0
Comala,Mujer,989.0,33.0,4.0,4617.0,272.0
Comala,Hombre,1521.0,38.0,4.0,6125.0,325.0
Coquimatlán,Mujer,760.0,34.0,4.0,4244.0,250.0
Coquimatlán,Hombre,958.0,41.0,4.0,5494.0,275.0
Cuauhtémoc,Mujer,11138.0,37.0,4.0,4639.0,2262.0
Cuauhtémoc,Hombre,12422.0,43.0,5.0,5620.0,2334.0
Ixtlahuacán,Mujer,613.0,28.0,4.0,3651.0,200.0
Ixtlahuacán,Hombre,539.0,37.0,4.0,4133.0,187.0
Manzanillo,Mujer,4693.0,36.0,5.0,5208.0,695.0
Manzanillo,Hombre,7721.0,41.0,5.0,6704.0,915.0
Minatitlán,Mujer,3853.0,38.0,5.0,4355.0,1508.0
Minatitlán,Hombre,4730.0,46.0,5.0,5935.0,1538.0
Tecomán,Mujer,3045.0,36.0,5.0,4207.0,468.0
Tecomán,Hombre,3540.0,41.0,5.0,5445.0,548.0
Villa de Álvarez,Mujer,4536.0,35.0,4.0,5131.0,407.0
Villa de Álvarez,Hombre,5924.0,40.0,5.0,6436.0,490.0
Acala,Mujer,2798.0,43.0,5.0,3219.0,1145.0
Acala,Hombre,2525.0,50.0,5.0,3964.0,1061.0
Bochil,Mujer,2660.0,33.0,5.0,3119.0,1114.0
Bochil,Hombre,2860.0,43.0,5.0,5056.0,1127.0
Cintalapa,Mujer,3667.0,34.0,4.0,4344.0,1262.0
Cintalapa,Hombre,5128.0,44.0,5.0,5213.0,1553.0
Coapilla,Mujer,1818.0,32.0,4.0,3748.0,838.0
Coapilla,Hombre,2055.0,41.0,5.0,4674.0,868.0
Comitán de Domínguez,Mujer,9626.0,38.0,5.0,5089.0,1942.0
Comitán de Domínguez,Hombre,8919.0,43.0,5.0,6194.0,2025.0
La Concordia,Mujer,3585.0,34.0,5.0,2187.0,1293.0
La Concordia,Hombre,2412.0,43.0,5.0,3841.0,1005.0
Copainalá,Mujer,3885.0,35.0,4.0,3550.0,1247.0
Copainalá,Hombre,4267.0,45.0,5.0,4518.0,1373.0
Chamula,Mujer,8265.0,39.0,5.0,902.0,2380.0
Chamula,Hombre,4666.0,46.0,5.0,2587.0,1904.0
Chicomuselo,Mujer,3631.0,32.0,4.0,3703.0,1293.0
Chicomuselo,Hombre,2389.0,39.0,4.0,4529.0,1212.0
Huehuetán,Mujer,3595.0,35.0,5.0,4379.0,1319.0
Huehuetán,Hombre,2668.0,41.0,5.0,4576.0,1066.0
Huixtla,Mujer,3360.0,38.0,5.0,4322.0,1162.0
Huixtla,Hombre,3267.0,46.0,5.0,5482.0,1129.0
La Independencia,Mujer,3635.0,35.0,5.0,1700.0,1333.0
La Independencia,Hombre,4877.0,43.0,5.0,3221.0,1294.0
Ixtapa,Mujer,1480.0,29.0,5.0,1841.0,1022.0
Ixtapa,Hombre,986.0,51.0,5.0,4104.0,842.0
Jiquipilas,Mujer,3372.0,34.0,4.0,3709.0,1106.0
Jiquipilas,Hombre,2929.0,44.0,5.0,5749.0,1059.0
Las Margaritas,Mujer,4291.0,38.0,5.0,3990.0,1477.0
Las Margaritas,Hombre,4379.0,42.0,5.0,4457.0,1559.0
Ocosingo,Mujer,4660.0,35.0,5.0,3202.0,1567.0
Ocosingo,Hombre,3209.0,41.0,5.0,4624.0,1312.0
Ocozocoautla de Espinosa,Mujer,4389.0,38.0,5.0,3866.0,1453.0
Ocozocoautla de Espinosa,Hombre,6327.0,44.0,5.0,4329.0,1705.0
Osumacinta,Mujer,1576.0,34.0,5.0,3401.0,713.0
Osumacinta,Hombre,1895.0,43.0,5.0,3806.0,802.0
Palenque,Mujer,4728.0,38.0,5.0,4392.0,1658.0
Palenque,Hombre,6006.0,44.0,5.0,5171.0,1886.0
Pichucalco,Mujer,2448.0,36.0,5.0,5596.0,923.0
Pichucalco,Hombre,3540.0,43.0,5.0,5783.0,1091.0
Villa Comaltitlán,Mujer,3449.0,37.0,5.0,3575.0,1290.0
Villa Comaltitlán,Hombre,3144.0,44.0,5.0,4003.0,1287.0
Rayón,Mujer,1913.0,37.0,5.0,2417.0,961.0
Rayón,Hombre,1925.0,41.0,5.0,2538.0,990.0
Las Rosas,Mujer,4117.0,34.0,4.0,3043.0,1401.0
Las Rosas,Hombre,3609.0,43.0,5.0,3471.0,1343.0
Salto de Agua,Mujer,2817.0,38.0,5.0,2726.0,1190.0
Salto de Agua,Hombre,2801.0,44.0,5.0,4480.0,1224.0
San Cristóbal de las Casas,Mujer,7148.0,38.0,5.0,5151.0,1309.0
San Cristóbal de las Casas,Hombre,7809.0,43.0,5.0,5977.0,1375.0
Soyaló,Mujer,2686.0,32.0,4.0,1587.0,1082.0
Soyaló,Hombre,3591.0,49.0,5.0,3547.0,1142.0
Suchiapa,Mujer,2917.0,39.0,5.0,4804.0,1167.0
Suchiapa,Hombre,2965.0,44.0,5.0,5499.0,1170.0
Suchiate,Mujer,3297.0,37.0,5.0,3041.0,1256.0
Suchiate,Hombre,2521.0,44.0,5.0,3804.0,1179.0
Tapachula,Mujer,9160.0,38.0,5.0,4732.0,1625.0
Tapachula,Hombre,11595.0,45.0,5.0,5953.0,1892.0
Tecpatán,Mujer,1926.0,35.0,5.0,3217.0,987.0
Tecpatán,Hombre,3049.0,45.0,5.0,4614.0,1174.0
Teopisca,Mujer,3917.0,36.0,5.0,2447.0,1345.0
Teopisca,Hombre,5141.0,51.0,5.0,3846.0,1512.0
Tonalá,Mujer,14442.0,36.0,5.0,4456.0,2167.0
Tonalá,Hombre,21390.0,41.0,5.0,5241.0,2601.0
La Trinitaria,Mujer,4662.0,34.0,4.0,2748.0,1463.0
La Trinitaria,Hombre,3034.0,45.0,5.0,4536.0,1204.0
Tuxtla Gutiérrez,Mujer,17637.0,38.0,5.0,5715.0,1059.0
Tuxtla Gutiérrez,Hombre,23415.0,43.0,5.0,6941.0,1317.0
Venustiano Carranza,Mujer,12283.0,37.0,5.0,3347.0,2761.0
Venustiano Carranza,Hombre,12476.0,44.0,5.0,4127.0,2627.0
Villa Corzo,Mujer,4722.0,36.0,5.0,3804.0,1409.0
Villa Corzo,Hombre,3301.0,44.0,5.0,5522.0,1228.0
Villaflores,Mujer,4710.0,38.0,5.0,4796.0,1425.0
Villaflores,Hombre,4159.0,43.0,5.0,5871.0,1362.0
Ahumada,Mujer,3031.0,37.0,5.0,5668.0,1180.0
Ahumada,Hombre,3802.0,46.0,5.0,6272.0,1306.0
Allende,Mujer,2108.0,38.0,5.0,5039.0,785.0
Allende,Hombre,3614.0,43.0,5.0,5651.0,975.0
Bachíniva,Mujer,1474.0,41.0,5.0,4750.0,863.0
Bachíniva,Hombre,1428.0,47.0,5.0,3928.0,773.0
Balleza,Mujer,1299.0,35.0,5.0,2367.0,775.0
Balleza,Hombre,3485.0,43.0,5.0,3427.0,1071.0
Bocoyna,Mujer,2760.0,37.0,5.0,3828.0,1025.0
Bocoyna,Hombre,3570.0,42.0,5.0,3922.0,1081.0
Buenaventura,Mujer,1768.0,44.0,5.0,2429.0,844.0
Buenaventura,Hombre,2258.0,48.0,5.0,4436.0,1017.0
Camargo,Mujer,2306.0,38.0,5.0,3957.0,859.0
Camargo,Hombre,2489.0,44.0,5.0,5403.0,899.0
Coronado,Mujer,1318.0,42.0,5.0,3765.0,793.0
Coronado,Hombre,1688.0,48.0,6.0,3442.0,802.0
Chihuahua,Mujer,26807.0,38.0,5.0,5688.0,1595.0
Chihuahua,Hombre,39765.0,42.0,5.0,6600.0,2080.0
Delicias,Mujer,5828.0,38.0,5.0,5423.0,1624.0
Delicias,Hombre,7097.0,44.0,5.0,6181.0,1723.0
Dr. Belisario Domínguez,Mujer,1075.0,34.0,5.0,4065.0,627.0
Dr. Belisario Domínguez,Hombre,2286.0,39.0,5.0,3712.0,853.0
Gómez Farías,Mujer,2010.0,34.0,4.0,2913.0,1000.0
Gómez Farías,Hombre,2621.0,38.0,5.0,4241.0,1091.0
Guachochi,Mujer,2903.0,34.0,4.0,4713.0,1045.0
Guachochi,Hombre,4525.0,41.0,5.0,3864.0,1254.0
Guadalupe y Calvo,Mujer,2030.0,34.0,5.0,3412.0,783.0
Guadalupe y Calvo,Hombre,2393.0,44.0,5.0,3624.0,886.0
Guazapares,Mujer,2030.0,40.0,5.0,3779.0,1074.0
Guazapares,Hombre,3681.0,48.0,5.0,5386.0,1412.0
Guerrero,Mujer,1346.0,36.0,5.0,2889.0,668.0
Guerrero,Hombre,2008.0,45.0,5.0,5240.0,802.0
Hidalgo del Parral,Mujer,3504.0,38.0,5.0,5039.0,1263.0
Hidalgo del Parral,Hombre,4753.0,44.0,5.0,5426.0,1409.0
Janos,Mujer,1927.0,32.0,4.0,3976.0,828.0
Janos,Hombre,2320.0,44.0,5.0,6379.0,946.0
Juárez,Mujer,31130.0,38.0,4.0,5597.0,3146.0
Juárez,Hombre,42744.0,44.0,5.0,6633.0,3674.0
Julimes,Mujer,1240.0,35.0,5.0,4526.0,634.0
Julimes,Hombre,1326.0,44.0,5.0,4613.0,624.0
Madera,Mujer,2756.0,35.0,5.0,3908.0,1004.0
Madera,Hombre,4379.0,45.0,5.0,7494.0,1241.0
Matachí,Mujer,2756.0,38.0,5.0,3917.0,968.0
Matachí,Hombre,1880.0,41.0,5.0,3625.0,829.0
Namiquipa,Mujer,1600.0,40.0,5.0,2449.0,730.0
Namiquipa,Hombre,3317.0,42.0,5.0,5939.0,997.0
Nuevo Casas Grandes,Mujer,4058.0,35.0,4.0,4709.0,1079.0
Nuevo Casas Grandes,Hombre,4192.0,42.0,5.0,6351.0,1129.0
Ojinaga,Mujer,1642.0,37.0,5.0,5370.0,807.0
Ojinaga,Hombre,2111.0,42.0,5.0,6428.0,907.0
Saucillo,Mujer,3392.0,39.0,5.0,5048.0,1203.0
Saucillo,Hombre,4274.0,47.0,5.0,6278.0,1392.0
El Tule,Mujer,362.0,30.0,5.0,2540.0,362.0
El Tule,Hombre,1177.0,37.0,5.0,4549.0,643.0
Uruachi,Mujer,1222.0,38.0,5.0,4072.0,699.0
Uruachi,Hombre,2088.0,41.0,5.0,3660.0,935.0
Cuajimalpa de Morelos,Mujer,7798.0,37.0,4.0,3626.0,2662.0
Cuajimalpa de Morelos,Hombre,11182.0,41.0,5.0,4023.0,3044.0
Gustavo A. Madero,Mujer,40026.0,38.0,4.0,3077.0,5548.0
Gustavo A. Madero,Hombre,51640.0,42.0,5.0,3011.0,6154.0
Iztapalapa,Mujer,62927.0,37.0,4.0,3347.0,6610.0
Iztapalapa,Hombre,82385.0,42.0,5.0,4322.0,7426.0
Tláhuac,Mujer,17115.0,36.0,4.0,3367.0,3679.0
Tláhuac,Hombre,22483.0,41.0,4.0,3882.0,4183.0
Xochimilco,Mujer,15142.0,37.0,4.0,3990.0,3574.0
Xochimilco,Hombre,20193.0,41.0,5.0,4048.0,3942.0
Miguel Hidalgo,Mujer,14413.0,38.0,4.0,4392.0,4125.0
Miguel Hidalgo,Hombre,15227.0,42.0,5.0,4534.0,4274.0
Canatlán,Mujer,2021.0,29.0,4.0,4025.0,555.0
Canatlán,Hombre,2227.0,39.0,5.0,5087.0,607.0
Cuencamé,Mujer,1860.0,36.0,5.0,3660.0,556.0
Cuencamé,Hombre,3045.0,43.0,5.0,4761.0,737.0
Durango,Mujer,18085.0,37.0,5.0,4981.0,1072.0
Durango,Hombre,26244.0,42.0,5.0,5965.0,1442.0
General Simón Bolívar,Mujer,716.0,32.0,5.0,2271.0,412.0
General Simón Bolívar,Hombre,726.0,36.0,5.0,3308.0,424.0
Gómez Palacio,Mujer,9897.0,36.0,5.0,4789.0,1330.0
Gómez Palacio,Hombre,16316.0,40.0,5.0,6043.0,1728.0
Guadalupe Victoria,Mujer,2894.0,35.0,5.0,3714.0,784.0
Guadalupe Victoria,Hombre,2625.0,42.0,5.0,4247.0,748.0
Lerdo,Mujer,3863.0,35.0,5.0,4835.0,942.0
Lerdo,Hombre,5586.0,41.0,5.0,5937.0,1272.0
Mapimí,Mujer,1294.0,36.0,4.0,3370.0,476.0
Mapimí,Hombre,2042.0,41.0,5.0,5355.0,605.0
Nombre de Dios,Mujer,1641.0,36.0,4.0,4112.0,560.0
Nombre de Dios,Hombre,1859.0,40.0,5.0,5215.0,593.0
El Oro,Mujer,2461.0,34.0,5.0,3186.0,988.0
El Oro,Hombre,3784.0,42.0,5.0,4596.0,1259.0
Pánuco de Coronado,Mujer,1298.0,33.0,5.0,3326.0,475.0
Pánuco de Coronado,Hombre,1700.0,39.0,5.0,4466.0,561.0
Peñón Blanco,Mujer,1234.0,32.0,5.0,3733.0,498.0
Peñón Blanco,Hombre,1219.0,39.0,5.0,4628.0,500.0
Poanas,Mujer,1916.0,32.0,4.0,3235.0,560.0
Poanas,Hombre,2058.0,40.0,5.0,4988.0,602.0
Pueblo Nuevo,Mujer,2181.0,38.0,5.0,3598.0,750.0
Pueblo Nuevo,Hombre,3164.0,44.0,5.0,5350.0,821.0
San Juan de Guadalupe,Mujer,1144.0,30.0,4.0,2412.0,572.0
San Juan de Guadalupe,Hombre,3322.0,35.0,5.0,3920.0,942.0
San Juan del Río,Mujer,7403.0,37.0,5.0,3154.0,1034.0
San Juan del Río,Hombre,9550.0,44.0,5.0,4184.0,1132.0
Santa Clara,Mujer,642.0,35.0,5.0,2555.0,297.0
Santa Clara,Hombre,802.0,41.0,5.0,2964.0,328.0
Santiago Papasquiaro,Mujer,2180.0,36.0,5.0,4178.0,661.0
Santiago Papasquiaro,Hombre,3256.0,42.0,5.0,5605.0,848.0
Tepehuanes,Mujer,852.0,33.0,4.0,3566.0,370.0
Tepehuanes,Hombre,795.0,44.0,5.0,4799.0,361.0
Tlahualilo,Mujer,1605.0,40.0,5.0,4051.0,579.0
Tlahualilo,Hombre,1953.0,42.0,5.0,4238.0,599.0
Acámbaro,Mujer,6400.0,34.0,5.0,2360.0,1676.0
Acámbaro,Hombre,6932.0,42.0,5.0,3499.0,1821.0
San Miguel de Allende,Mujer,7105.0,37.0,5.0,2999.0,1860.0
San Miguel de Allende,Hombre,10209.0,43.0,5.0,3633.0,2243.0
Apaseo el Grande,Mujer,3972.0,37.0,5.0,2537.0,1512.0
Apaseo el Grande,Hombre,7502.0,46.0,5.0,4885.0,2089.0
Celaya,Mujer,19884.0,37.0,5.0,3437.0,3486.0
Celaya,Hombre,25901.0,43.0,5.0,4368.0,3908.0
Manuel Doblado,Mujer,2659.0,38.0,5.0,3381.0,1028.0
Manuel Doblado,Hombre,3541.0,43.0,5.0,4280.0,1195.0
Comonfort,Mujer,5123.0,37.0,5.0,3103.0,1656.0
Comonfort,Hombre,7002.0,45.0,5.0,3425.0,1887.0
Cortazar,Mujer,4048.0,35.0,5.0,2951.0,1421.0
Cortazar,Hombre,5715.0,44.0,5.0,3972.0,1697.0
Cuerámaro,Mujer,4893.0,30.0,5.0,1997.0,1658.0
Cuerámaro,Hombre,5890.0,43.0,5.0,3070.0,1865.0
Guanajuato,Mujer,11011.0,39.0,5.0,3673.0,3641.0
Guanajuato,Hombre,13123.0,43.0,5.0,4523.0,3894.0
Irapuato,Mujer,19546.0,36.0,4.0,4750.0,3740.0
Irapuato,Hombre,28864.0,43.0,5.0,6102.0,4795.0
León,Mujer,43165.0,38.0,5.0,3919.0,2201.0
León,Hombre,73563.0,43.0,5.0,4541.0,2919.0
Pénjamo,Mujer,6325.0,32.0,5.0,2727.0,1722.0
Pénjamo,Hombre,7539.0,41.0,5.0,4234.0,1992.0
Purísima del Rincón,Mujer,4481.0,36.0,5.0,3683.0,794.0
Purísima del Rincón,Hombre,6636.0,41.0,5.0,4512.0,985.0
Salamanca,Mujer,11704.0,34.0,4.0,4292.0,2499.0
Salamanca,Hombre,15947.0,44.0,5.0,5827.0,2929.0
Salvatierra,Mujer,4804.0,35.0,5.0,2750.0,1537.0
Salvatierra,Hombre,4444.0,43.0,5.0,3390.0,1514.0
San Felipe,Mujer,3552.0,33.0,5.0,3241.0,1161.0
San Felipe,Hombre,5259.0,42.0,5.0,4878.0,1459.0
San Francisco del Rincón,Mujer,5544.0,36.0,5.0,3706.0,807.0
San Francisco del Rincón,Hombre,7663.0,42.0,5.0,4340.0,954.0
San José Iturbide,Mujer,6840.0,39.0,5.0,4172.0,1722.0
San José Iturbide,Hombre,8370.0,43.0,5.0,3902.0,1886.0
San Luis de la Paz,Mujer,7052.0,36.0,5.0,3266.0,1899.0
San Luis de la Paz,Hombre,8792.0,43.0,5.0,4210.0,2117.0
Santa Cruz de Juventino Rosas,Mujer,5272.0,40.0,5.0,2947.0,1603.0
Santa Cruz de Juventino Rosas,Hombre,4935.0,44.0,5.0,3603.0,1571.0
Tarimoro,Mujer,4176.0,36.0,5.0,2132.0,1394.0
Tarimoro,Hombre,5312.0,45.0,5.0,3358.0,1585.0
Valle de Santiago,Mujer,7397.0,32.0,5.0,3418.0,1914.0
Valle de Santiago,Hombre,8470.0,44.0,5.0,5111.0,2068.0
Xichú,Mujer,742.0,37.0,5.0,2587.0,559.0
Xichú,Hombre,1297.0,41.0,5.0,1652.0,731.0
Yuriria,Mujer,6575.0,34.0,5.0,2792.0,1722.0
Yuriria,Hombre,7022.0,38.0,5.0,3938.0,1931.0
Acapulco de Juárez,Mujer,18533.0,39.0,5.0,3582.0,1370.0
Acapulco de Juárez,Hombre,26492.0,44.0,5.0,4503.0,1834.0
Ajuchitlán del Progreso,Mujer,3071.0,33.0,5.0,2603.0,1128.0
Ajuchitlán del Progreso,Hombre,2163.0,37.0,5.0,4090.0,894.0
Arcelia,Mujer,2114.0,36.0,5.0,3881.0,787.0
Arcelia,Hombre,1985.0,44.0,5.0,4572.0,763.0
Atlixtac,Mujer,1239.0,34.0,6.0,1312.0,688.0
Atlixtac,Hombre,953.0,48.0,5.0,3707.0,597.0
Atoyac de Álvarez,Mujer,4120.0,35.0,4.0,3792.0,1317.0
Atoyac de Álvarez,Hombre,4098.0,45.0,5.0,4481.0,1410.0
Copala,Mujer,2350.0,35.0,5.0,2456.0,919.0
Copala,Hombre,1935.0,42.0,5.0,4294.0,858.0
Coyuca de Benítez,Mujer,5278.0,35.0,5.0,3162.0,1482.0
Coyuca de Benítez,Hombre,5793.0,45.0,5.0,4394.0,1643.0
Cuajinicuilapa,Mujer,2737.0,32.0,5.0,2876.0,995.0
Cuajinicuilapa,Hombre,2408.0,42.0,5.0,4311.0,960.0
Cutzamala de Pinzón,Mujer,2509.0,34.0,5.0,3142.0,985.0
Cutzamala de Pinzón,Hombre,3101.0,41.0,5.0,4594.0,1147.0
Chilapa de Álvarez,Mujer,10619.0,34.0,5.0,3418.0,1904.0
Chilapa de Álvarez,Hombre,4532.0,42.0,5.0,3948.0,1415.0
Chilpancingo de los Bravo,Mujer,11278.0,39.0,5.0,3973.0,2283.0
Chilpancingo de los Bravo,Hombre,11176.0,42.0,5.0,4812.0,2313.0
Huamuxtitlán,Mujer,2355.0,35.0,5.0,3784.0,976.0
Huamuxtitlán,Hombre,1444.0,43.0,5.0,4080.0,718.0
Iguala de la Independencia,Mujer,6625.0,38.0,5.0,3867.0,1508.0
Iguala de la Independencia,Hombre,6613.0,43.0,5.0,6056.0,1526.0
Zihuatanejo de Azueta,Mujer,4066.0,38.0,5.0,3736.0,1284.0
Zihuatanejo de Azueta,Hombre,4491.0,45.0,5.0,5854.0,1416.0
Malinaltepec,Mujer,2300.0,33.0,5.0,2932.0,907.0
Malinaltepec,Hombre,1201.0,37.0,5.0,3897.0,722.0
Petatlán,Mujer,3599.0,37.0,5.0,4386.0,1506.0
Petatlán,Hombre,4202.0,43.0,5.0,5023.0,1591.0
Pungarabato,Mujer,2812.0,35.0,5.0,2627.0,1081.0
Pungarabato,Hombre,3000.0,40.0,5.0,5661.0,1146.0
