Column1,Chengyu,Appearances,Topic
126,半丝半缕,5,mainland China politics
127,亘古亘今,2,culture
128,不可移易,1,culture
129,不舍昼夜,20,mainland China politics
130,仆仆风尘,1,None
131,以一持万,1,None
132,安于一隅,1,None
133,涣然冰释,1,culture
134,皓首穷经,1,culture
135,发愤忘食,1,mainland China politics
136,鲍鱼之肆,1,mainland China politics
137,不测之忧,2,mainland China politics
138,从善如登,3,culture
139,韬光养晦,1,financial news
140,来者可追,2,None
141,驽马十驾,2,sports
142,人神共愤,3,Hong Kong - Macau politics
143,丑态毕露,1,None
144,合浦珠还,1,culture
145,案牍劳形,1,mainland China politics
146,冯唐易老,2,culture
147,刮垢磨光,1,mainland China politics
148,节用裕民,11,financial news
149,临池学书,1,mainland China politics
150,扼腕叹息,3,International news
151,讲信修睦,3,mainland China politics
152,云谲波诡,2,financial news
153,明刑弼教,1,mainland China politics
154,朝斯夕斯,1,None
155,克己复礼,1,None
156,齐家治国,3,culture
157,近悦远来,2,financial news
158,厚德载物,7,culture
159,敬业乐群,2,culture
160,无偏无党,1,mainland China politics
161,昂霄耸壑,1,None
162,高岸深谷,1,mainland China politics
163,民胞物与,5,International news
164,黄钟大吕,5,culture
165,名缰利锁,3,mainland China politics
166,多端寡要,1,mainland China politics
167,怪力乱神,1,culture
168,草长莺飞,2,mainland China politics
169,荆棘铜驼,1,mainland China politics
170,秕言谬说,1,mainland China politics
171,躬逢其盛,1,mainland China politics
172,和而不同,44,culture
173,作如是观,1,mainland China politics
174,击楫中流,2,None
175,光复旧物,7,culture
176,利用厚生,1,culture
177,一瓣心香,1,culture
178,临事而惧,1,mainland China politics
179,明德惟馨,3,culture
180,蒲柳之姿,1,None
181,读书种子,11,culture
182,哲人其萎,1,None
183,桴鼓相应,1,Hong Kong - Macau politics
184,和气致祥,5,Hong Kong - Macau politics
185,铸剑为犁,5,mainland China politics
186,鸿鹄将至,1,culture
187,止戈为武,2,sports
188,折戟沉沙,1,mainland China politics
189,一鸣惊人,4,sports
190,沾沾自喜,8,sports
191,不寒而栗,2,None
192,老当益壮,1,mainland China politics
193,穷凶极恶,6,culture
194,死灰复燃,10,mainland China politics
195,夜郎自大,4,culture
196,见利忘义,3,International news
197,多多益善,1,mainland China politics
198,独当一面,2,mainland China politics
199,破釜沉舟,4,mainland China politics
200,后来居上,4,mainland China politics
201,高风亮节,8,mainland China politics
202,安居乐业,129,Hong Kong - Macau politics
203,一举两得,3,financial news
204,得心应手,1,mainland China politics
205,起死回生,2,culture
206,见异思迁,1,culture
207,外强中干,1,None
208,日暮途穷,1,International news
209,有备无患,26,Hong Kong - Macau politics
210,有名无实,2,mainland China politics
211,临危不惧,22,mainland China politics
212,倒行逆施,25,Hong Kong - Macau politics
213,幸灾乐祸,6,International news
214,两袖清风,3,mainland China politics
215,前功尽弃,43,sports
216,明察秋毫,2,culture
217,出尔反尔,56,International news
218,一毛不拔,3,None
219,水深火热,2,culture
220,曲高和寡,1,culture
221,九死一生,7,culture
222,墨守成规,5,culture
223,纸上谈兵,10,culture
224,同流合污,2,International news
225,四分五裂,7,International news
226,狐假虎威,1,mainland China politics
227,花言巧语,3,culture
228,脚踏实地,149,mainland China politics
229,胸有成竹,4,mainland China politics
230,明目张胆,17,Hong Kong - Macau politics
231,口蜜腹剑,2,sports
232,走马观花,21,culture
233,司空见惯,4,mainland China politics
234,双管齐下,2,mainland China politics
235,道听途说,2,International news
236,乘风破浪,131,entertainment
237,一筹莫展,2,mainland China politics
238,黑白分明,2,International news
239,迫不得已,1,None
240,沧海一粟,3,financial news
241,孤注一掷,5,Hong Kong - Macau politics
242,出类拔萃,2,International news
243,得过且过,15,sports
244,囫囵吞枣,7,culture
245,痴人说梦,9,Hong Kong - Macau politics
246,忍辱负重,3,Hong Kong - Macau politics
247,如鱼得水,3,sports
248,死不瞑目,5,culture
249,赤膊上阵,11,sports
250,不识时务,1,mainland China politics
251,半途而废,12,sports
252,力不从心,1,None
253,望尘莫及,1,mainland China politics
254,入木三分,3,International news
255,嫁祸于人,6,International news
256,刮目相看,83,mainland China politics
257,视死如归,36,entertainment
258,抱残守缺,3,mainland China politics
259,义无反顾,131,culture
260,背水一战,12,culture
261,势如破竹,7,sports
262,一败涂地,3,Hong Kong - Macau politics
263,各得其所,3,mainland China politics
264,赴汤蹈火,13,culture
265,一诺千金,18,financial news
266,口若悬河,2,culture
267,信口雌黄,14,International news
268,杯弓蛇影,4,International news
269,管中窥豹,2,financial news
270,华而不实,16,culture
271,不卑不亢,5,International news
272,按图索骥,2,culture
273,尽善尽美,3,financial news
274,畏首畏尾,21,mainland China politics
275,言不由衷,5,culture
276,唯利是图,5,financial news
277,叶公好龙,1,financial news
278,名列前茅,16,financial news
279,退避三舍,3,culture
280,尔虞我诈,3,mainland China politics
281,三令五申,8,culture
282,断章取义,7,culture
283,一朝一夕,23,mainland China politics
284,高枕无忧,12,financial news
285,事半功倍,19,culture
286,自相矛盾,15,International news
287,不学无术,1,mainland China politics
288,名正言顺,1,mainland China politics
289,人杰地灵,2,mainland China politics
290,目不识丁,1,mainland China politics
291,机不可失,1,mainland China politics
292,飞黄腾达,1,mainland China politics
293,画龙点睛,1,mainland China politics
294,后顾之忧,71,entertainment
295,巧取豪夺,7,International news
296,一笔勾销,1,International news
297,一箭双雕,1,mainland China politics
298,过河拆桥,1,None
299,利令智昏,2,financial news
300,朝三暮四,1,None
301,开天辟地,31,culture
302,掩耳盗铃,5,financial news
303,守株待兔,3,mainland China politics
304,揠苗助长,2,mainland China politics
305,防患未然,9,mainland China politics
306,不可多得,2,culture
307,先见之明,1,financial news
308,巧夺天工,1,culture
309,不胫而走,1,mainland China politics
310,百折不挠,87,sports
311,投笔从戎,1,mainland China politics
312,乐不可支,1,mainland China politics
313,东山再起,2,International news
314,不求甚解,7,culture
315,世外桃源,7,culture
316,言过其实,1,financial news
317,手不释卷,1,mainland China politics
318,惊天动地,43,entertainment
319,劳而无功,1,None
320,口是心非,8,International news
321,目空一切,1,International news
322,异口同声,1,Hong Kong - Macau politics
323,轻而易举,14,sports
324,诚心诚意,15,sports
325,痴心妄想,13,Hong Kong - Macau politics
326,涂脂抹粉,5,Hong Kong - Macau politics
327,不平则鸣,1,None
328,山穷水尽,2,financial news
329,水涨船高,14,culture
330,一视同仁,37,financial news
331,饱经风霜,8,culture
332,摇旗呐喊,9,Hong Kong - Macau politics
333,寸步难行,16,financial news
334,四平八稳,1,mainland China politics
335,措手不及,2,International news
336,默默无闻,26,entertainment
337,穿针引线,7,mainland China politics
338,别出心裁,1,None
339,见风使舵,3,mainland China politics
340,战战兢兢,2,financial news
341,头重脚轻,2,mainland China politics
342,美不胜收,1,culture
343,人云亦云,9,culture
344,千言万语,4,financial news
345,三思而行,1,mainland China politics
346,弱肉强食,19,International news
347,触景生情,1,culture
348,喧宾夺主,1,mainland China politics
349,任重道远,74,mainland China politics
350,锦上添花,5,International news
351,青黄不接,5,financial news
352,喋喋不休,5,International news
353,高谈阔论,2,culture
354,谈笑风生,2,mainland China politics
355,乘人之危,5,International news
356,强词夺理,4,International news
357,波澜壮阔,207,culture
358,对症下药,69,financial news
359,茅塞顿开,1,mainland China politics
360,光明磊落,10,Hong Kong - Macau politics
361,显而易见,25,financial news
362,天翻地覆,28,culture
363,另起炉灶,13,culture
364,东张西望,1,mainland China politics
365,吹毛求疵,2,mainland China politics
366,捕风捉影,11,International news
367,咬文嚼字,1,culture
368,孤芳自赏,1,mainland China politics
369,一言九鼎,1,None
370,扶摇直上,5,None
371,避重就轻,13,mainland China politics
372,单枪匹马,2,International news
373,无可奈何,2,None
374,溜之大吉,1,None
375,齐心协力,173,sports
376,同甘共苦,58,culture
377,一目了然,13,financial news
378,舍己为人,8,International news
379,一成不变,20,culture
380,一网打尽,1,mainland China politics
381,满载而归,4,financial news
382,斩钉截铁,5,Hong Kong - Macau politics
383,照本宣科,14,mainland China politics
384,不劳而获,2,None
385,一目十行,2,culture
386,殊途同归,1,International news
387,登峰造极,2,Hong Kong - Macau politics
388,宁死不屈,9,culture
389,百年大计,18,mainland China politics
390,集思广益,38,Hong Kong - Macau politics
391,长驱直入,1,sports
392,一鼓作气,102,sports
393,无能为力,7,International news
394,不毛之地,4,culture
395,横行霸道,3,International news
396,随机应变,2,mainland China politics
397,明明白白,9,International news
398,虚情假意,1,None
399,至高无上,18,mainland China politics
400,五光十色,2,Hong Kong - Macau politics
401,苦心经营,2,mainland China politics
402,欢天喜地,1,mainland China politics
403,身败名裂,4,sports
404,饥不择食,1,financial news
405,千载难逢,16,Hong Kong - Macau politics
406,念念不忘,12,International news
407,源远流长,42,culture
408,顶天立地,14,culture
409,形形色色,38,Hong Kong - Macau politics
410,无所适从,9,International news
411,万无一失,18,sports
412,铤而走险,10,Hong Kong - Macau politics
413,兴师动众,1,mainland China politics
414,绰绰有余,1,mainland China politics
415,积少成多,2,culture
416,兴风作浪,29,Hong Kong - Macau politics
417,借题发挥,6,Hong Kong - Macau politics
418,改头换面,6,culture
419,因势利导,23,financial news
420,无中生有,12,financial news
421,天花乱坠,3,mainland China politics
422,虚张声势,4,International news
423,和盘托出,1,mainland China politics
424,一团和气,6,sports
425,瞻前顾后,8,financial news
426,养尊处优,1,mainland China politics
427,放任自流,9,Hong Kong - Macau politics
428,背井离乡,1,International news
429,四通八达,9,financial news
430,不屈不挠,53,culture
431,切肤之痛,2,International news
432,正大光明,1,financial news
433,迫不及待,8,financial news
434,众口难调,1,None
435,势不可当,4,mainland China politics
436,不可收拾,4,Hong Kong - Macau politics
437,不可思议,7,culture
438,身不由己,3,mainland China politics
439,虎头蛇尾,13,mainland China politics
440,左右为难,2,financial news
441,迫在眉睫,18,International news
442,举足轻重,24,financial news
443,扬眉吐气,7,culture
444,贪得无厌,3,financial news
445,其貌不扬,1,mainland China politics
446,成人之美,1,mainland China politics
447,别开生面,6,culture
448,左右逢源,7,sports
449,心心相印,33,mainland China politics
450,人浮于事,1,mainland China politics
451,大有作为,51,sports
452,问心无愧,3,mainland China politics
453,改邪归正,1,None
454,不谋而合,6,financial news
455,千钧一发,2,mainland China politics
456,斤斤计较,5,sports
457,背道而驰,35,International news
458,理所当然,10,Hong Kong - Macau politics
459,出生入死,3,Hong Kong - Macau politics
460,卑躬屈膝,1,International news
461,一孔之见,1,culture
462,左顾右盼,1,culture
463,得不偿失,12,Hong Kong - Macau politics
464,望眼欲穿,1,mainland China politics
465,鬼头鬼脑,1,None
466,同病相怜,1,Hong Kong - Macau politics
467,强人所难,4,mainland China politics
468,随波逐流,5,culture
469,按部就班,6,sports
470,袖手旁观,4,International news
471,同归于尽,2,Hong Kong - Macau politics
472,根深蒂固,30,International news
473,土崩瓦解,1,mainland China politics
474,千头万绪,30,mainland China politics
475,不可一世,5,culture
476,先斩后奏,1,mainland China politics
477,草木皆兵,9,International news
478,千变万化,1,mainland China politics
479,空空如也,1,culture
480,头头是道,3,mainland China politics
481,妙手回春,1,culture
482,细水长流,4,culture
483,两全其美,1,culture
484,飞沙走石,1,None
485,裹足不前,3,mainland China politics
486,垂头丧气,1,None
487,水落石出,1,mainland China politics
488,标新立异,1,None
489,不拘一格,16,mainland China politics
490,相依为命,1,mainland China politics
491,大刀阔斧,14,financial news
492,当机立断,8,Hong Kong - Macau politics
493,自欺欺人,31,International news
494,白日做梦,1,None
495,粗枝大叶,3,mainland China politics
496,礼尚往来,3,culture
497,呼风唤雨,1,International news
498,精益求精,36,sports
499,胡作非为,8,Hong Kong - Macau politics
500,开门见山,4,culture
501,狭路相逢,19,mainland China politics
502,历历在目,6,Hong Kong - Macau politics
503,里应外合,4,entertainment
504,蛛丝马迹,1,mainland China politics
505,充耳不闻,11,International news
506,视而不见,50,Hong Kong - Macau politics
507,志同道合,14,International news
508,小心翼翼,7,culture
509,投其所好,1,mainland China politics
510,雷厉风行,30,mainland China politics
511,继往开来,114,mainland China politics
512,白手起家,10,financial news
513,恩将仇报,2,culture
514,鸟语花香,12,mainland China politics
515,引人入胜,6,culture
516,首当其冲,10,Hong Kong - Macau politics
517,心不在焉,2,mainland China politics
518,有声有色,6,Hong Kong - Macau politics
519,名不副实,3,mainland China politics
520,绝处逢生,2,None
521,高不可攀,3,mainland China politics
522,货真价实,1,mainland China politics
523,望而生畏,4,financial news
524,水泄不通,2,culture
525,不攻自破,23,sports
526,迎刃而解,15,mainland China politics
527,实事求是,286,mainland China politics
528,饥寒交迫,2,culture
529,喜出望外,2,Hong Kong - Macau politics
530,一尘不染,2,culture
531,不近人情,3,mainland China politics
532,不足为奇,3,International news
533,空前绝后,1,None
534,神魂颠倒,1,mainland China politics
535,同舟共济,378,mainland China politics
536,谈何容易,4,International news
537,走投无路,3,International news
538,称王称霸,1,culture
539,麻木不仁,4,Hong Kong - Macau politics
540,眼花缭乱,10,sports
541,装模作样,1,None
542,唯唯诺诺,1,mainland China politics
543,高人一等,11,sports
544,有口无心,1,mainland China politics
545,推心置腹,6,culture
546,打退堂鼓,2,mainland China politics
547,顾此失彼,19,financial news
548,面面俱到,2,financial news
549,不可救药,3,Hong Kong - Macau politics
550,危在旦夕,1,mainland China politics
551,粉墨登场,2,Hong Kong - Macau politics
552,弱不禁风,2,International news
553,泾渭分明,3,International news
554,明火执仗,4,International news
555,任人唯贤,21,mainland China politics
556,有机可乘,3,mainland China politics
557,燃眉之急,15,financial news
558,满腹经纶,1,mainland China politics
559,含糊其辞,1,mainland China politics
560,销声匿迹,7,culture
561,不分彼此,4,Hong Kong - Macau politics
562,千篇一律,6,culture
563,百花齐放,41,culture
564,来者不拒,1,mainland China politics
565,好高骛远,4,mainland China politics
566,与人为善,11,culture
567,格格不入,21,International news
568,大快人心,1,None
569,苦口婆心,1,International news
570,轻描淡写,12,sports
571,操之过急,3,mainland China politics
572,日积月累,23,culture
573,安分守己,1,mainland China politics
574,一日千里,6,culture
575,背信弃义,11,International news
576,万紫千红,5,culture
577,莫名其妙,4,International news
578,无稽之谈,19,International news
579,老马识途,1,None
580,骇人听闻,12,sports
581,安如泰山,1,mainland China politics
582,异曲同工,4,culture
583,九牛一毛,1,financial news
584,百川归海,1,mainland China politics
585,改过自新,1,mainland China politics
586,论功行赏,2,mainland China politics
587,从天而降,10,mainland China politics
588,疾恶如仇,1,mainland China politics
589,攀龙附凤,1,mainland China politics
590,指鹿为马,7,International news
591,鸿鹄之志,5,culture
592,好大喜功,7,culture
593,噤若寒蝉,1,None
594,草菅人命,1,None
595,尸位素餐,6,mainland China politics
596,防微杜渐,21,mainland China politics
597,取而代之,6,culture
598,如坐针毡,3,International news
599,侃侃而谈,2,culture
600,众志成城,337,sports
601,城下之盟,2,International news
602,讳莫如深,3,International news
603,包藏祸心,4,entertainment
604,病入膏肓,1,Hong Kong - Macau politics
605,后悔莫及,1,sports
606,马首是瞻,3,culture
607,疲于奔命,1,mainland China politics
608,狼子野心,5,International news
609,杞人忧天,2,mainland China politics
610,刚愎自用,4,culture
611,竭泽而渔,19,financial news
612,居安思危,77,sports
613,捉襟见肘,7,International news
614,卧薪尝胆,1,mainland China politics
615,骄奢淫逸,1,mainland China politics
616,举棋不定,2,mainland China politics
617,亡羊补牢,7,International news
618,游刃有余,3,culture
619,一曝十寒,2,mainland China politics
620,南辕北辙,10,International news
621,奉公守法,1,mainland China politics
622,旷日持久,5,Hong Kong - Macau politics
623,缘木求鱼,8,financial news
624,刻舟求剑,7,International news
625,三人成虎,2,International news
626,井底之蛙,1,financial news
627,成竹在胸,5,mainland China politics
628,水滴石穿,4,culture
629,脍炙人口,8,culture
630,爱屋及乌,1,culture
631,呕心沥血,19,culture
632,庸人自扰,2,International news
633,模棱两可,2,mainland China politics
634,宠辱不惊,2,culture
635,沆瀣一气,10,Hong Kong - Macau politics
636,功亏一篑,15,financial news
637,明哲保身,10,mainland China politics
638,天经地义,22,Hong Kong - Macau politics
639,白驹过隙,4,mainland China politics
640,含沙射影,1,mainland China politics
641,丧心病狂,14,Hong Kong - Macau politics
642,奴颜婢膝,2,Hong Kong - Macau politics
643,釜底抽薪,6,International news
644,精忠报国,4,culture
645,玩物丧志,1,mainland China politics
646,八面威风,1,mainland China politics
647,害群之马,9,Hong Kong - Macau politics
648,为虎作伥,2,mainland China politics
649,如意算盘,8,sports
650,天衣无缝,1,mainland China politics
651,越俎代庖,2,International news
652,黔驴技穷,1,mainland China politics
653,惊弓之鸟,1,Hong Kong - Macau politics
654,鱼目混珠,3,mainland China politics
655,火中取栗,7,Hong Kong - Macau politics
656,杯水车薪,4,International news
657,车水马龙,7,financial news
658,迷途知返,9,financial news
659,弃之可惜,1,culture
660,兵贵神速,1,mainland China politics
661,披荆斩棘,119,mainland China politics
662,乐此不疲,6,International news
663,渐入佳境,4,culture
664,城狐社鼠,1,mainland China politics
665,兢兢业业,33,sports
666,后起之秀,3,financial news
667,风声鹤唳,3,International news
668,功败垂成,1,sports
669,穷兵黩武,6,culture
670,偃旗息鼓,1,Hong Kong - Macau politics
671,身先士卒,16,mainland China politics
672,价值连城,1,culture
673,崇洋媚外,2,culture
674,数不胜数,13,entertainment
675,马不停蹄,11,financial news
676,知难而退,1,mainland China politics
677,盘根错节,3,International news
678,如虎添翼,1,mainland China politics
679,高朋满座,2,mainland China politics
680,妖言惑众,1,mainland China politics
681,玩火自焚,3,Hong Kong - Macau politics
682,一息尚存,1,entertainment
683,纲举目张,4,financial news
684,耳闻目睹,1,culture
685,人所共知,2,mainland China politics
686,无懈可击,2,mainland China politics
687,虚无缥缈,12,entertainment
688,名副其实,21,financial news
689,不肖子孙,1,Hong Kong - Macau politics
690,死而后已,1,culture
691,变幻莫测,4,financial news
692,前所未有,552,financial news
693,从容不迫,18,culture
694,闻所未闻,2,Hong Kong - Macau politics
695,不期而遇,9,culture
696,参差不齐,3,financial news
697,不识好歹,1,mainland China politics
698,心领神会,1,mainland China politics
699,不知不觉,12,culture
700,颠倒是非,16,Hong Kong - Macau politics
701,转危为安,18,financial news
702,装聋作哑,4,mainland China politics
703,熟视无睹,10,Hong Kong - Macau politics
704,恍然大悟,1,None
705,掉以轻心,45,mainland China politics
706,推己及人,4,culture
707,信手拈来,1,mainland China politics
708,不一而足,7,mainland China politics
709,不计其数,9,culture
710,顺理成章,2,financial news
711,知人善任,3,mainland China politics
712,姑息养奸,1,None
713,彻头彻尾,9,Hong Kong - Macau politics
714,无穷无尽,12,culture
715,事与愿违,8,financial news
716,言之成理,1,None
717,各自为政,22,mainland China politics
718,来日方长,1,None
719,人微言轻,1,mainland China politics
720,词不达意,1,culture
721,普天同庆,1,mainland China politics
722,人之常情,6,culture
723,人心所向,56,sports
724,旁观者清,2,International news
725,神乎其神,1,None
726,来龙去脉,13,financial news
727,事过境迁,1,None
728,言传身教,6,Hong Kong - Macau politics
729,胡言乱语,4,International news
730,因地制宜,184,financial news
731,胡说八道,3,International news
732,煞费苦心,3,International news
733,冒名顶替,3,mainland China politics
734,盲人摸象,5,culture
735,乘虚而入,11,International news
736,风雨飘摇,5,financial news
737,不痛不痒,1,financial news
738,风云变幻,68,mainland China politics
739,水到渠成,13,financial news
740,堂堂正正,16,Hong Kong - Macau politics
741,令行禁止,42,mainland China politics
742,量入为出,4,financial news
743,开诚布公,5,financial news
744,无恶不作,2,Hong Kong - Macau politics
745,惹火烧身,1,mainland China politics
746,热气腾腾,5,financial news
747,偷梁换柱,3,International news
748,目瞪口呆,1,None
749,分庭抗礼,1,mainland China politics
750,风雨同舟,105,mainland China politics
751,卷土重来,11,culture
752,快马加鞭,12,financial news
753,星罗棋布,5,financial news
754,作茧自缚,2,International news
755,似是而非,5,Hong Kong - Macau politics
756,休戚相关,17,International news
757,浮光掠影,4,mainland China politics
758,坐以待毙,1,International news
759,坐吃山空,3,financial news
760,一心一意,23,mainland China politics
761,删繁就简,5,culture
762,肝胆相照,7,culture
763,抛头露面,1,culture
764,乌合之众,1,None
765,声泪俱下,1,mainland China politics
766,发人深省,22,culture
767,引狼入室,3,sports
768,貌合神离,3,financial news
769,损人利己,6,International news
770,舍近求远,2,financial news
771,大发雷霆,1,mainland China politics
772,东拼西凑,3,culture
773,跋山涉水,70,culture
774,畅所欲言,5,culture
775,口口声声,29,International news
776,并驾齐驱,4,financial news
777,倾家荡产,1,mainland China politics
778,例行公事,1,mainland China politics
779,全军覆没,1,culture
780,心猿意马,1,mainland China politics
781,回头是岸,2,Hong Kong - Macau politics
782,风流人物,3,entertainment
783,津津有味,1,None
784,蠢蠢欲动,3,Hong Kong - Macau politics
785,出神入化,1,culture
786,枉费心机,17,International news
787,一技之长,9,culture
788,洁身自好,2,culture
789,未老先衰,2,mainland China politics
790,群策群力,34,Hong Kong - Macau politics
791,忍气吞声,1,International news
792,光明正大,3,financial news
793,安营扎寨,1,sports
794,束之高阁,3,International news
795,无所不至,1,mainland China politics
796,寸草春晖,1,None
797,不自量力,8,International news
798,弄巧成拙,3,culture
799,出乎意外,1,culture
800,突如其来,323,financial news
801,本来面目,1,International news
802,井井有条,3,mainland China politics
803,有口皆碑,4,financial news
804,浑然一体,3,financial news
805,雪上加霜,26,International news
806,流连忘返,1,culture
807,不以为然,7,entertainment
808,不见经传,4,culture
809,食不果腹,2,culture
810,可有可无,4,financial news
811,刻不容缓,44,Hong Kong - Macau politics
812,轰动一时,1,culture
813,自然而然,22,culture
814,一衣带水,2,culture
815,泥沙俱下,12,culture
816,山崩地裂,1,mainland China politics
817,无人问津,2,culture
818,不义之财,1,mainland China politics
819,混为一谈,1,Hong Kong - Macau politics
820,海市蜃楼,2,International news
821,百感交集,1,None
822,人困马乏,2,financial news
823,权宜之计,23,financial news
824,不辞劳苦,5,mainland China politics
825,不远万里,7,financial news
826,威风凛凛,1,financial news
827,独善其身,80,entertainment
828,光彩夺目,5,mainland China politics
829,奔走相告,1,None
830,不修边幅,1,culture
831,嗤之以鼻,8,International news
832,坐井观天,1,mainland China politics
833,崇山峻岭,8,culture
834,因循守旧,18,financial news
835,吃里扒外,1,None
836,天各一方,1,mainland China politics
837,好为人师,1,None
838,风起云涌,14,financial news
839,喜形于色,1,Hong Kong - Macau politics
840,蹉跎岁月,1,sports
841,平分秋色,1,financial news
842,千方百计,132,financial news
843,不遗余力,58,Hong Kong - Macau politics
844,万古流芳,1,None
845,取长补短,32,culture
846,一掷千金,1,None
847,人才济济,2,culture
848,知己知彼,2,mainland China politics
849,了如指掌,1,None
850,不知所措,4,sports
851,不动声色,2,financial news
852,以己度人,5,International news
853,逢场作戏,3,mainland China politics
854,假公济私,1,culture
855,悔之晚矣,2,financial news
856,朝令夕改,7,mainland China politics
857,犬牙交错,1,culture
858,打成一片,12,culture
859,寻根究底,1,None
860,千辛万苦,29,mainland China politics
861,牢不可破,14,mainland China politics
862,不可磨灭,16,culture
863,空洞无物,1,mainland China politics
864,无微不至,3,mainland China politics
865,千疮百孔,2,financial news
866,永垂不朽,5,culture
867,闻风而动,1,mainland China politics
868,融为一体,28,culture
869,低声下气,1,International news
870,一手遮天,1,Hong Kong - Macau politics
871,明知故犯,4,Hong Kong - Macau politics
872,弹无虚发,1,None
873,落井下石,9,International news
874,阳春白雪,1,culture
875,手忙脚乱,3,mainland China politics
876,惊心动魄,33,sports
877,救死扶伤,65,sports
878,有勇无谋,2,None
879,丰衣足食,11,culture
880,随心所欲,12,culture
881,食不甘味,1,mainland China politics
882,素昧平生,1,mainland China politics
883,忐忑不安,1,International news
884,专心致志,6,culture
885,一知半解,10,International news
886,劳民伤财,9,mainland China politics
887,岌岌可危,3,International news
888,半壁江山,10,financial news
889,宾至如归,2,mainland China politics
890,山清水秀,12,mainland China politics
891,雄才大略,3,mainland China politics
892,金玉良言,1,None
893,过犹不及,4,mainland China politics
894,趾高气扬,2,Hong Kong - Macau politics
895,患难与共,33,International news
896,周而复始,3,financial news
