Record Type,CDS Code,County,District,School,Entity Type,Low Grade,High Grade,Public Yes/No,Latitude,Longitude
School,01611436141709,Alameda,Berkeley Unified,East Bay School for Boys,Elementary School (Private),6,8,N,37.867295,-122.261659
School,01611436900757,Alameda,Berkeley Unified,Ecole Bilingue De Berkeley,Elementary School (Private),K,8,N,37.854304,-122.289329
School,01611436138291,Alameda,Berkeley Unified,Fusion Academy Berkeley,K-12 Schools (Private),6,12,N,37.868315,-122.298128
School,01611436932990,Alameda,Berkeley Unified,Maybeck High School,High Schools (Private),9,12,N,37.862017,-122.253370
School,01611436933162,Alameda,Berkeley Unified,Saint Mary's College High School,High Schools (Private),9,12,N,37.882303,-122.283671
School,01611436973085,Alameda,Berkeley Unified,School of the Madeleine,Elementary School (Private),K,8,N,37.884809,-122.272048
School,01611436139620,Alameda,Berkeley Unified,Shu Ren International School,Elementary School (Private),K,5,N,37.869099,-122.278032
School,01611436972533,Alameda,Berkeley Unified,The Academy,Elementary School (Private),K,8,N,37.860796,-122.255027
School,01611436967442,Alameda,Berkeley Unified,The Berkeley School,Elementary School (Private),K,8,N,37.870112,-122.285655
School,01611436928766,Alameda,Berkeley Unified,The Crowden School,Elementary School (Private),3,8,N,37.878992,-122.283133
School,01611437045552,Alameda,Berkeley Unified,Via Center,Ungraded Schools (Private),K,12,N,37.865625,-122.297290
School,01611436994651,Alameda,Berkeley Unified,Walden Center & School,Elementary School (Private),K,6,N,37.863574,-122.273564
School,01611506133441,Alameda,Castro Valley Unified,Anchor Education Inc. dba OneSchool Global - San Francisco,K-12 Schools (Private),3,12,N,37.705776,-122.089506
School,01611506970651,Alameda,Castro Valley Unified,Our Lady of Grace School,Elementary School (Private),K,8,N,37.700564,-122.083326
School,01611506913131,Alameda,Castro Valley Unified,Redwood Christian Elementary,Elementary School (Private),K,5,N,37.705742,-122.073825
School,01611506146716,Alameda,Castro Valley Unified,The Montessori Giving Tree,Elementary School (Private),K,8,N,37.684493,-122.081237
School,01750936995641,Alameda,Dublin Unified,Fountainhead Montessori School,Kindergartens (Private),K,6,N,37.701490,-121.926016
School,01750937012222,Alameda,Dublin Unified,St. Raymond,Elementary School (Private),K,8,N,37.713837,-121.939753
School,01750937103989,Alameda,Dublin Unified,The Quarry Lane School,Elementary School (Private),K,12,N,37.727674,-121.870143
School,01750936972657,Alameda,Dublin Unified,Valley Christian Elementary School,Elementary School (Private),K,5,N,37.702659,-121.954926
School,01750936933170,Alameda,Dublin Unified,Valley Christian Middle / Senior High School,K-12 Schools (Private),6,12,N,37.702659,-121.954926
School,01611686148506,Alameda,Emery Unified,East Bay German International School,Elementary School (Private),K,8,N,37.832420,-122.278725
School,01611686160816,Alameda,Emery Unified,Guidepost Montessori at Emeryville,Kindergartens (Private),K,K,N,37.844408,-122.290155
School,01611767103799,Alameda,Fremont Unified,Alsion Montessori Middle/High,K-12 Schools (Private),7,12,N,37.532296,-121.913793
School,01611766142459,Alameda,Fremont Unified,Averroes High School,High Schools (Private),9,12,N,37.531551,-121.920066
School,01611766152276,Alameda,Fremont Unified,BASIS Independent Fremont,Elementary School (Private),K,5,N,37.547816,-121.975224
School,01611766159222,Alameda,Fremont Unified,BASIS Independent Fremont Upper School,Elementary School (Private),6,10,N,37.559420,-121.953721
School,01611766909840,Alameda,Fremont Unified,Fremont Christian School,K-12 Schools (Private),K,12,N,37.550372,-122.017886
School,01611766972731,Alameda,Fremont Unified,Holy Spirit Elementary,Elementary School (Private),K,8,N,37.557257,-122.004332
School,01611766140461,Alameda,Fremont Unified,Ilm Academy,Elementary School (Private),K,9,N,37.509293,-121.971802
School,01611766993778,Alameda,Fremont Unified,Montessori School of Fremont,Elementary School (Private),K,6,N,37.533864,-121.921844
School,01611767047236,Alameda,Fremont Unified,New Horizons School,Elementary School (Private),K,8,N,37.532181,-122.033002
School,01611766970628,Alameda,Fremont Unified,Our Lady of Guadalupe,Elementary School (Private),K,8,N,37.540055,-121.967385
School,01611767100902,Alameda,Fremont Unified,Peace Terrace Academy,Elementary School (Private),K,8,N,37.580684,-122.054900
School,01611766967483,Alameda,Fremont Unified,Prince of Peace Lutheran School,Elementary School (Private),K,8,N,37.551852,-121.995548
School,01611766161467,Alameda,Fremont Unified,Reeder Academy,K-12 Schools (Private),1,12,N,37.495707,-121.934290
School,01611766158778,Alameda,Fremont Unified,Rivendell Academy of Fremont,K-12 Schools (Private),K,12,N,37.589715,-122.061328
School,01611766972996,Alameda,Fremont Unified,St. Joseph Elementary,Elementary School (Private),K,8,N,37.534973,-121.918985
School,01611766141923,Alameda,Fremont Unified,Stratford School,Kindergartens (Private),K,K,N,37.551055,-121.993978
School,01611766206023,Alameda,Fremont Unified,Stratford School,Elementary School (Private),K,8,N,37.521134,-121.947444
School,01611926965909,Alameda,Hayward Unified,All Saints Catholic School,Elementary School (Private),K,8,N,37.672520,-122.076065
School,01611926975999,Alameda,Hayward Unified,Bayside Seventh-day Adventist Christian,Elementary School (Private),K,8,N,37.643244,-122.081007
School,01611926143754,Alameda,Hayward Unified,California Crosspoint Academy,High Schools (Private),K,12,N,37.636843,-122.114388
School,01611927003304,Alameda,Hayward Unified,Lea's Christian,Elementary School (Private),K,5,N,37.674323,-122.126438
School,01611927103286,Alameda,Hayward Unified,Montessori Children's House of Hayward,Elementary School (Private),K,3,N,37.637716,-122.102950
School,01611926933006,Alameda,Hayward Unified,Moreau Catholic High School,High Schools (Private),9,12,N,37.644419,-122.060088
School,01611926200877,Alameda,Hayward Unified,Northstar School,Elementary School (Private),K,8,N,37.688609,-122.054174
School,01611926965917,Alameda,Hayward Unified,Saint Clement Catholic School,Elementary School (Private),K,8,N,37.642596,-122.058038
School,01611926204713,Alameda,Hayward Unified,Spectrum Schools Mission Valley Campus,Ungraded Schools (Private),K,12,N,37.662066,-122.057966
School,01611926972871,Alameda,Hayward Unified,St. Bede Catholic School,Elementary School (Private),K,8,N,37.638487,-122.079618
School,01611926972970,Alameda,Hayward Unified,St. Joachim's Elementary,Elementary School (Private),K,8,N,37.663264,-122.115837
School,01611926142699,Alameda,Hayward Unified,Stellar Preparatory High School,High Schools (Private),8,12,N,37.672048,-122.083535
School,01611926160311,Alameda,Hayward Unified,Thomas Martial Arts & Fitness Academy,K-12 Schools (Private),K,12,N,37.646069,-122.122840
School,01612006151682,Alameda,Livermore Valley Joint Unified,Elite Self Defense Private School,Elementary School (Private),K,8,N,37.680833,-121.767785
School,01612006153472,Alameda,Livermore Valley Joint Unified,King's Classical Academy,K-12 Schools (Private),K,12,N,37.660089,-121.784030
School,01612006995583,Alameda,Livermore Valley Joint Unified,Our Savior Lutheran School,Elementary School (Private),K,8,N,37.671547,-121.752717
School,01612006163695,Alameda,Livermore Valley Joint Unified,Red Ranch School House,Elementary School (Private),K,2,N,37.735367,-121.808683
School,01612006158794,Alameda,Livermore Valley Joint Unified,Sierra School at Lawrence,Elementary School (Private),K,5,N,37.690076,-121.770611
School,01612006158802,Alameda,Livermore Valley Joint Unified,Sierra School at Livermore HIgh School,High Schools (Private),9,12,N,37.680816,-121.761531
School,01612007081383,Alameda,Livermore Valley Joint Unified,Sonrise Christian Academy,Elementary School (Private),1,12,N,37.764073,-121.443164
School,01612006967525,Alameda,Livermore Valley Joint Unified,St. Michael School,Elementary School (Private),K,8,N,37.682808,-121.763672
School,01612006900773,Alameda,Livermore Valley Joint Unified,Valley Montessori School,Elementary School (Private),K,8,N,37.695883,-121.771657
School,01612006159214,Alameda,Livermore Valley Joint Unified,Verity Academy East Bay,K-12 Schools (Private),1,12,N,37.720035,-121.746573
School,01612426138648,Alameda,New Haven Unified,Mission Hills Middle School,Elementary School (Private),K,8,N,37.607976,-122.027079
School,01612427077548,Alameda,New Haven Unified,Seneca Family of Agencies - Pathfinder Academy,K-12 Schools (Private),7,12,N,37.599914,-122.019946
School,01612427088743,Alameda,New Haven Unified,Union City Christian School,K-12 Schools (Private),K,12,N,37.591455,-122.034305
School,01612347091234,Alameda,Newark Unified,Challenger School - Newark,Kindergartens (Private),K,K,N,37.521716,-121.997992
School,01612347055411,Alameda,Newark Unified,Challenger School – Ardenwood,Elementary School (Private),K,8,N,37.546591,-122.053379
School,01612346972921,Alameda,Newark Unified,St. Edward Parish,Elementary School (Private),K,8,N,37.539558,-122.027673
School,01612347045446,Alameda,Newark Unified,Stellar Academy for Dyslexics,Elementary School (Private),3,8,N,37.517001,-122.004268
School,01612346152755,Alameda,Newark Unified,Young Champions,Elementary School (Private),K,5,N,37.521637,-121.996984
School,01612596910343,Alameda,Oakland Unified,Agnes Memorial Christian Academy,K-12 Schools (Private),K,12,N,37.782811,-122.234523
School,01612596161111,Alameda,Oakland Unified,All Aspects Academy,K-12 Schools (Private),K,12,N,37.963842,-121.992008
School,01612597071632,Alameda,Oakland Unified,Aurora School,Elementary School (Private),K,8,N,37.840037,-122.231514
School,01612596134100,Alameda,Oakland Unified,Baywood Learning Centers,Ungraded Schools (Private),1,12,N,37.789553,-122.165612
School,01612596967475,Alameda,Oakland Unified,Bentley School,Elementary School (Private),K,8,N,37.853070,-122.233750
School,01612596932784,Alameda,Oakland Unified,Bishop O'Dowd High School,High Schools (Private),9,12,N,37.753258,-122.154747
School,01612596154736,Alameda,Oakland Unified,Cristo Rey De La Salle East Bay High School,High Schools (Private),9,12,N,37.778790,-122.222526
School,01612596149835,Alameda,Oakland Unified,Deecolonize Academy,Elementary School (Private),K,12,N,37.763889,-122.165137
School,01612596138184,Alameda,Oakland Unified,Escuela Bilingüe Internacional,Elementary School (Private),K,8,N,37.850698,-122.256938
School,01612596909832,Alameda,Oakland Unified,Fred Finch–Oakland Hills Academy,K-12 Schools (Private),6,12,N,37.800363,-122.205667
School,01612597071970,Alameda,Oakland Unified,Grand Lake Montessori,Elementary School (Private),K,6,N,37.816096,-122.250904
School,01612597083397,Alameda,Oakland Unified,Growing Light Montessori School,Elementary School (Private),K,K,N,37.809869,-122.200602
School,01612596932925,Alameda,Oakland Unified,Head-Royce School,K-12 Schools (Private),K,12,N,37.808926,-122.204924
School,01612596932941,Alameda,Oakland Unified,Holy Names High School,High Schools (Private),9,12,N,37.839411,-122.231037
School,01612597099518,Alameda,Oakland Unified,Julia Morgan School for Girls,Elementary School (Private),6,8,N,37.804364,-122.271114
School,01612596133722,Alameda,Oakland Unified,LAMBO Academy International,Elementary School (Private),9,12,N,37.799122,-122.268269
School,01612596144950,Alameda,Oakland Unified,Mentoring Academy,High Schools (Private),9,12,N,37.848021,-122.252418
School,01612596906549,Alameda,Oakland Unified,Mills College Children's School,Elementary School (Private),K,5,N,37.780921,-122.182631
School,01612597098106,Alameda,Oakland Unified,Muhammad University,K-12 Schools (Private),K,12,N,37.772397,-122.201099
School,01612597081524,Alameda,Oakland Unified,Oakland Hebrew Day School,Elementary School (Private),K,8,N,37.797849,-122.169984
School,01612596205629,Alameda,Oakland Unified,Pacific Boychoir Academy,Elementary School (Private),3,8,N,37.829135,-122.252690
School,01612596998470,Alameda,Oakland Unified,Park Day School,Elementary School (Private),K,8,N,37.831555,-122.257391
School,01612596933022,Alameda,Oakland Unified,Patten Academy of Christian Education,K-12 Schools (Private),K,12,N,37.786084,-122.218749
School,01612596150544,Alameda,Oakland Unified,Pear Tree Community School,Elementary School (Private),K,8,N,37.824109,-122.208486
School,01612596933030,Alameda,Oakland Unified,Pentecostal Way of Truth School Academy,K-12 Schools (Private),K,12,N,37.805598,-122.297818
School,01612596994727,Alameda,Oakland Unified,Raskob Day School & Learning Institute,Elementary School (Private),3,8,N,37.801532,-122.186763
School,01612596995542,Alameda,Oakland Unified,Redwood Day School,Elementary School (Private),K,8,N,37.798432,-122.221297
School,01612596973010,Alameda,Oakland Unified,Saint Leo the Great School,Elementary School (Private),K,8,N,37.828654,-122.250570
School,01612596140131,Alameda,Oakland Unified,Seneca Family of Agencies Maya Angelou Academy,Elementary School (Private),K,5,N,37.789055,-122.193384
School,01612597077878,Alameda,Oakland Unified,Spectrum Center Oakland Campus,Ungraded Schools (Private),K,12,N,37.772411,-122.182766
School,01612596904452,Alameda,Oakland Unified,St. Andrew M.B.C. Private P. C. P. C.,K-12 Schools (Private),K,12,N,37.817076,-122.273892
School,01612596967517,Alameda,Oakland Unified,St. Anthony School,Elementary School (Private),K,8,N,37.789081,-122.242965
School,01612596972939,Alameda,Oakland Unified,St. Elizabeth School (A Lumen Christi Academy),Elementary School (Private),K,8,N,37.778565,-122.223464
School,01612596960694,Alameda,Oakland Unified,St. Paul's Episcopal School,Elementary School (Private),K,8,N,37.811142,-122.259961
School,01612596967533,Alameda,Oakland Unified,St. Theresa School,Elementary School (Private),K,8,N,37.837059,-122.231398
School,01612596994107,Alameda,Oakland Unified,St. Vincent's Day Home,Kindergartens (Private),K,K,N,37.804911,-122.286090
School,01612596203814,Alameda,Oakland Unified,Starlite School,Kindergartens (Private),K,K,N,37.804364,-122.271114
School,01612596932818,Alameda,Oakland Unified,The College Preparatory School,High Schools (Private),9,12,N,37.848796,-122.241483
School,01612596141048,Alameda,Oakland Unified,The Renaissance International School Inc.,Elementary School (Private),K,9,N,37.803117,-122.215922
School,01612756972632,Alameda,Piedmont City Unified,Corpus Christi Elementary,Elementary School (Private),K,8,N,37.813785,-122.214036
School,01751016162861,Alameda,Pleasanton Unified,Big Minds,Elementary School (Private),K,8,N,37.698641,-121.907901
School,01751017082761,Alameda,Pleasanton Unified,Emerson Montessori School Hacienda Campus,Kindergartens (Private),K,8,N,37.693590,-121.900417
School,01751016158455,Alameda,Pleasanton Unified,Futures Academy - Pleasanton,K-12 Schools (Private),6,12,N,37.692513,-121.893005
School,01751017098585,Alameda,Pleasanton Unified,Lighthouse Baptist School,K-12 Schools (Private),K,12,N,37.659407,-121.873027
School,01751016161988,Alameda,Pleasanton Unified,Stratford MIddle School,Elementary School (Private),6,8,N,37.691558,-121.868269
School,01751016143788,Alameda,Pleasanton Unified,Stratford School,Elementary School (Private),K,5,N,37.689688,-121.898489
School,01751010140871,Alameda,Pleasanton Unified,Summa Academy,Elementary School (Private),K,5,N,37.683363,-121.900755
School,01612916972574,Alameda,San Leandro Unified,Assumption,Elementary School (Private),K,8,N,37.719751,-122.136704
School,01612917072317,Alameda,San Leandro Unified,Principled Academy The,Elementary School (Private),K,8,N,37.714995,-122.150234
School,01612916970636,Alameda,San Leandro Unified,St. Leander,Elementary School (Private),K,8,N,37.724221,-122.159339
School,01613097091325,Alameda,San Lorenzo Unified,Lighthouse Christian Academy,K-12 Schools (Private),K,12,N,37.697812,-122.119254
School,01613096157481,Alameda,San Lorenzo Unified,Mission Hills School,Elementary School (Private),K,5,N,37.696966,-122.097299
School,01613096998488,Alameda,San Lorenzo Unified,Redwood Christian Middle School and High School,K-12 Schools (Private),6,12,N,37.676282,-122.136871
School,01613097035512,Alameda,San Lorenzo Unified,Seneca Family of Agencies - James Baldwin Academy,K-12 Schools (Private),5,12,N,37.708557,-122.111762
School,01613096972947,Alameda,San Lorenzo Unified,St. Felicitas Catholic School,Elementary School (Private),K,8,N,37.690251,-122.158829
School,01613096970602,Alameda,San Lorenzo Unified,St. John Catholic School,Elementary School (Private),K,8,N,37.686741,-122.117354
School,01613096995559,Alameda,San Lorenzo Unified,Woodroe Woods School,Elementary School (Private),1,5,N,37.687253,-122.142162
School,03100336152359,Amador,Amador County Office of Education,Whispering Pines Christian School,Elementary School (Private),K,8,N,38.479647,-121.010885
School,03739816910335,Amador,Amador County Unified,Community Christian School,Elementary School (Private),K,8,N,38.411433,-120.678635
School,03739816164420,Amador,Amador County Unified,UNIVERSIDAD BIBLICA DE LAS AMERICAS,K-12 Schools (Private),K,12,N,38.419386,-120.824401
School,04613826133458,Butte,Bangor Union Elementary,Maranatha Christian School,Elementary School (Private),1,10,N,Information Redacted,Information Redacted
School,04614247034820,Butte,Chico Unified,Chico Oaks Adventist School,Elementary School (Private),K,8,N,39.755665,-121.804543
School,04614246153449,Butte,Chico Unified,HopeAcademy for Personalized Education,Elementary School (Private),K,8,N,39.730177,-121.806312
School,04614246967582,Butte,Chico Unified,Notre Dame School,Elementary School (Private),K,8,N,39.725713,-121.843103
School,04614246973903,Butte,Chico Unified,Paradise Adventist Academy,K-12 Schools (Private),9,12,N,39.753973,-121.618594
School,04614247082480,Butte,Chico Unified,Pleasant Valley Baptist Schools,K-12 Schools (Private),K,12,N,39.790181,-121.891327
School,04614247103864,Butte,Chico Unified,Zanella Academy,K-12 Schools (Private),K,12,N,39.771533,-121.811613
School,04615076906598,Butte,Oroville City Elementary,Oroville Christian School,K-12 Schools (Private),K,8,N,39.506091,-121.514357
School,04615076143556,Butte,Oroville City Elementary,Sierra School of Butte County,K-12 Schools (Private),1,12,N,39.513184,-121.545990
School,04615076926109,Butte,Oroville City Elementary,St. Thomas the Apostle,Elementary School (Private),K,8,N,39.511176,-121.561068
School,04615236973887,Butte,Palermo Union Elementary,Feather River Adventist,K-12 Schools (Private),K,8,N,39.383373,-121.610135
School,04615316153431,Butte,Paradise Unified,Paradise Adventist Elementary School,Elementary School (Private),K,8,N,39.753973,-121.618594
School,04615317095177,Butte,Paradise Unified,Upward International Schools Inc.,K-12 Schools (Private),K,12,N,39.816043,-121.590964
School,05615566163307,Calaveras,Bret Harte Union High,Charity Crossroads Christian Academy,K-12 Schools (Private),K,12,N,38.266188,-120.467018
School,05615646163257,Calaveras,Calaveras Unified,Calaveritas School,Elementary School (Private),K,12,N,38.157097,-120.610034
School,05615807105059,Calaveras,Vallecito Union,Christian Heritage Academy,K-12 Schools (Private),1,11,N,38.095054,-120.484210
School,06615986905780,Colusa,Colusa Unified,Our Lady of Lourdes Parish,Elementary School (Private),K,8,N,39.205042,-122.014934
School,06616146150007,Colusa,Pierce Joint Unified,Liberty Academy,K-12 Schools (Private),1,12,N,38.885238,-121.969580
School,07616307098544,Contra Costa,Acalanes Union High,Bentley School,High Schools (Private),9,12,N,37.892272,-122.150376
School,07616306149363,Contra Costa,Acalanes Union High,Futures Academy - Walnut Creek,K-12 Schools (Private),6,12,N,37.904312,-122.068919
School,07616306933360,Contra Costa,Acalanes Union High,Holden High School,High Schools (Private),9,12,N,37.885566,-122.189531
School,07616306956973,Contra Costa,Acalanes Union High,Orinda Academy,K-12 Schools (Private),9,12,N,37.883873,-122.183508
School,07616307104953,Contra Costa,Acalanes Union High,Orion Academy,High Schools (Private),9,12,N,37.860814,-122.127942
School,07616487101801,Contra Costa,Antioch Unified,Cornerstone Christian School,K-12 Schools (Private),K,12,N,38.004956,-121.779221
School,07616486146914,Contra Costa,Antioch Unified,Dalet Academy ISP,K-12 Schools (Private),K,12,N,37.964366,-121.797650
School,07616486933410,Contra Costa,Antioch Unified,Heritage Baptist Academy,K-12 Schools (Private),K,12,N,37.956798,-121.750893
School,07616486906622,Contra Costa,Antioch Unified,Hilltop Christian,K-12 Schools (Private),K,8,N,37.969301,-121.783308
School,07616486967640,Contra Costa,Antioch Unified,Holy Rosary,Elementary School (Private),K,8,N,38.007228,-121.804538
School,07616480134445,Contra Costa,Antioch Unified,Sierra School of Antioch - Fremont,K-12 Schools (Private),K,12,N,38.007864,-121.812254
School,07616480134411,Contra Costa,Antioch Unified,Sierra Schools at Antioch - Diablo Vista,Elementary School (Private),K,6,N,37.957726,-121.770407
School,07616480134460,Contra Costa,Antioch Unified,Sierra Schools at Antioch - Grant,Kindergartens (Private),K,K,N,37.985830,-121.768220
School,07616480134478,Contra Costa,Antioch Unified,Sierra Schools at Antioch - Kimball,Elementary School (Private),K,6,N,38.007891,-121.801253
School,07616486151906,Contra Costa,Antioch Unified,Soli Deo Gloria,K-12 Schools (Private),4,12,N,Information Redacted,Information Redacted
School,07616480134064,Contra Costa,Antioch Unified,Spectrum Center Antioch,Elementary School (Private),K,12,N,37.999726,-121.793633
School,07616556162192,Contra Costa,Brentwood Union Elementary,Brentwood Prep,Kindergartens (Private),K,K,N,37.934800,-121.695474
School,07616557072507,Contra Costa,Brentwood Union Elementary,Golden Hills Christian School,K-12 Schools (Private),K,8,N,37.960037,-121.738134
School,07616557104045,Contra Costa,Brentwood Union Elementary,Seneca Family of Agencies - Uprising Academy,K-12 Schools (Private),6,12,N,37.933335,-121.710773
School,07616636140669,Contra Costa,Byron Union Elementary,All God's Children Christian School,Elementary School (Private),K,5,N,37.901330,-121.600185
School,07616636139539,Contra Costa,Byron Union Elementary,Vineyard Academy,Elementary School (Private),K,8,N,37.953583,-121.704850
School,07616977099716,Contra Costa,John Swett Unified,King's Academy,K-12 Schools (Private),1,12,N,38.019122,-122.251364
School,07616976970669,Contra Costa,John Swett Unified,St. Patrick School,Elementary School (Private),K,8,N,38.028940,-122.263195
School,07617136133110,Contra Costa,Lafayette Elementary,Contra Costa Jewish Day School,Elementary School (Private),K,8,N,37.888930,-122.135005
School,07617136160527,Contra Costa,Lafayette Elementary,Growing Light Montessori School,Kindergartens (Private),K,1,N,37.871291,-122.097414
School,07617136998199,Contra Costa,Lafayette Elementary,Meher Schools The,Elementary School (Private),K,5,N,37.891107,-122.087873
School,07617136203855,Contra Costa,Lafayette Elementary,Springstone,Elementary School (Private),6,12,N,37.892183,-122.102802
School,07617136972491,Contra Costa,Lafayette Elementary,St. Perpetua,Elementary School (Private),K,8,N,37.881451,-122.112695
School,07617396969919,Contra Costa,Martinez Unified,St. Catherine of Siena,Elementary School (Private),K,8,N,38.014458,-122.134856
School,07617476972343,Contra Costa,Moraga Elementary,The Saklan School,Elementary School (Private),K,8,N,37.833192,-122.133059
School,07617546134183,Contra Costa,Mt. Diablo Unified,Above and Beyond Academy,K-12 Schools (Private),1,12,N,38.023070,-121.940365
School,07617546160154,Contra Costa,Mt. Diablo Unified,Acton Academy Concord,Elementary School (Private),K,12,N,37.962179,-121.943978
School,07617540112920,Contra Costa,Mt. Diablo Unified,Anova Center for Education Contra Costa,K-12 Schools (Private),1,12,N,37.976705,-122.053849
School,07617546989867,Contra Costa,Mt. Diablo Unified,Bay Christian School,Elementary School (Private),K,8,N,38.023311,-121.982220
School,07617546933337,Contra Costa,Mt. Diablo Unified,Berean Christian High School,High Schools (Private),9,12,N,37.914292,-122.032925
School,07617546933345,Contra Costa,Mt. Diablo Unified,Carondelet High School,High Schools (Private),9,12,N,37.933412,-122.033483
School,07617546967624,Contra Costa,Mt. Diablo Unified,Christ the King Elementary,Elementary School (Private),K,8,N,37.947545,-122.077740
School,07617546906648,Contra Costa,Mt. Diablo Unified,Contra Costa Christian Schools,K-12 Schools (Private),K,12,N,37.922395,-122.078383
School,07617546158992,Contra Costa,Mt. Diablo Unified,De La Salle Academy Inc.,Elementary School (Private),5,8,N,37.975896,-122.047388
School,07617546933394,Contra Costa,Mt. Diablo Unified,De La Salle High School of Concord,High Schools (Private),9,12,N,37.934154,-122.031745
School,07617547095326,Contra Costa,Mt. Diablo Unified,Diablo Valley,Ungraded Schools (Private),K,12,N,37.974066,-122.024693
School,07617546164354,Contra Costa,Mt. Diablo Unified,Excel High School,K-12 Schools (Private),K,12,N,38.007788,-122.090868
School,07617546143416,Contra Costa,Mt. Diablo Unified,Fusion Academy,K-12 Schools (Private),6,12,N,37.929638,-122.058357
School,07617546135610,Contra Costa,Mt. Diablo Unified,Hope Academy for Dyslexics,Elementary School (Private),3,8,N,37.957713,-121.951672
School,07617546933436,Contra Costa,Mt. Diablo Unified,King's Valley Christian School,Elementary School (Private),K,8,N,37.966985,-121.993928
School,07617546130363,Contra Costa,Mt. Diablo Unified,La Cheim School Concord,K-12 Schools (Private),6,12,N,37.977744,-122.024438
School,07617546145528,Contra Costa,Mt. Diablo Unified,Noble Learning Academy LLC,Elementary School (Private),6,8,N,37.901876,-122.067987
School,07617547099229,Contra Costa,Mt. Diablo Unified,NorthCreek Academy,Elementary School (Private),K,8,N,37.922230,-122.028440
School,07617546164412,Contra Costa,Mt. Diablo Unified,Orion Academy,High Schools (Private),9,12,N,37.973499,-122.035666
School,07617546973911,Contra Costa,Mt. Diablo Unified,Pleasant Hill Adventist Academy,K-12 Schools (Private),K,12,N,37.947747,-122.088256
School,07617546967673,Contra Costa,Mt. Diablo Unified,Queen of All Saints Elementary,Elementary School (Private),K,8,N,37.980925,-122.036376
School,07617546967681,Contra Costa,Mt. Diablo Unified,Saint Agnes,Elementary School (Private),K,8,N,37.971788,-122.004633
School,07617546967657,Contra Costa,Mt. Diablo Unified,Saint Francis of Assisi,Elementary School (Private),K,8,N,37.942000,-122.026754
School,07617546148829,Contra Costa,Mt. Diablo Unified,Sonder Creek Academy,Elementary School (Private),K,8,N,37.925447,-122.068675
School,07617546933501,Contra Costa,Mt. Diablo Unified,Spectrum Center Inc.-Valley Campus,Ungraded Schools (Private),K,12,N,37.950809,-122.035798
School,07617546977961,Contra Costa,Mt. Diablo Unified,Tabernacle Christian Inc.,Elementary School (Private),K,8,N,37.974830,-121.985131
School,07617546995658,Contra Costa,Mt. Diablo Unified,The Concordia School,Elementary School (Private),K,6,N,37.972899,-122.022838
School,07617540133249,Contra Costa,Mt. Diablo Unified,Wellspring Educational Services Inc,Elementary School (Private),K,12,N,37.928265,-122.063440
School,07617547092109,Contra Costa,Mt. Diablo Unified,Wood Rose Academy,Elementary School (Private),K,8,N,37.952436,-121.998311
School,07617546987242,Contra Costa,Mt. Diablo Unified,Ygnacio Valley Christian School,Elementary School (Private),K,8,N,37.946888,-121.968463
School,07617887100472,Contra Costa,Pittsburg Unified,Spectrum Center Delta Campus,Ungraded Schools (Private),K,12,N,38.012292,-121.888892
School,07617886965933,Contra Costa,Pittsburg Unified,St. Peter Martyr Elementary,Elementary School (Private),K,8,N,38.033733,-121.890949
