school_name,school_type,position_title,budget_sub_category,total_staff_quantity,total_cost
Amidon-Bowen ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Amidon-Bowen ES,Elementary School,Custodian (RW-5),Custodial Staff,1,44876
Amidon-Bowen ES,Elementary School,Custodian (RW-3),Custodial Staff,2,71430
Amidon-Bowen ES,Elementary School,Afterschool,Non-Personnel,─,64441.32
Amidon-Bowen ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,37200
Amidon-Bowen ES,Elementary School,Middle Grades & 40/40 ES Extended Day Funds,Non-Personnel,─,100000
Amidon-Bowen ES,Elementary School,Admin Premium,Non-Personnel,─,20000
Amidon-Bowen ES,Elementary School,Custodial Overtime,Non-Personnel,─,1000
Amidon-Bowen ES,Elementary School,Educational Supplies,Non-Personnel,─,24541
Amidon-Bowen ES,Elementary School,Office Supplies,Non-Personnel,─,15000
Amidon-Bowen ES,Elementary School,Health Services,Non-Personnel,─,1000
Amidon-Bowen ES,Elementary School,Custodial Supplies,Non-Personnel,─,12000
Amidon-Bowen ES,Elementary School,Furniture & Fixtures,Non-Personnel,─,10000
Amidon-Bowen ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,4000
Amidon-Bowen ES,Elementary School,Contractual Services,Non-Personnel,─,35000
Anacostia HS,High School,Principal,School Leadership,1,147768
Anacostia HS,High School,Assistant Principal - Literacy (APL),School Leadership,1,118667
Anacostia HS,High School,Dean of Students,School Leadership,2,178746
Anacostia HS,High School,Administrative Officer,School Leadership,2,148796
Anacostia HS,High School,Assistant Principal,School Leadership,3,356001
Anacostia HS,High School,Teacher - Teacher Leader Innovation,General Education,2,189252
Anacostia HS,High School,Teacher - (12 month) (JROTC),General Education,1,94626
Anacostia HS,High School,Teacher - (12 month) (JROTC),General Education,1,94626
Anacostia HS,High School,Teacher - Career/Tech Ed (CTE),General Education,1,94626
Anacostia HS,High School,Teacher - English,General Education,5,473130
Anacostia HS,High School,Teacher - Math,General Education,6,567756
Anacostia HS,High School,Teacher - Science (Biology),General Education,1,94626
Anacostia HS,High School,Teacher - Science (Chemistry),General Education,2,189252
Anacostia HS,High School,Teacher - Science (General),General Education,2,189252
Anacostia HS,High School,Teacher - Social Studies,General Education,5,473130
Anacostia HS,High School,Teacher - Specific Learning Support Program,Special Education,2,189252
Anacostia HS,High School,Teacher - Behavior & Education Support Program,Special Education,3,283878
Anacostia HS,High School,Teacher - Communication & Education Support Program,Special Education,2,189252
Anacostia HS,High School,Teacher - Independence & Learning Support Program,Special Education,4,378504
Anacostia HS,High School,Teacher - Inclusion/Resource Services,Special Education,12,1135512
Anacostia HS,High School,Aide - Specific Learning Support Program,Special Education,2,61362
Anacostia HS,High School,Aide - Behavior & Education Support Program,Special Education,3,92043
Anacostia HS,High School,Aide - Communication & Education Support Program,Special Education,4,122724
Anacostia HS,High School,Aide - Independence & Learning Support Program,Special Education,4,122724
Anacostia HS,High School,Coordinator - Special Education,Special Education,1,90918
Anacostia HS,High School,Librarian,Related Arts,1,94626
Anacostia HS,High School,Teacher - Art,Related Arts,1,94626
Anacostia HS,High School,Teacher - Music,Related Arts,1,94626
Anacostia HS,High School,Teacher - Health/Physical Education,Related Arts,2,189252
Anacostia HS,High School,Teacher - World Language,Related Arts,2,189252
Anacostia HS,High School,Psychologist,Socio-Emotional Support,2,189252
Anacostia HS,High School,Social Worker,Socio-Emotional Support,5,473130
Anacostia HS,High School,Coordinator - Ninth Grade Academy,Schoolwide Instructional Support,1,118667
Anacostia HS,High School,Behavior Technician,Socio-Emotional Support,3,117027
Anacostia HS,High School,Guidance Counselor - High School,Socio-Emotional Support,4,393644
Anacostia HS,High School,Registrar,Administrative,1,39448
Anacostia HS,High School,Business Manager,Administrative,1,62752
Anacostia HS,High School,Administrative Aide,Administrative,3,140166
Anacostia HS,High School,Coordinator - In-School Suspension,Socio-Emotional Support,2,92062
Anacostia HS,High School,Director - School Operations,Administrative,1,98825
Anacostia HS,High School,Assistant - School Operations,Administrative,1,43728
Anacostia HS,High School,Custodial Foreman,Custodial Staff,1,57444
Anacostia HS,High School,Custodian (RW-5),Custodial Staff,3,134628
Anacostia HS,High School,Custodian (RW-3),Custodial Staff,3,107145
Anacostia HS,High School,Admin Premium,Non-Personnel,─,0
Anacostia HS,High School,Custodial Overtime,Non-Personnel,─,0
Anacostia HS,High School,Educational Supplies,Non-Personnel,─,0
Anacostia HS,High School,Evening Credit Recovery,Non-Personnel,─,97104
Anacostia HS,High School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,77400
Anacostia HS,High School,Itinerant English Language Learner Teacher,Non-Personnel,─,13247.64
Anacostia HS,High School,Custodial Supplies,Non-Personnel,─,10000
Anacostia HS,High School,General Supplies,Non-Personnel,─,7803
Anacostia HS,High School,Equipment and Machinery (Including Computers),Non-Personnel,─,256500
Anacostia HS,High School,Professional Development,Non-Personnel,─,25000
Anacostia HS,High School,Contractual Services,Non-Personnel,─,110915
Ballou HS,High School,Principal,School Leadership,1,147768
Ballou HS,High School,Dean of Students,School Leadership,1,89373
Ballou HS,High School,Administrative Officer,School Leadership,3,223194
Ballou HS,High School,Assistant Principal,School Leadership,4,474668
Ballou HS,High School,Teacher - Teacher Leader Innovation,General Education,2,189252
Ballou HS,High School,Teacher - Career/Tech Ed (CTE),General Education,2,189252
Ballou HS,High School,Teacher - English,General Education,8,757008
Ballou HS,High School,Teacher - Math,General Education,7,662382
Ballou HS,High School,Teacher - Reading,General Education,1,94626
Ballou HS,High School,Teacher - Science (Biology),General Education,4,378504
Ballou HS,High School,Teacher - Science (Chemistry),General Education,1,94626
Ballou HS,High School,Teacher - Science (General),General Education,1,94626
Ballou HS,High School,Teacher - Science (Physics),General Education,1,94626
Ballou HS,High School,Teacher - Social Studies,General Education,5,473130
Ballou HS,High School,Teacher - (12 month),General Education,2,157502
Ballou HS,High School,Teacher - Specific Learning Support Program,Special Education,2,189252
Ballou HS,High School,Teacher - Behavior & Education Support Program,Special Education,6,567756
Ballou HS,High School,Teacher - Independence & Learning Support Program,Special Education,3,283878
Ballou HS,High School,Teacher - Inclusion/Resource Services,Special Education,10,946260
Ballou HS,High School,Aide - Specific Learning Support Program,Special Education,2,61362
Ballou HS,High School,Aide - Behavior & Education Support Program,Special Education,6,184086
Ballou HS,High School,Aide - Independence & Learning Support Program,Special Education,3,92043
Ballou HS,High School,Librarian,Related Arts,1,94626
Ballou HS,High School,Teacher - Art,Related Arts,2,189252
Ballou HS,High School,Teacher - Music,Related Arts,1,94626
Ballou HS,High School,Teacher - Health/Physical Education,Related Arts,3,283878
Ballou HS,High School,Teacher - World Language,Related Arts,3,283878
Ballou HS,High School,Instructional Coach,Schoolwide Instructional Support,1,94626
Ballou HS,High School,Psychologist,Socio-Emotional Support,2,189252
Ballou HS,High School,Social Worker,Socio-Emotional Support,5,473130
Ballou HS,High School,Coordinator - Ninth Grade Academy,Schoolwide Instructional Support,1,118667
Ballou HS,High School,Behavior Technician,Socio-Emotional Support,6,234054
Ballou HS,High School,Guidance Counselor - High School,Socio-Emotional Support,4,393644
Ballou HS,High School,Coordinator - Program,Schoolwide Instructional Support,4,363672
Ballou HS,High School,Coordinator - Academy,Schoolwide Instructional Support,1,90918
Ballou HS,High School,Technology Instructional Coach,Schoolwide Instructional Support,1,94626
Ballou HS,High School,Registrar,Administrative,2,78896
Ballou HS,High School,Business Manager,Administrative,1,62752
Ballou HS,High School,Administrative Aide,Administrative,1,46722
Ballou HS,High School,Counselor - Attendance,Socio-Emotional Support,2,100020
Ballou HS,High School,Specialist - Technical Support,Administrative,1,80128
Ballou HS,High School,Custodial Foreman,Custodial Staff,2,114888
Ballou HS,High School,Custodian (RW-5),Custodial Staff,1,44876
Ballou HS,High School,Custodian (RW-3),Custodial Staff,7,250005
Ballou HS,High School,Admin Premium,Non-Personnel,─,0
Ballou HS,High School,Evening Credit Recovery,Non-Personnel,─,80920
Ballou HS,High School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,65500
Ballou HS,High School,Custodial Overtime,Non-Personnel,─,15000
Ballou HS,High School,Itinerant English Language Learner Teacher,Non-Personnel,─,8516.34
Ballou HS,High School,Educational Supplies,Non-Personnel,─,45287
Ballou HS,High School,Office Supplies,Non-Personnel,─,18994
Ballou HS,High School,Custodial Supplies,Non-Personnel,─,84500
Ballou HS,High School,General Supplies,Non-Personnel,─,50000
Ballou HS,High School,Textbooks,Non-Personnel,─,8000
Ballou HS,High School,Local Travel (Including Field Trips),Non-Personnel,─,8500
Ballou HS,High School,Contractual Services,Non-Personnel,─,5000
Ballou STAY,STAY School,Principal,School Leadership,1,147768
Ballou STAY,STAY School,Administrative Officer,School Leadership,2,148796
Ballou STAY,STAY School,Assistant Principal,School Leadership,1,118667
Ballou STAY,STAY School,Teacher - English,General Education,2,189252
Ballou STAY,STAY School,Teacher - Math,General Education,2,189252
Ballou STAY,STAY School,Teacher - Reading,General Education,1,94626
Ballou STAY,STAY School,Teacher - Science (Biology),General Education,1,94626
Ballou STAY,STAY School,Teacher - Social Studies,General Education,1,94626
Ballou STAY,STAY School,Teacher - (12 month),General Education,2,157502
Ballou STAY,STAY School,Teacher - Inclusion/Resource Services,Special Education,3,283878
Ballou STAY,STAY School,Teacher - World Language,Related Arts,1,94626
Ballou STAY,STAY School,Aide - General Education,Classroom Aides,1,30681
Ballou STAY,STAY School,Aide - General Education,Classroom Aides,1,36042
Ballou STAY,STAY School,Instructional Coach,Schoolwide Instructional Support,1,94626
Ballou STAY,STAY School,Social Worker,Socio-Emotional Support,2,189252
Ballou STAY,STAY School,Behavior Technician,Socio-Emotional Support,1,39009
Ballou STAY,STAY School,Guidance Counselor - High School,Socio-Emotional Support,1,98411
Ballou STAY,STAY School,Coordinator - Program,Schoolwide Instructional Support,1,90918
Ballou STAY,STAY School,Business Manager,Administrative,1,62752
Ballou STAY,STAY School,Administrative Aide,Administrative,1,46722
Ballou STAY,STAY School,Coordinator - Computer Lab/Technology,Schoolwide Instructional Support,1,43567
Ballou STAY,STAY School,Counselor - Attendance,Socio-Emotional Support,1,50010
Ballou STAY,STAY School,Custodian (RW-5),Custodial Staff,1,44876
Ballou STAY,STAY School,Wages as Earned (WAE) Staff,Wages as Earned (WAE) Staff,─,343532.16
Ballou STAY,STAY School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,48500
Ballou STAY,STAY School,Admin Premium,Non-Personnel,─,10000
Ballou STAY,STAY School,Custodial Overtime,Non-Personnel,─,22000
Ballou STAY,STAY School,Educational Supplies,Non-Personnel,─,3000
Ballou STAY,STAY School,Office Supplies,Non-Personnel,─,25000
Ballou STAY,STAY School,Ed Tech and System Support (Including Software),Non-Personnel,─,4000
Ballou STAY,STAY School,Custodial Supplies,Non-Personnel,─,6000
Ballou STAY,STAY School,General Supplies,Non-Personnel,─,10000
Ballou STAY,STAY School,Equipment and Machinery (Including Computers),Non-Personnel,─,6000
Ballou STAY,STAY School,Ed Tech and Systems Support (Including Hardware),Non-Personnel,─,3500
Ballou STAY,STAY School,Textbooks,Non-Personnel,─,1000
Ballou STAY,STAY School,Printing,Non-Personnel,─,6175
Ballou STAY,STAY School,Advertising,Non-Personnel,─,4000
Ballou STAY,STAY School,Professional Development,Non-Personnel,─,7000
Ballou STAY,STAY School,Local Travel (Including Field Trips),Non-Personnel,─,16000
Ballou STAY,STAY School,Telecommunications,Non-Personnel,─,7000
Ballou STAY,STAY School,Contractual Services,Non-Personnel,─,6000
Bancroft ES,Elementary School,Principal,School Leadership,1,147768
Bancroft ES,Elementary School,Assistant Principal,School Leadership,1,118667
Bancroft ES,Elementary School,Teacher - Pre-School,Early Childhood,3,283878
Bancroft ES,Elementary School,Teacher - Pre-K,Early Childhood,3,283878
Bancroft ES,Elementary School,Aide - Early Childhood,Early Childhood,10,306810
Bancroft ES,Elementary School,Teacher - Kindergarten,General Education,4,378504
Bancroft ES,Elementary School,Teacher - 1st Grade,General Education,3,283878
Bancroft ES,Elementary School,Teacher - 2nd Grade,General Education,3,283878
Bancroft ES,Elementary School,Teacher - 3rd Grade,General Education,3,283878
Bancroft ES,Elementary School,Teacher - 4th Grade,General Education,3,283878
Bancroft ES,Elementary School,Teacher - 5th Grade,General Education,3,283878
Bancroft ES,Elementary School,Teacher - Career/Tech Ed (CTE),General Education,1,94626
Bancroft ES,Elementary School,Teacher - Early Learning Support Program,Special Education,1,94626
Bancroft ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,4,378504
Bancroft ES,Elementary School,Aide - Early Learning Support Program,Special Education,1,30681
Bancroft ES,Elementary School,Coordinator - Special Education,Special Education,1,90918
Bancroft ES,Elementary School,Teacher - English Language Learner,English Language Learner,12,1135512
Bancroft ES,Elementary School,Aide - English Language Learner,English Language Learner,1,30681
Bancroft ES,Elementary School,Counselor - Bilingual,English Language Learner,2,189252
Bancroft ES,Elementary School,Librarian,Related Arts,1,94626
Bancroft ES,Elementary School,Teacher - Art,Related Arts,1,94626
Bancroft ES,Elementary School,Teacher - Music,Related Arts,1,94626
Bancroft ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1,94626
Bancroft ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Bancroft ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
Bancroft ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Bancroft ES,Elementary School,Coordinator - Program,Schoolwide Instructional Support,0.5,45459
Bancroft ES,Elementary School,Administrative Aide,Administrative,1,46722
Bancroft ES,Elementary School,Director - School Operations,Administrative,1,98825
Bancroft ES,Elementary School,Assistant - School Operations,Administrative,1,43728
Bancroft ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Bancroft ES,Elementary School,Custodian (RW-5),Custodial Staff,3,134628
Bancroft ES,Elementary School,Afterschool,Non-Personnel,─,120064.74
Bancroft ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,50400
Bancroft ES,Elementary School,Admin Premium,Non-Personnel,─,17318
Bancroft ES,Elementary School,Custodial Overtime,Non-Personnel,─,6000
Bancroft ES,Elementary School,Educational Supplies,Non-Personnel,─,45000
Bancroft ES,Elementary School,Office Supplies,Non-Personnel,─,18000
Bancroft ES,Elementary School,Ed Tech and System Support (Including Software),Non-Personnel,─,6500
Bancroft ES,Elementary School,Health Services,Non-Personnel,─,2500
Bancroft ES,Elementary School,Custodial Supplies,Non-Personnel,─,30000
Bancroft ES,Elementary School,Furniture & Fixtures,Non-Personnel,─,3000
Bancroft ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,128300
Bancroft ES,Elementary School,Textbooks,Non-Personnel,─,16854
Bancroft ES,Elementary School,Professional Development,Non-Personnel,─,5000
Bancroft ES,Elementary School,Local Travel (Including Field Trips),Non-Personnel,─,5000
Bancroft ES,Elementary School,Contractual Services,Non-Personnel,─,58500
Barnard ES,Elementary School,Principal,School Leadership,1,147768
Barnard ES,Elementary School,Assistant Principal,School Leadership,1,118667
Barnard ES,Elementary School,Teacher - Pre-School,Early Childhood,4,378504
Barnard ES,Elementary School,Teacher - Pre-K,Early Childhood,4,378504
Barnard ES,Elementary School,Aide - Early Childhood,Early Childhood,12,368172
Barnard ES,Elementary School,Teacher - Kindergarten,General Education,4,378504
Barnard ES,Elementary School,Teacher - 1st Grade,General Education,4,378504
Barnard ES,Elementary School,Teacher - 2nd Grade,General Education,4,378504
Barnard ES,Elementary School,Teacher - 3rd Grade,General Education,4,378504
Barnard ES,Elementary School,Teacher - 4th Grade,General Education,3,283878
Barnard ES,Elementary School,Teacher - 5th Grade,General Education,3,283878
Barnard ES,Elementary School,Teacher - Communication & Education Support Program,Special Education,5,473130
Barnard ES,Elementary School,Teacher - Early Childhood Communication & Education Support Program,Special Education,1,94626
Barnard ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,4,378504
Barnard ES,Elementary School,Aide - Communication & Education Support Program,Special Education,6,184086
Barnard ES,Elementary School,Aide - Early Childhood Communication & Education Support Program,Special Education,2,61362
Barnard ES,Elementary School,Coordinator - Special Education,Special Education,1,90918
Barnard ES,Elementary School,Teacher - English Language Learner,English Language Learner,8,757008
Barnard ES,Elementary School,Aide - English Language Learner,English Language Learner,1,30681
Barnard ES,Elementary School,Counselor - Bilingual,English Language Learner,1,94626
Barnard ES,Elementary School,Librarian,Related Arts,1,94626
Barnard ES,Elementary School,Teacher - Art,Related Arts,1,94626
Barnard ES,Elementary School,Teacher - Music,Related Arts,1,94626
Barnard ES,Elementary School,Teacher - Health/Physical Education,Related Arts,2,189252
Barnard ES,Elementary School,Teacher - World Language,Related Arts,1,94626
Barnard ES,Elementary School,Teacher - Performing Arts/Drama,Related Arts,1,94626
Barnard ES,Elementary School,Aide - Library/Technology,Related Arts,1,36703
Barnard ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,2,189252
Barnard ES,Elementary School,Psychologist,Socio-Emotional Support,0.5,47313
Barnard ES,Elementary School,Social Worker,Socio-Emotional Support,0.5,47313
Barnard ES,Elementary School,Specialist - Reading,Schoolwide Instructional Support,1,94626
Barnard ES,Elementary School,Business Manager,Administrative,1,62752
Barnard ES,Elementary School,Clerk,Administrative,1,36519
Barnard ES,Elementary School,Counselor - Attendance,Socio-Emotional Support,1,50010
Barnard ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Barnard ES,Elementary School,Custodian (RW-5),Custodial Staff,4,179504
Barnard ES,Elementary School,Afterschool,Non-Personnel,─,175688.16
Barnard ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,60500
Barnard ES,Elementary School,Admin Premium,Non-Personnel,─,20000
Barnard ES,Elementary School,Custodial Overtime,Non-Personnel,─,5000
Barnard ES,Elementary School,Educational Supplies,Non-Personnel,─,33000
Barnard ES,Elementary School,Ed Tech and System Support (Including Software),Non-Personnel,─,4000
Barnard ES,Elementary School,Health Services,Non-Personnel,─,1000
Barnard ES,Elementary School,Custodial Supplies,Non-Personnel,─,23000
Barnard ES,Elementary School,Food and Provisions (Including Catering),Non-Personnel,─,2000
Barnard ES,Elementary School,General Supplies,Non-Personnel,─,35715
Barnard ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,90703
Barnard ES,Elementary School,Local Travel (Including Field Trips),Non-Personnel,─,6081
Barnard ES,Elementary School,Tuition for Employee Training,Non-Personnel,─,6000
Barnard ES,Elementary School,Contractual Services,Non-Personnel,─,9618
Beers ES,Elementary School,Principal,School Leadership,1,147768
Beers ES,Elementary School,Assistant Principal,School Leadership,1,118667
Beers ES,Elementary School,Teacher - Pre-School,Early Childhood,2,189252
Beers ES,Elementary School,Teacher - Pre-School/Pre-K (Mixed Age),Early Childhood,1,94626
Beers ES,Elementary School,Teacher - Pre-K,Early Childhood,2,189252
Beers ES,Elementary School,Aide - Early Childhood,Early Childhood,8,245448
Beers ES,Elementary School,Teacher - Kindergarten,General Education,3,283878
Beers ES,Elementary School,Teacher - 1st Grade,General Education,3,283878
Beers ES,Elementary School,Teacher - 2nd Grade,General Education,2,189252
Beers ES,Elementary School,Teacher - 3rd Grade,General Education,2,189252
Beers ES,Elementary School,Teacher - 4th Grade,General Education,2,189252
Beers ES,Elementary School,Teacher - 5th Grade,General Education,3,283878
Beers ES,Elementary School,Teacher - Teacher Leader Innovation,General Education,2,189252
Beers ES,Elementary School,Teacher - Science (General),General Education,1,94626
Beers ES,Elementary School,Teacher - Communication & Education Support Program,Special Education,3,283878
Beers ES,Elementary School,Teacher - Early Childhood Communication & Education Support Program,Special Education,1,94626
Beers ES,Elementary School,Teacher - Early Learning Support Program,Special Education,2,189252
Beers ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,4,378504
Beers ES,Elementary School,Aide - Communication & Education Support Program,Special Education,6,184086
Beers ES,Elementary School,Aide - Early Childhood Communication & Education Support Program,Special Education,2,61362
Beers ES,Elementary School,Aide - Early Learning Support Program,Special Education,2,61362
Beers ES,Elementary School,Coordinator - Special Education,Special Education,1,90918
Beers ES,Elementary School,Librarian,Related Arts,1,94626
Beers ES,Elementary School,Teacher - Art,Related Arts,1,94626
Beers ES,Elementary School,Teacher - Music,Related Arts,1,94626
Beers ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1.5,141939
Beers ES,Elementary School,Teacher - World Language,Related Arts,1,94626
Beers ES,Elementary School,Aide - Library/Technology,Related Arts,2,73406
Beers ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Beers ES,Elementary School,Guidance Counselor,Socio-Emotional Support,1,94626
Beers ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
Beers ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Beers ES,Elementary School,Technology Instructional Coach,Schoolwide Instructional Support,1,94626
Beers ES,Elementary School,Business Manager,Administrative,0.5,31376
Beers ES,Elementary School,Administrative Aide,Administrative,1,46722
Beers ES,Elementary School,Coordinator - Computer Lab/Technology,Schoolwide Instructional Support,1,43567
Beers ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Beers ES,Elementary School,Custodian (RW-5),Custodial Staff,2,89752
Beers ES,Elementary School,Afterschool,Non-Personnel,─,78347.175
Beers ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,43500
Beers ES,Elementary School,Admin Premium,Non-Personnel,─,6599
Beers ES,Elementary School,Custodial Overtime,Non-Personnel,─,5000
Beers ES,Elementary School,Itinerant English Language Learner Teacher,Non-Personnel,─,13247.64
Beers ES,Elementary School,Educational Supplies,Non-Personnel,─,12250
Beers ES,Elementary School,Office Supplies,Non-Personnel,─,3000
Beers ES,Elementary School,Custodial Supplies,Non-Personnel,─,15000
Beers ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,16000
Beers ES,Elementary School,Professional Development,Non-Personnel,─,50000
Beers ES,Elementary School,Contractual Services,Non-Personnel,─,8750
Benjamin Banneker HS,High School,Principal,School Leadership,1,147768
Benjamin Banneker HS,High School,Assistant Principal,School Leadership,2,237334
Benjamin Banneker HS,High School,Teacher - Computer,General Education,1,94626
Benjamin Banneker HS,High School,Teacher - English,General Education,5,473130
Benjamin Banneker HS,High School,Teacher - Math,General Education,5,473130
Benjamin Banneker HS,High School,Teacher - Science (Biology),General Education,2,189252
Benjamin Banneker HS,High School,Teacher - Science (Chemistry),General Education,1,94626
