school_name,ward,school_type,fy16_budgeted_enrollment,change_in_enrollment_from_fy15,change_in_budget_from_fy15,at_risk_students,budget_allocation_category,amount
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,Stabilization,0
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,Specialty ,601311
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,ASP/ECR,0
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,SPED,210059.8122365
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,ELL,29627.20613781123
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,At-Risk,211434.3
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,Enrollment,3236235.8026733706
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,Total,4387452
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,Title,9200
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,Per Pupil Funding Minimum (PPFM),0
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,Stabilization,0
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,Specialty ,0
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,ASP/ECR,0
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,SPED,511720
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,ELL,21165.44676462073
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,At-Risk,49270
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,Enrollment,3228538.55
Brent ES,6,Elementary,380,17,150873.0503281243,0.06,Total,3819894
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,Title,277413.66
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,Per Pupil Funding Minimum (PPFM),0
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,Stabilization,0
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,Specialty ,0
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,ASP/ECR,97586.99650000001
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,SPED,697800
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,ELL,2117379.8122365
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,At-Risk,587525.4
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,Enrollment,5130642.379916394
Brightwood EC,4,Education Campus,670,35,674285.4199799914,0.47,Total,8908348
Brookland MS,5,Middle,224,224,3801767,0.45,Title,97289.39
Brookland MS,5,Middle,224,224,3801767,0.45,Per Pupil Funding Minimum (PPFM),0
Brookland MS,5,Middle,224,224,3801767,0.45,Stabilization,400000
Brookland MS,5,Middle,224,224,3801767,0.45,Specialty ,0
Brookland MS,5,Middle,224,224,3801767,0.45,ASP/ECR,0
Brookland MS,5,Middle,224,224,3801767,0.45,SPED,745759.624473
Brookland MS,5,Middle,224,224,3801767,0.45,ELL,0
Brookland MS,5,Middle,224,224,3801767,0.45,At-Risk,198705
Brookland MS,5,Middle,224,224,3801767,0.45,Enrollment,1952679.3518486065
Brookland MS,5,Middle,224,224,3801767,0.45,Total,3801767
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,Title,152967.33
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,Per Pupil Funding Minimum (PPFM),0
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,Stabilization,14717.38
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,Specialty ,0
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,ASP/ECR,46497.95850000001
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,SPED,886759.248946
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,ELL,93040
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,At-Risk,445246
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,Enrollment,3654648.09
Browne EC,5,Education Campus,336,104,-82751.3656144524,0.68,Total,5293876
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,Title,201612.02
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,Per Pupil Funding Minimum (PPFM),0
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,Stabilization,0
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,Specialty ,0
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,ASP/ECR,97586.99650000001
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,SPED,604760
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,ELL,1581680
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,At-Risk,416100.92790697725
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,Enrollment,4092908.6059294348
Bruce-Monroe ES @ Park View,1,Elementary,478,130,296004,0.51,Total,6994649
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,Title,67066.33
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,Per Pupil Funding Minimum (PPFM),0
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,Stabilization,0
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,Specialty ,0
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,ASP/ECR,33725.699
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,SPED,210060
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,ELL,46633.63998262884
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,At-Risk,134719.19999999998
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,Enrollment,1722813.3120052207
Bunker Hill ES,5,Elementary,150,-320,-971241.3700979361,0.48,Total,2358132
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,Title,116764.77
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,Per Pupil Funding Minimum (PPFM),0
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,Stabilization,0
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,Specialty ,0
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,ASP/ECR,0
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,SPED,602353.3544729999
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,ELL,744320
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,At-Risk,493753
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,Enrollment,4198053.685339194
Dorothy Height ES,4,Elementary,592,592,6155244,0.44,Total,6155244
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,Title,128851.49
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,Per Pupil Funding Minimum (PPFM),0
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,Stabilization,0
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,Specialty ,0
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,ASP/ECR,59270.21799999999
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,SPED,888198.873419
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,ELL,93040
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,At-Risk,199110.1279069772
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,Enrollment,2433512.9820023756
Burroughs ES,5,Elementary,250,-22,-630534.3056832869,0.54,Total,3855472
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,Title,156033.43
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,Per Pupil Funding Minimum (PPFM),0
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,Stabilization,0
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,Specialty ,0
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,ASP/ECR,0
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,SPED,372160
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,ELL,8460.286262304575
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,At-Risk,427384.3279069762
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,Enrollment,3169175.077813469
Burrville ES,7,Elementary,378,33,252264.3306250302,0.68,Total,4133213
C.W. Harris ES,7,Elementary,309,30,327294,0.79,Title,126223.4
C.W. Harris ES,7,Elementary,309,30,327294,0.79,Per Pupil Funding Minimum (PPFM),0
C.W. Harris ES,7,Elementary,309,30,327294,0.79,Stabilization,0
C.W. Harris ES,7,Elementary,309,30,327294,0.79,Specialty ,0
C.W. Harris ES,7,Elementary,309,30,327294,0.79,ASP/ECR,0
C.W. Harris ES,7,Elementary,309,30,327294,0.79,SPED,1111666.708946
C.W. Harris ES,7,Elementary,309,30,327294,0.79,ELL,8460.286262304575
C.W. Harris ES,7,Elementary,309,30,327294,0.79,At-Risk,419440.00000000047
C.W. Harris ES,7,Elementary,309,30,327294,0.79,Enrollment,2662208.386431296
C.W. Harris ES,7,Elementary,309,30,327294,0.79,Total,4327999
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,Title,7750
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,Per Pupil Funding Minimum (PPFM),0
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,Stabilization,0
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,Specialty ,0
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,ASP/ECR,0
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,SPED,186080
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,ELL,12694.217392877825
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,At-Risk,63900
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,Enrollment,3157545.78
Capitol Hill Montessori,6,Education Campus,339,9,-143617.23571874946,0.08,Total,3427970
Cardozo EC,1,Education Campus,844,127,1761475,0.73,Title,338785.8
Cardozo EC,1,Education Campus,844,127,1761475,0.73,Per Pupil Funding Minimum (PPFM),0
Cardozo EC,1,Education Campus,844,127,1761475,0.73,Stabilization,0
Cardozo EC,1,Education Campus,844,127,1761475,0.73,Specialty ,0
Cardozo EC,1,Education Campus,844,127,1761475,0.73,ASP/ECR,1592
Cardozo EC,1,Education Campus,844,127,1761475,0.73,SPED,2949432.1035475
Cardozo EC,1,Education Campus,844,127,1761475,0.73,ELL,1722679.624473
Cardozo EC,1,Education Campus,844,127,1761475,0.73,At-Risk,1152597.5999999999
Cardozo EC,1,Education Campus,844,127,1761475,0.73,Enrollment,6382674.88
Cardozo EC,1,Education Campus,844,127,1761475,0.73,Total,12547762
CHOICE Academy,5,Alternative,100,0,59483,0,Title,125
CHOICE Academy,5,Alternative,100,0,59483,0,Per Pupil Funding Minimum (PPFM),0
CHOICE Academy,5,Alternative,100,0,59483,0,Stabilization,0
CHOICE Academy,5,Alternative,100,0,59483,0,Specialty ,0
CHOICE Academy,5,Alternative,100,0,59483,0,ASP/ECR,0
CHOICE Academy,5,Alternative,100,0,59483,0,SPED,186080
CHOICE Academy,5,Alternative,100,0,59483,0,ELL,0
CHOICE Academy,5,Alternative,100,0,59483,0,At-Risk,0
CHOICE Academy,5,Alternative,100,0,59483,0,Enrollment,813745
CHOICE Academy,5,Alternative,100,0,59483,0,Total,999950
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,Title,133669.65
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,Per Pupil Funding Minimum (PPFM),0
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,Stabilization,0
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,Specialty ,0
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,ASP/ECR,59270.21799999999
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,SPED,279120
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,ELL,186080
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,At-Risk,210779.5279069763
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,Enrollment,2878822.9574279776
Cleveland ES,1,Elementary,317,6,126048.82449696539,0.44,Total,3747742
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,Title,522784.04
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,Per Pupil Funding Minimum (PPFM),0
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,Stabilization,0
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,Specialty ,199581
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,ASP/ECR,0
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,SPED,1813312.9789459999
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,ELL,2420479.624473
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,At-Risk,1414551.5999999999
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,Enrollment,8414222.002926143
Columbia Heights EC (CHEC),1,Education Campus,1401,126,1662673,0.54,Total,14784930
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,Title,171363.97
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,Per Pupil Funding Minimum (PPFM),0
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,Stabilization,0
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,Specialty ,0
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,ASP/ECR,0
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,SPED,2018559.5001285
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,ELL,279120
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,At-Risk,568814.4
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,Enrollment,3467626.13
Coolidge HS,4,High,401,-9,811024.9755759919,0.76,Total,6505484
Deal MS,3,Middle,1332,22,-341690,0.08,Title,32800
Deal MS,3,Middle,1332,22,-341690,0.08,Per Pupil Funding Minimum (PPFM),2127585.28
Deal MS,3,Middle,1332,22,-341690,0.08,Stabilization,0
Deal MS,3,Middle,1332,22,-341690,0.08,Specialty ,0
Deal MS,3,Middle,1332,22,-341690,0.08,ASP/ECR,0
Deal MS,3,Middle,1332,22,-341690,0.08,SPED,1302560
Deal MS,3,Middle,1332,22,-341690,0.08,ELL,186080
Deal MS,3,Middle,1332,22,-341690,0.08,At-Risk,198336.59999999998
Deal MS,3,Middle,1332,22,-341690,0.08,Enrollment,7962508.12
Deal MS,3,Middle,1332,22,-341690,0.08,Total,11809870
Drew ES,7,Elementary,220,51,464261,0.83,Title,87215.04
Drew ES,7,Elementary,220,51,464261,0.83,Per Pupil Funding Minimum (PPFM),0
Drew ES,7,Elementary,220,51,464261,0.83,Stabilization,0
Drew ES,7,Elementary,220,51,464261,0.83,Specialty ,0
Drew ES,7,Elementary,220,51,464261,0.83,ASP/ECR,59270.21799999999
Drew ES,7,Elementary,220,51,464261,0.83,SPED,559679.624473
Drew ES,7,Elementary,220,51,464261,0.83,ELL,0
Drew ES,7,Elementary,220,51,464261,0.83,At-Risk,364206
Drew ES,7,Elementary,220,51,464261,0.83,Enrollment,2186844.7233481384
Drew ES,7,Elementary,220,51,464261,0.83,Total,3257216
Dunbar HS,5,High,686,61,1412937,0.74,Title,283132.86
Dunbar HS,5,High,686,61,1412937,0.74,Per Pupil Funding Minimum (PPFM),0
Dunbar HS,5,High,686,61,1412937,0.74,Stabilization,0
Dunbar HS,5,High,686,61,1412937,0.74,Specialty ,0
Dunbar HS,5,High,686,61,1412937,0.74,ASP/ECR,0
Dunbar HS,5,High,686,61,1412937,0.74,SPED,2369146.333419
Dunbar HS,5,High,686,61,1412937,0.74,ELL,21178.073429357268
Dunbar HS,5,High,686,61,1412937,0.74,At-Risk,948647.7
Dunbar HS,5,High,686,61,1412937,0.74,Enrollment,5106735.51424939
Dunbar HS,5,High,686,61,1412937,0.74,Total,8728840
Eastern HS,6,High,1070,40,863733,0.7,Title,444835.49
Eastern HS,6,High,1070,40,863733,0.7,Per Pupil Funding Minimum (PPFM),0
Eastern HS,6,High,1070,40,863733,0.7,Stabilization,0
Eastern HS,6,High,1070,40,863733,0.7,Specialty ,0
Eastern HS,6,High,1070,40,863733,0.7,ASP/ECR,0
Eastern HS,6,High,1070,40,863733,0.7,SPED,3144171.6646015
Eastern HS,6,High,1070,40,863733,0.7,ELL,21159.133432252464
Eastern HS,6,High,1070,40,863733,0.7,At-Risk,1401453.9
Eastern HS,6,High,1070,40,863733,0.7,Enrollment,6411261.754915585
Eastern HS,6,High,1070,40,863733,0.7,Total,11422882
Eaton ES,3,Elementary,477,0,-128777,0.05,Title,11875
Eaton ES,3,Elementary,477,0,-128777,0.05,Per Pupil Funding Minimum (PPFM),135425.02
Eaton ES,3,Elementary,477,0,-128777,0.05,Stabilization,0
Eaton ES,3,Elementary,477,0,-128777,0.05,Specialty ,0
Eaton ES,3,Elementary,477,0,-128777,0.05,ASP/ECR,0
Eaton ES,3,Elementary,477,0,-128777,0.05,SPED,418680
Eaton ES,3,Elementary,477,0,-128777,0.05,ELL,186080
Eaton ES,3,Elementary,477,0,-128777,0.05,At-Risk,49395
Eaton ES,3,Elementary,477,0,-128777,0.05,Enrollment,3494419.98
Eaton ES,3,Elementary,477,0,-128777,0.05,Total,4295875
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,Title,111330.88
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,Per Pupil Funding Minimum (PPFM),0
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,Stabilization,45440.77
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,Specialty ,0
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,ASP/ECR,0
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,SPED,1070432.603419
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,ELL,8459.865373480023
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,At-Risk,280665
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,Enrollment,2419243.1994060706
Eliot-Hine MS,6,Middle,239,-36,-207135.70155897643,0.63,Total,3935572
Ellington School of the Arts,2,Art,527,12,-21084,0.33,Title,13075
Ellington School of the Arts,2,Art,527,12,-21084,0.33,Per Pupil Funding Minimum (PPFM),0
Ellington School of the Arts,2,Art,527,12,-21084,0.33,Stabilization,0
Ellington School of the Arts,2,Art,527,12,-21084,0.33,Specialty ,1874308.643
Ellington School of the Arts,2,Art,527,12,-21084,0.33,ASP/ECR,0
Ellington School of the Arts,2,Art,527,12,-21084,0.33,SPED,418680
Ellington School of the Arts,2,Art,527,12,-21084,0.33,ELL,0
Ellington School of the Arts,2,Art,527,12,-21084,0.33,At-Risk,323700.3
Ellington School of the Arts,2,Art,527,12,-21084,0.33,Enrollment,3589148.7101881155
Ellington School of the Arts,2,Art,527,12,-21084,0.33,Total,6218913
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,Title,123157.29
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,Per Pupil Funding Minimum (PPFM),0
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,Stabilization,0
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,Specialty ,0
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,ASP/ECR,0
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,SPED,654159.248946
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,ELL,0
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,At-Risk,454677.3
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,Enrollment,2481496.065051406
Garfield ES,8,Elementary,297,21,414961.8935431936,0.82,Total,3719195
Garrison ES,2,Elementary,260,-29,-210793,0.48,Title,106049.69
Garrison ES,2,Elementary,260,-29,-210793,0.48,Per Pupil Funding Minimum (PPFM),0
Garrison ES,2,Elementary,260,-29,-210793,0.48,Stabilization,557.06
Garrison ES,2,Elementary,260,-29,-210793,0.48,Specialty ,0
Garrison ES,2,Elementary,260,-29,-210793,0.48,ASP/ECR,59270.21799999999
Garrison ES,2,Elementary,260,-29,-210793,0.48,SPED,982678.497892
Garrison ES,2,Elementary,260,-29,-210793,0.48,ELL,186080
Garrison ES,2,Elementary,260,-29,-210793,0.48,At-Risk,192259.9999999991
Garrison ES,2,Elementary,260,-29,-210793,0.48,Enrollment,2478174.7712095664
Garrison ES,2,Elementary,260,-29,-210793,0.48,Total,4005070
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,Title,173554.04
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,Per Pupil Funding Minimum (PPFM),0
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,Stabilization,0
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,Specialty ,0
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,ASP/ECR,97586.99650000001
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,SPED,624893.5422365
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,ELL,744320
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,At-Risk,348257.9279069782
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,Enrollment,3555835.3883825573
H.D. Cooke ES,1,Elementary,395,-18,23934,0.54,Total,5544448
