,Chengyu,Definition
46,惠风和畅,"The poem ""Broken Mirror"" by Chen Xu Deyan of the Southern Dynasty: ""The mirror goes away with people, but the mirror returns to people and never returns. When the shadow of Heng'e is restored, the bright moon is left empty."" The hairpin will go away. The hairpin leaves one strand and one fan, and the hairpin and the gold combine to divide the hairpin."""
47,国无宁日,"Jin He Fasheng's ""Jin Zhongxing Shu"", Volume 7: ""The younger generation hates chickens, loves wild pheasants, and they all learn Yi Shaoshu."""
48,瓜瓞绵绵,"""Historical Records: Biography of the Marquis of Huaiyin"": ""Fu Gong is hard to achieve and easy to lose, and it is rare and easy to lose. When it is time, it will not come again."""
49,非我族类,"There is an old saying: ""A good man does not eat from a family, and a good woman does not wear wedding clothes."""
50,俯首帖耳,"Tandoori Fu's ""Chao Xian Taiqing Palace Fu"": ""The clouds of the nine heavens descend, and the waters of the four seas stand."""
51,恶有恶报,"""Mencius: Li Lou Xia"": ""Zhong Ni does not do anything worse."""
52,恩德如山,"""Book of Songs, Xiaoya, Xiaobian"": ""Weisang and Zi will be respected."""
53,定于一尊,"In the Song Dynasty of the Southern Dynasties, Bao Zhao's ""Ode to the Qinghe River"": ""The ancient times are connected to the present, and there are many bright and dark colors."""
54,堤溃蚁穴,"Jin Wang Xizhi's ""After Mrs. Wei's Pen Chen Tu"": ""At the age of fifty or three, I may be afraid of the wind and candles, and I will talk about the legacy and teach it to my descendants."""
55,登高望远,"""Shangshu, Pangeng Shang"": ""If the farmers wear Tian Liyu, there will also be autumn."""
56,斗而铸锥,"Yuan Guan Hanqing's ""Qian Dayin Zhikan Feiyi Dream"" 4th fold: ""I have Pei Yan here, and a good birth is not bad."""
57,重峦叠嶂,"Han Shiyou's ""Ji Jiu Pian"" Volume 1: ""List the names and surnames of various things, and separate them from the restrooms."""
58,橙黄橘绿,"""Yuan Shi, Shizu Five"": ""Gui Chou, who built the East Palace at the beginning, Jiayin, punishes those who misrepresent and confuse the public in Xijing."""
59,春回大地,"Liang Xiaoyan of the Southern Dynasties ""New Wine and Meat"": ""Those who do ten evils will be rewarded with evil; those who do ten good will be rewarded with good."""
60,传道受业,"Han Zhong Changtong's ""Chang Yan: Profit and Loss Chapter"": ""Sit and watch the vegetables of the soldiers, and look forward to the fullness of the hungry and dying, how can you do this for the king."""
61,踟蹰不前,"Tang Bai Juyi's ""Visit with Li Langzhong on a Snowy Night"": ""Pity the goose feather snow tonight, attracting people with high affection and cloak."""
62,不拔之志,"Tang Li Bai's ""Sleepwalking Tianmu Saying Goodbye"": ""An Neng breaks his eyebrows and bends his waist to work for the powerful, which makes me unhappy."""
63,下车伊始,"""Continued Chuan Denglu"": ""Xuefeng casts his son three times, and nine to Dongshan, why did he defect and disarm?"""
64,精卫填海,"""Old Tang Book: Sun Simiao Biography"": ""Boldness desires big but heart desires small, wisdom desires roundness and action desires square."""
65,毁家纾难,"""Jingde Chuan Deng Lu, Zen Master Huihai"": ""Charming does not know that the dharma body has no image, and it appears in response to things, and then calls the green green bamboo, which is always the dharma body; If it is Dharmakaya, Dharmakaya is the same as grass and trees.”"
66,夙夜匪懈,"""Mandarin Zhou Yu Shang"": ""Shao Gong said: 'It is better to defend the people's mouth than to defend the river. The river will collapse, and many people will be injured, and the people will be the same. Therefore, those who are in Sichuan will decide to envoy and guide them. For the people, make an announcement."""
67,不经之谈,"The ""Huang Ting Jing"" post written by the people of the Wei and Jin Dynasties was a model for later generations to learn to write in lowercase."
68,不二法门,"""Three Kingdoms: Yuan Shao's Biography"": ""It is divided into strange soldiers, and they emerge one after another to disturb Henan."""
69,见贤思齐,"Ming Li Xu's ""The Old Man of Jie'an's Pencils: Yuequan Yin Club"": ""There is no end to words when touching things, but when spring comes, it is not love to recite poetry."""
70,茕茕孑立,"""Zhouyi Dayu"": ""Since God bless it, there is no disadvantage to good luck."""
71,安身立命,"Tang Gu Kuang's poem ""Travelling is Difficult"": ""You don't see how hard it is to fill the well with snow, how can cooking with sand be worthy of food."""
72,反求诸己,"Jin Ge Hong's ""Bao Puzi: Discrimination"": ""How much is it to blame saints for immortality?"""
73,窥豹一斑,"""Book of Songs, Daya, Board"": ""Ancestors have something to say, inquire at Chuchong."""
74,瓦釜雷鸣,"Ming Feng Menglong's ""Ancient and Modern Novel: Teng Dayin's Ghost Breaking the Furniture"": ""If I can't stop this matter, I will be wise for a lifetime. Every day I leave the hall, I will show my paintings and play, and think about it."""
75,筚路蓝缕,"""Book of Songs, Guofeng, Beifeng"": ""Chai Feng Cai Fei, without the following body? Deyin is not wrong, and I will die together."""
76,如臂使指,"""Song History: Zhao Yuhuan"": ""Since the first statement, Duanping has been stalking filthy officials, forbidding squatting, abstaining from rushing, and squatting, and customs have been stubborn and self-conscious."""
77,弹冠相庆,"""Warring States Policy: Qin Ce 1"": ""(Su Qin) fell asleep when he was reading, and he stabbed himself with a cone."""
78,甚嚣尘上,"Han Liu An's ""Huainanzi: Yuan Dao Xun"": ""The ups and downs of Taoism."" Gao Yu's note: ""The ups and downs are still ups and downs."""
79,大而化之,"Song Qinguan's ""Congratulations to the Bridegroom"" lyrics: ""How clever and clumsy is the matter of today? It's a rumor that a demented girl is rumored."""
80,魑魅魍魉,"""Warring States Policy, Yan Ce, Le Yi Report to the King of Yan"": ""If the previous kings report resentment and shame, the country will become a powerful country."""
81,沐猴而冠,"Yuan Shang Zhongxian's ""Biography of Liu Yi in Dongting Lake"" wedge: ""I think of him without kindness and righteousness, and his nature is hard to change. Follow me to Noda, the grass and the red, and the Fengge near Yuji."""
82,韦编三绝,"""Zhuangzi: Heaven and Earth"": ""Down a tunnel and enter a well, and hold a urn and go out for irrigation."""
83,伊于胡底,"""The Analects of Confucius, Yong Ye"": ""One sip of food, one sip of water, in a shabby alley, people can't bear the disturbance, and they don't change their joy when they go out."""
84,鞭辟入里,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"", the thirty-ninth chapter: ""Gong Wen of Jin passed Cao in the early years, and many Cao people knew about it, and he was in a hurry at night and could not tell the truth from the false."""
85,见猎心喜,"Yuan Guan Hanqing's ""Dou E's Injustice"" 4th fold: ""I felt drowsy for a while, all because the old man was tall and the pommel horse was tired."""
86,间不容发,"Song Hongmai's ""Essays of Rongzhai, Three Pens, People Should Be Contented"": ""The meaning of contentment and contentment will never change for life."""
87,如芒在背,"""Zhuangzi, Foreign Objects"": ""Zhou came yesterday, and there was a middle way who called out. Zhou Gu looked at the rut, and there was a catfish."""
88,胼手胝足,"""Book of Jin, Chu Sa Biography"": ""When Huan Yi of Qiao Guo saw it, he looked at it and said: 'Jiye has Pili Yangqiu."
89,积年累月,"""Zuo Zhuan: Four Years of Duke Zhao"": ""There is no desolate wind in spring, and no bitter rain in autumn."""
90,予取予求,"Tang Chen Xuanyou ""Leaving the Soul"""
91,怙恶不悛,"""Book of Rites, University"": ""Zengzi said: 'What ten eyes see, and what ten hands point to, it is strict.'"""
92,坐言起行,"""The Biography of Zhang Jian in the Later Han Dynasty"": ""Frugal is desperate, and is forced to flee, looking at the door to stop."""
93,嘉言懿行,"Liang Shen Yue of the Southern Dynasties ""Song of the Four Seasons White"": ""I admire the beauty of the Yaocao, and the sun and Yao are extremely happy in the year."""
94,视民如伤,"""Records of the Three Kingdoms, Shu Shu, The True Story"": ""Although the son is bright and beautiful, he is both beautiful and splendid, and he can see the basket and hold it, and guard what he sees."""
95,掠人之美,"""Book of Rites, Biaoji"": ""The lip service does not come, and the grievance and the body."""
96,上下其手,"""Warring States Policy Qi Ce 1"": ""On the way to Linzi, the car hub hits, and the shoulders are rubbed."" ""Song History: Li Xianzhong Biography"": ""Entering the city, declaring virtue and Italy, not killing a single person, the Central Plains followers follow."""
97,止于至善,"The fifty-ninth chapter of ""Lao Tzu"": ""Having the mother of a country can last a long time."
98,令人齿冷,"""Zhuangzi: Lie Yu Bandit"": ""People are thick-faced and affectionate, so it is beneficial to have a good appearance, and someone with a long appearance is unworthy."""
99,一以贯之,"""Warring States Policy: Qin Policy III"": ""Chu and Zhao will be afraid of Qi, and if you are afraid, you will humbly resign heavy coins to serve Qin."""
100,新发于硎,"""Book of Songs, Daya, Sangrou"": ""It has its own lungs and intestines, and it serves the people's madness."""
101,如椽大笔,"Pre-Qin Zuo Qiuming ""Zuo Zhuan: Xianggong Twenty-nine Years"": ""There is no ridicule from He below."""
102,陈言务去,"""Han Feizi Eight Commentaries"": ""According to merit and rewarding, Cheng Neng and instructing."""
103,进退失据,"""Zuo Zhuan, Aigong Seven Years"": ""The uncle was appointed to govern the rituals of Zhou, and Zhong Yong succeeded him. He cut off his tattoos and thought it was a decoration. How could it be ritual."" , there are those who do not eat fire."""
104,力透纸背,"""Book of Rites, Confucianism"": ""The scepter door, the urn and the urn, the urn and the urn, change clothes and go out, and eat every day."""
105,笙磬同音,"""New Book of Tang - Biography of Xiao Zhizhong"": ""When the Chu guest (Zong Chu guest) was a traitor and planted the party."""
106,尝鼎一脔,"Five Dynasties, Feng Dao's ""Tongue"" poem: ""The mouth is the door to disaster, and the tongue is the knife that cuts the body. Close your mouth and hide your tongue, and you will be in prison."""
107,乐以忘忧,"Yuan, Anonymous's ""Contract Text"" 40% off: ""This little servant originally said Ding Yizhen2, this woman is wrong and wrong."""
108,明日黄花,"Ming Yang Shen's ""Sheng'an Poetry: Xiao Zixian's Farewell to the Spring"": ""The Six Dynasties' monarchs and ministers Chaoliang Muchen, what's the difference?"""
109,殷鉴不远,"Zhonghui of the Wei Dynasty of the Three Kingdoms, ""Shu Wen"": ""The common people, the people, the people, the block and the happy industry. Farming is not easy to mu, and the city does not go back to savage."""
110,美轮美奂,"""The Essays"" by Cao Pi of the Wei Dynasty of the Three Kingdoms: ""Yang Banchu also, ordinary people are noble, distant and low, and they are honest with their voices, and they suffer from self-seeing."""
111,徒托空言,"Tang Lihua's ""Ancient Battlefield"": ""The Han Dynasty dominates the world, and the wealth is strong."""
112,天涯比邻,"Yuan, Anonymous's ""Contract Text"" is folded: ""My family name is from Xiama Village, Gaoping County, Luzhou. The surname is Zhang Bingyi, the Hunjia Guo family, and the family members of two direct relatives. There are no male or female."""
113,遗世独立,"""Warring States Policy Yan Ce"" records: Jing Ke assassinated the King of Qin for Prince Yan, and used the name of the map that offered the governor of the state of Yan, and first rolled the dagger in the map. King Qin unfolded the map, and finally revealed the dagger."
114,人亡政息,"Tang Bai Juyi's poem ""Wandering in Spring with Dreams"": ""If you have no shame in your heart, you will slander your mouth."" Ming Maowei's ""The God of Troubled Doors"": ""If you feel your heart in the clear night, there will be no grudges."""
115,望秋先零,"Jin Tao Qian's ""Civilization of Returning"": ""When you return, the countryside will be ruined, and Hu will not return."""
116,渴而穿井,"Three Kingdoms, Wei, Cao Cao's ""Autumn and Hu Xing"": ""Indecisive, then ascended to the sky."""
117,梯山航海,"Tang Hanyu's poem ""Return to the Dynasty"": ""Isn't it good to serve the chapter, not to oppose virtue, Gu Ying listens to its voice, and the face is gradually recited."""
118,吹影镂尘,"""Zuo Zhuan: Xianggong Eighteen Years"": ""No harm, I suddenly sing the north wind, and I sing the south wind. If the south wind does not compete, there will be many dead voices, and Chu will have no merit."""
119,朝乾夕惕,"Tang Zhang Yanyuan's ""Fashu Yaolu"": ""Zhiyong Zen master lives in Yongxin Temple in Wuxing, and people who come to find books are like a city, and the households where they live are limited to the acupoints."""
120,守望相助,"Jin Fu Xian's ""Shen Huai Fu"": ""Mu Mu is forbidden to be banned, and all the heroes are gathered. Luan Xiangfeng gathers, and Yu Yi goes to relatives."""
121,念兹在兹,"""Records of the Grand Historian"": ""Xiang Yu was afraid that he had made a pact with the king of Han to divide the world in the middle, dividing the gap between the west and the Han, and the gap between the east and the Chu."""
122,放辟邪侈,"""Zuo Zhuan: Three Years of Wengong"": ""Qin Bo attacked Jin, and helped the river and Chuzhou."""
123,春和景明,"Former Shu ,  Du Guangting's ""Feng Li Zhenren Confession"": ""Vibrating the world's clothes, resisting the traces of the clouds, the labor of passing away by electricity in the window of the horse, and the fun of the clouds in Aoling."""
124,敬老慈幼,"""Book of the Later Han Dynasty, Zhao Yizhuan"": ""If you like it, you will dig out the dander; if you hate it, you will wash away the dirt and seek scars."""
125,半丝半缕,"""The Spring and Autumn Period of the Lu Family: Leaving the Secular"": ""The spear from the dead halberd can be returned to?"""
126,亘古亘今,"The forty-ninth chapter of ""The Legend of Heroes and Martyrs"": ""The red dragon boats are not stationed in Wulong Town, and the rivers and seas are stirred up; the Daquan Hong Kong cannot do everything comprehensively, and the empty teaching shakes the mountains."""
127,不可移易,"Western Han Dynasty Liu An ""Huainanzi: Lan Mingxun"": ""So Nuwa refines five-color stones to make up the sky, and breaks the claw to establish the four poles."""
128,不舍昼夜,"Ming Feng Menglong's ""Awakening the World Hengyan"" Volume 7: ""But there are one or two talents, and the one who won't be caught in the wind, the central media agrees."""
129,仆仆风尘,"Three Kingdoms Wei Cao Pi's ""Wu Zhishu with Chaoge Order"": ""Fei Gangua is in Qingquan, Shen Zhu Li is in cold water."""
130,以一持万,"Yuan Wang Shifu's ""The Story of the West Chamber"", the fourth fold: ""He can't actually swallow the golden wave of jade liquid."""
131,安于一隅,"""Book of Jin - Que Xu Biography"": ""The ministers take virtuous and good strategies, and they are the first in the world, just like a branch of Guilin and a piece of jade in Kunshan."""
132,涣然冰释,"""Northern History Wei Biography"": ""In the past people did not abandon the hairpin and fall off the vulva, and the evil came out with it, and did not return with it. Although my conduct is not as good as the previous one, it is not my ambition to abandon the old and record the new. ."""
133,皓首穷经,"Tang Bai Juyi's poem ""In the Mountains and Yuan Jiu Shu Yin After Inscription"": ""The caged birds and the apes are not dead, what year did we meet in the world!"""
134,发愤忘食,"Song He Tan's ""Xichou Common Words"": ""If you step far, you will have a leader, and if you sit down, you will listen to the wall without a curtain."""
135,鲍鱼之肆,"""Shangshu, Junya"": ""The worry of the heart, if you are jumping on the tail of a tiger, you will be involved in the spring ice."""
136,不测之忧,"""Han Shu: The Legend of the Xiongnu"": ""Things are thin and thin, and the ministers' plans are not enough to leave the joy of Kundi."""
137,从善如登,"""Southern History, Qi Ji Xia, Abolished Emperor Donghun Hou"": ""(Donghun Hou) also chiseled gold to make lotus flowers (flowers) to stick to the ground, and ordered Concubine Pan to walk on them, saying: 'This step by step produces lotus flowers (flowers). )also.'"""
138,韬光养晦,"Han Sima Qian's ""Book of Reports to Ren Shaoqing"": ""This book is written by the servant, who hides it in famous mountains, and passes it on to his people. If you pass the city, then the servant will pay the responsibility of the previous humiliation. Although thousands of people have been killed, how can there be any regrets!"""
139,来者可追,"""Song History: Yue Fei Biography"" records that Yue Fei said to Zong Ze: ""The battle after the battle, the art of war is constant, the application is wonderful, and it is in one mind."""
140,驽马十驾,"""The Analects of Confucius, Yan Yuan"": ""A gentleman is respectful and without loss, and he is respectful and courteous to others. Within the four seas, all are brothers."""
141,人神共愤,"Song Shi Puji's ""Five Lantern Festival Yuan, Seven Buddhas, Sakyamuni Buddha"": ""I have the right Dharma eye, the wonderful mind of Nirvana, the truth has no appearance, the subtle Dharma door, there is no writing, and it is not taught outside the teaching."""
142,丑态毕露,"The Eastern Han Dynasty Ban Gu ""Han Shu, Lv Li Zhi Shang"": ""The amount of the amount is not lost."""
143,合浦珠还,"""The Analects of Confucius, Zihan"": ""The son said on the river: 'The deceased is like a gentleman, and he does not give up day and night."""
144,案牍劳形,"Han Zhao Ye's ""Wuyue Spring and Autumn Period Goujian Attacks on Wu Waizhuan"": ""The sound can be entrusted to the string pipe, and the name can be left to the bamboo silk."""
145,冯唐易老,"""Records of the Grand Historian, Tai Shigong's Preface"": ""Zhu Lu is a follower, seeks to weaken the capital, and rebels against the classics and cooperates with power."""
146,刮垢磨光,"""Historical Records: Zhang Shizhi's Biography of Feng and Tang Dynasty"": ""The Emperor Wen said: 'When I was living in the dynasty, I was a food supervisor, and I said that Zhao general Li Qizhi's wise men fought under the giant deer. Today, every meal I have, I have no intention of being absent. Hulu also'"""
147,节用裕民,"Han Xu Shen's ""Shuowen Jiezi ,  Preface"": ""The village walls falsely create unknowable books, which are often chaotic and frequent, so as to shine in the world."""
148,临池学书,"Ming Feng Menglong's ""Awakening of the World: Qian Xiucai Wrongly Occupies the Phoenix Couple"": ""Qian Wanxuan listened and pondered."""
149,扼腕叹息,"""Zhuangzi, Shanxing"": ""When things come, they are sent to them."""
150,讲信修睦,"""Mencius: Complete the Heart"": ""The sage is the teacher of a hundred generations."""
151,云谲波诡,"Chunqiu Lu Confucius ""The Analects of Confucius, Ba Yi"": ""If you don't talk about it, you don't remonstrate it, and you don't blame it."" '"
152,明刑弼教,"Emperor Liang Jianwen of the Southern Dynasties ""Book with the King of East Xiangdong"": ""Thank you for your cleverness and cannot be ranked, and Pei Yi's quality is not suitable for admiration."""
153,朝斯夕斯,"""Liezi, Tangwen"": ""Fu Festival Elegy, the sound shakes the trees, and the sound stops the clouds."""
154,克己复礼,"Tang Liu Yuxi's ""Inscription of the Shabby Room"": ""The form of labor without a case."""
155,齐家治国,"""The Book of the Later Han Dynasty: Zhu Mu's Biography"": ""Holding the king in his hand, his mouth contains Tianxian."""
156,近悦远来,"""Book of Jin Xuandi Ji"": ""Shuang and Fan Nei are sparse and unwise, and horses love stack beans, so they must not be used."""
157,厚德载物,"Song Yan Yu's ""Poems of Canglang Poetry Commentary"": ""Li Du Shugong is like gold smashing the sea, and Xiangxiang crossing the river."""
158,敬业乐群,"Eastern Han Dynasty Ban Gu's ""Eastern Capital Fu"": ""If you don't have a lot of fun, you can't kill everything."""
159,无偏无党,"""The Analects of Confucius, Liren"": ""The faults of people are also in their own party. If you have seen them, you will know benevolence."""
160,昂霄耸壑,"Han Liu Xiang's ""Shuoyuan, Jun Dao"": ""Yu went out to see the sinner, got out of the car and asked and cried."""
161,高岸深谷,"""Book of Songs, Xiaoya, Tianbao"": ""Like the permanence of the moon, the rise of the sun, the longevity of Nanshan, it does not collapse and does not collapse, and it is like the luxuriance of pines and cypresses, all of which can be inherited."""
162,民胞物与,"""Historical Records: Biography of Uncle Liu Jing and Sun Tong"": ""When a husband fights with others, if he does not hold him back, he cannot win all of them."""
163,黄钟大吕,"One of the poems of Jin Tao Qian's ""Migration"": ""To appreciate the strange texts, and to analyze the doubts."""
164,名缰利锁,"Warring States ,  Qin ,  Shang Yang ""Shang Junshu ,  Junchen"": ""Those who are arrogant and shy and who are brave will win; those who hang their clothes and talk about it will win; those who have been working hard for a long time will win. Respect to the three can be achieved without merit. have to."""
165,多端寡要,"""Warring States Policy - Chu Policy III"": ""The food of Chu State is more expensive than jade, and the salary is more expensive than laurel. It is rare for the audience to see ghosts, and it is rare for the king to see like the emperor of heaven. Today, I ordered my ministers to eat jade and cinnamon, because ghosts see the emperor."""
166,怪力乱神,"Tang Hanyu's ""cockfighting couplet"": ""One spray, one wake up, and persistent efforts."""
167,草长莺飞,"Song Taogu's ""Qing Yi Zhuan"": ""Jizhou Confucian Li Dazhuang is afraid to obey Xiaojun. If he does not obey the order, he will be ordered to sit upright, with a bun for Wan, and the Zhongan lamp bowl is lit with lights. Soil puppets, people call them Buque lanterns."""
168,荆棘铜驼,"Han Jia Yi's ""Pengniao Fu"": ""If you ride the flow, you will pass, and if you have a stumbling block, you will stop. You are committed to your life, and you are not selfish."""
169,秕言谬说,"""Wei Shu, Duan Chenggen Biography"": ""Cut the mussels for pearls, search for rocks and quarry dry, wild no investment, Chao Ying Yi Han."""
170,躬逢其盛,"""Mencius: The Heart of the Heart"": ""For those who are unavoidable, there is no end. What is thick is thin, and everything is thin. If it advances sharply, it retreats quickly."""
171,和而不同,"""Zhuangzi ,  Foreign Objects"": ""Confucianism sends tombs with poetry and etiquette."""
172,作如是观,"Ming Yu Qian's poem ""Out of the Frontier"": ""The tile stabs the poor, the real dog and the hog, and dares to scratch the child at the frontier. The wolf is greedy for the rat to steal back, and it is puzzled to steal life and seek quick death."""
173,击楫中流,"Yuan Yang Wenkui's ""Children's Reunion"" first fold: ""When you get started, you start to make troubles, and there are some things about Huang Shuhei."""
