,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
17,水火之中,1,None,晋·陆机《文赋》：“其始也，皆收视反听，耽思傍讯。”,桑中：桑林之间。指男女幽会的的密约。,1,shuǐ huǒ zhī zhōng,"Jin Lu Ji's ""Wen Fu"": ""The beginning of it is all watching and listening, thinking about the news.""",Sangzhong: Between mulberry forests. It refers to the secret appointment of a man and a woman's rendezvous.,None
18,身怀六甲,1,mainland China politics,《孟子·离娄上》：“淳于髡曰：‘男女授受不亲，神情民？’孟子曰：‘礼也。’”,写人-德才-⑸谦虚-虚心,1,shēn huái liù jiǎ,"""Mencius: Li Lou Shang"": ""Chun Yu Kun said: 'Do men and women give and receive gifts, do they look like people?' Mencius said: 'It is also propriety.'""",Writing about people - Virtue and talent - (5) Humility - Modesty,5万多新冠肺炎病例中，治愈超过8万人。从刚刚出生的婴儿到身怀六甲的孕妇，从伴有基础疾病的重症患者到期颐老人，从海外留学生到来华外国人，我们都全力抢救。
19,师道尊严,1,mainland China politics,宋·陈亮《癸卯秋答朱元晦秘书书》：“伯恭钦夫敏妙固未易及，然正大之体，挺特之气，竖起脊梁，当时轻重有无，独于门下归心而已。”,写事-情况-⑸军事-作战,1,shī dào zūn yán,"Song Chenliang's ""Guimaoqiu Answers to Zhu Yuanhui's Secretary's Book"": ""Bergong Qin, Fu Min, Miao and solid are not easy to reach, but he has an upright body, a special spirit, and erects a spine. That's it.""",Writing - Situation - (5) Military - Combat,每年秋天，都是老师们一个学年辛勤耕耘的开始，也是弘扬尊师重教美德的最好时点。在第三十五个教师节到来之际，教育部发布的一系列成果收获不少点赞：提振“师道尊严”，树立优秀教师典型，设立教师职业行为准则；提升“地位待遇”，完善教师荣誉制度，教师工资升至全国十九大行业第七位；开拓“发展空间”，完善教师职称评聘制度，畅通教师发展通道。
20,树德务滋,1,mainland China politics,《三国志·魏书·高贵乡公传》斐松之注引《汉晋春秋》：“司马昭之心，路人皆知。”,纵：放；逝：消失。稍微一放松就消失了。形容时间或机会等很容易过去。,1,shù dé wù zī,"""Three Kingdoms, Wei Shu, Gaoguixiang Gongzhuan"" Fei Song's annotation quoted ""Han Jin Spring and Autumn"": ""Sima Zhao's heart is well known to passers-by.""","Indulge: to let go; pass away: to disappear. It disappears with a little relaxation. Describe how easily time or opportunity, etc., passes.",这是进行政治把握的基本原则。纪是党内规则，法是社会准绳，背后有情有理有温度；情理不是私情私理，而是蕴含着人文关怀、道德理念、价值取向，必须贯通施行、相得益彰。实践中，要既讲依规依纪依法，又讲思想政治工作；既讲原则性、坚定性，敢于斗争，又讲政策性、精准性，善于斗争；既讲除恶务本，又讲树德务滋，切实做到对纪法情理的贯通把握和综合运用。
21,势不可挡,36,International news,明·吴承恩《西游记》第八十二回：“微风初动，轻飘飘展开蜀锦吴绫；细雨才收，娇滴滴露出冰肌玉质。”,事理-成败,4,shì bù kě dǎng,"Ming Wu Chengen's ""Journey to the West"" Chapter 82: ""At the beginning of the breeze, the Shu brocade and Wu Ling were fluttering lightly; only after the drizzle stopped, the delicate drops revealed the ice muscle and jade quality.""",Reason - Success or Failure,当今世界，和平合作的潮流滚滚向前，开放融通的潮流滚滚向前，变革创新的潮流滚滚向前。面对势不可挡的时代大潮，相通则共进，相闭则各退。
22,仁义道德,2,Hong Kong - Macau politics,《三国志·蜀志·谯周传》：“既非秦末鼎沸之时，实有六国并据之势。”《晋书·祖逖传》：“若四海鼎沸，豪杰并起，吾与足下，当相避于中原耳。”,事情因为严密谨慎而成功。,2,rén yì dào dé,"""Three Kingdoms, Shu Zhi, Qiaozhou Biography"": ""It is not the time when the Qin Dynasty was full of prosperity, but there is a tendency for the six kingdoms to join forces."" ""Jin Book: Zuti Biography"": ""If the four seas are full of prosperity, and heroes rise together, I and I stand together. , should be avoided in the Central Plains ear.""",Things work out because of strict caution.,一个人的品德修为不仅是体现在嘴上，更重要的是落实在行动上。那些被查处的腐败分子，人前满口仁义道德，人后却为所欲为，最终身败名裂。
23,人事代谢,1,None,唐·杜牧《读韩杜集》诗：“杜诗韩集愁来读，似倩麻姑痒处抓。”,赏心：心情欢畅。欢畅的心情，快乐的事情。,1,rén shì dài xiè,"Tang Du Mu's poem ""Reading Han Du Ji"": ""Du Shi Han Ji is worried to read it, like Qian Ma Gu is scratching at the itch.""","Appreciate the heart: a cheerful mood. A cheerful mood, something happy.",None
24,如临深渊,8,mainland China politics,《论语·子路》：“善人为邦百年，亦可以胜残去杀矣。”《汉书·李广传》：“夫报忿除害，捐残去杀，朕之所图于将军也。”,对证：核实。当事人已死，无法核对事实。,3,rú lín shēn yuān,"""The Analects of Confucius, Zilu"": ""A good man has been in the country for a hundred years, and he can also kill the disabled."" ""Han Shu, Li Guangzhuan"": ""The husband repays his anger and eliminates the evil, and donates the disabled to kill. What I want is the general.""",Matching evidence: verification. The person in question is dead and the facts cannot be verified.,“时时放心不下”，正是夙兴夜寐、宵衣旰食的敬业奉献，是功崇惟志、业广惟勤的勇毅笃行，是如履薄冰、如临深渊的敬畏意识。
25,人欢马叫,1,None,清·曹雪芹《红楼梦》第一百二回：“如今我的身子是十病九痛的，你二嫂子也是三日好两日不好。”,豕：猪；突：猛冲。象猪那样冲撞，象狼那样奔跑。形容成群的坏人乱冲乱撞，到处搔扰。,1,rén huān mǎ jiào,"Qing Cao Xueqin's ""A Dream of Red Mansions"" Chapter 122: ""Now my body is suffering from ten diseases and nine pains, and your second sister-in-law is also good for three days and two days.""","豕：猪；突突：猛冲。 Like pigs rushing, like wolves running. Describe the hordes of bad guys rushing around and scratching everywhere.",None
26,如鲠在喉,2,culture,汉·刘向《说苑·谈丛》：“十步之泽，必有香草；十室之邑，必有忠士。”汉·王符《潜夫论·实贡》：“夫十步之间，必有茂草；十室之邑，必有俊士。”,瞳：瞳孔，指眼睛。形容眼睛清澈明亮。,2,rú gěng zài hóu,"Han Liu Xiang's ""Shuoyuan ,  Tan Cong"": ""Ten steps of the lake, there must be herbs; ten houses of the city, there must be loyal men."" Between, there must be lush grass; in the town of ten houses, there must be handsome men.”","Pupil: pupil, referring to the eye. Describe the eyes clear and bright.",在重庆，国民党专门列支了8万元盛情款待，当时这些钱可以买800头牛，他感到如鲠在喉。后来陈嘉庚到了延安，毛泽东请他吃饭。
27,齐心合力,1,Hong Kong - Macau politics,《晋书·熊远传》：“人心所归，惟道与义。”,自己没有一定的想法，随着潮流走。,1,qí xīn hé lì,"""Book of Jin, Xiong Yuanzhuan"": ""The only place where people's hearts return is Taoism and righteousness.""",One does not have a certain idea of going with the trend.,香港是否还经得起折腾，能继续承受多少乱象，要牺牲多少公众利益，身处其中的每个人真的要停一停、想一想，不要继续被蒙蔽、被“绑架”，不要继续隐忍暴力、自甘吞下社会纷乱的苦果，一起站出来对暴力说“不”，齐心合力让香港回归理性、回归安宁，切莫让香港被推向一条不归之路。
28,迁怒于人,1,culture,汉·韩婴《韩诗外传》卷一：“命入朝廷，如赴汤火。”,事理-因果,1,qiān nù yú rén,"Han Han Ying's ""Han Poetry Biography"" Volume 1: ""To be ordered into the imperial court is like going to a soup fire.""",Reason - Cause and Effect,《宋史》曾载，与朱熹、张栻并称“东南三贤”的吕祖谦，少时性情急躁，极易迁怒于人。他正是通过阅读，不断磨练自己的品性，最终在读到孔子“躬自厚而薄责于人”的教诲时，自己心中的忿气“涣然冰释”。
29,取精用弘,1,culture,南朝宋·刘义庆《世说新语·文学》：“谢安年少时，请阮光禄道《白马论》，为论以示谢。于时谢不即解阮语，重相咨尽。阮乃叹曰：‘非但能言人不可得，正索解人亦不得。’”,因感受风寒而引起的病。,1,qǔ jīng yòng hóng,"In the Southern Song Dynasty, Liu Yiqing's ""Shishuo Xinyu, Literature"": ""When Xie An was young, he asked Ruan Guangluo to say ""The White Horse"" as a way of expressing his gratitude. When Xie did not, he immediately explained Ruan's words and consulted each other again. Ruan Nai sighed: 'Not only is it impossible to speak to people, but it is also impossible to understand people.'""",A disease caused by feeling wind and cold.,“词学宗师”夏承焘专注于词学研究和教学，以毕生之力旁搜远绍、取精用弘，终成现代词学的开拓者和奠基人。
30,裙带关系,3,culture,清·曹雪芹《红楼梦》第一百二十回：“贵族之女，俱属从情天孽海而来。”,写人-经历-⑶境况-贫困,2,qún dài guān xì,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 120: ""The daughters of nobles are all from the sea of love and evil.""",Writing about people - experience - (3) situation - poverty,毛泽东同志曾对身边工作人员讲：我们共产党的章法，决不能搞裙带关系，一个人当了官，沾亲带故的人都可以升官发财。
31,偏信则暗,1,mainland China politics,《庄子·徐无鬼》：“夫逃虚空者，藜藋柱乎鼪鼬之径，踉位其空，闻人足音跫然而喜矣。”,形容事物象闪电和石火一样一瞬间就消逝。,1,piān xìn zé àn,"""Zhuangzi, Xu Wugui"": ""The man who escapes from the void, the quinoa and the pillars are close to the path of the weasel, and they stand in the void, and they are delighted to hear the sound of people's footsteps.""",Describe things like lightning and stone fire fade away in a flash.,把问题找全、找深、找准是解决问题的前提。坚持问题导向，调研才能有的放矢，防止避重就轻。兼听则明、偏信则暗，要做讨论式的调研，了解全局、剖析现状、追溯历史，摸清问题表象的来龙去脉，防止“只听少数人谈经验”，停留在“听听、转转、看看”。
32,难以为继,19,financial news,《史记·五帝本纪赞》：“非好学深思，心知其意，固难为浅见寡闻道也。”,写人-言谈-⑷争论-方式,3,nán yǐ wéi jì,"""Historical Records: Five Emperors Ben Jizan"": ""If you are not eager to learn and think deeply, and you know the meaning in your heart, it is hard to be shallow and ignorant of the Tao.""",Writing about people - speech - (4) arguments - way,党的十八大以来，伴随着平安中国建设的深入推进，人民群众居家更安心、出行更放心、生活更舒心，“平安中国”成为一张亮丽的国家名片，中国成为世界上最有安全感的国家之一。与此同时，平安中国建设面临新形势，面对新挑战。纵观各国治理实践，如果社会治理跟不上经济发展步伐，各种社会矛盾和问题得不到有效解决，不仅经济发展难以为继，整个社会也可能陷入动荡。
33,年逾古稀,1,None,宋·苏轼《次韵秦观……将入京应举》诗：“千金弊帚那堪换，我亦淹留岂长算。”,善：拭；善刀：把刀擦干净。将刀擦净，收藏起来。比喻适可而止，自敛其才。,1,nián yú gǔ xī,"Song Su Shi's poem ""Second Rhyme Qin Guan... Will Enter Beijing Ying Ju"": ""A thousand gold evil brooms can be exchanged, and I am also submerged. How long does it count.""",Good: wipe; good knife: wipe the knife clean. Wipe the knife clean and store it away. It is a metaphor for stopping at the right time and restraining oneself.,None
34,内省不疚,1,culture,《南史·宋孝武帝纪》：“少机颖，神明爽发，读书七行俱下，才藻美甚。”,写事-情况-⑴世道-治国,1,nèi xǐng bù jiù,"""Southern History: Emperor Xiaowu of the Song Dynasty"": ""You are young and clever, and your gods are brilliant. You can read all the seven elements, and your talents are very beautiful.""",Writing about events-situations-(1) the way of the world-rule of the country,官员在独处时想什么、做什么？如果没有外人的监督，是否能做到不做亏心之事，不放纵自己，不做有违道德良知、党纪国法之事？这需要很强的个人道德定力和境界修养。纵观几千年中国文化，古圣先贤都把“吾日三省吾身”“不自欺”“处世当无愧于心”“暗室不欺”等看作“慎独”的一种表达。汉代的杨震、明代的李汰，面对金钱的诱惑，在暮夜无人知晓的情况下，不是笑纳，而是断然拒绝。清代的叶存仁在离任之际，面对僚属们趁夜色馈赠的礼品，心领而已，这就是官员的“慎独”。因为在他们内心深处，已经把“头顶三尺有神明”“不畏人知畏己知”化为了自己的坚定信念。晚清名臣曾国藩就特别看重“慎独”。他的遗嘱第一条就讲“慎独”，“慎独则心安。……能慎独，则内省不疚，可以对天地质鬼神”。
35,能不称官,1,culture,晋·王嘉《拾遗记》卷六：“其宠者皆以玉器盛食，故东京谓郭家琼厨金穴。”,写人-身体-_-⑷病弱,1,néng bù chèn guān,"Jin Wang Jia's ""Supplementary Notes"", Volume 6: ""The pets are all served with jade, so Tokyo is called the Golden Cave of Guojiaqiong Kitchen.""",Writing about people - physical -_- (4) sickness and weakness,孔子说：“为政以德，譬如北辰，居其所而众星拱之。”荀子说：“德不称位，能不称官，赏不当功，罚不当罪，不祥莫大焉。
36,妙手偶得,1,culture,《太平御览》卷四十引《辛氏三秦记》：“河津一名龙门，巨灵迹犹在，去长安九百里。江海大鱼洎集门下数千，不得上，上则为龙，故云暴腮龙门。”,写人-心绪-_-(21)领悟,1,miào shǒu ǒu dé,"""Taiping Yu Lan"" volume 40 quotes ""Three Qin Ji of Xin"": ""There is a dragon gate in Hejin, and there are still traces of giant spirits, and he goes to Chang'an for 900 miles. There are thousands of big fish in the river and sea. Dragon, so the cloud storms the dragon gate.""",Writing about people - mind -_-(21) comprehension,为不必要的表格、检查、评审而奔波的时间多了，投入科研的时间自然就少了；为无谓的迎来送往、繁文缛节而分神了，进行科技攻关的精力自然也就被分散了。古人云，“守少则固，力专则强。”科技创新是一项伟大的事业，但探索科学真理的路途往往异常艰辛，从无捷径可走，需要下“十年磨一剑”的苦功夫，需要有“板凳坐得十年冷”的心无旁骛。科学研究里，确实有“灵光一现”，但那往往是长时间专注思考之后的豁然开朗；创新探索中，也确实有“妙手偶得”，但那通常是历经几十年如一日的辛苦探索后的厚积薄发。
37,莫此为甚,1,Hong Kong - Macau politics,《诗·小雅·斯干》：“乃生女子，载寝之地，载衣之裼，载弄之瓦。”,手足：比喻兄弟。比喻兄弟的感情。,1,mò cǐ wéi shèn,"""Poetry, Xiaoya, Sigan"": ""It is the place where a woman is born, the place where she sleeps, the jacket of her clothes, and the tile of her work.""",Hands and feet: a metaphor for brothers. A metaphor for brotherly affection.,None
38,荦荦大端,1,None,《商君书·赏刑》：“故禁奸止过，莫若重刑；刑重而必得，则民不敢试，故国无刑民。国无刑民，故曰：‘明刑不戮。’”,写事-事态-⑺声势、气氛-声势,1,luò luò dà duān,"""Book of Shangjun Rewards Punishment"": ""Therefore, if adultery is forbidden, it should not be punished with severe punishment; if the punishment is severe and must be obtained, the people will not dare to try it. Therefore, the country does not punish the people. The country does not punish the people. '""","Writing about events - the state of affairs - (7) sound, atmosphere - sound",None
39,来处不易,4,mainland China politics,唐·韩愈《送石处士序》：“伯乐一过冀北之野，而马群遂空。”,写人-称呼-⑶身分职业-官吏,2,lái chù bù yì,"Tang Hanyu's ""Preface to Sending Stones to Servants"": ""As soon as Bole passed the wilderness in northern Hebei, the horses were empty.""",Writing about people - Address - (3) Identity occupation - Officials,“一粥一饭，当思来处不易；半丝半缕，恒念物力维艰”。
40,利不亏义,1,mainland China politics,北齐·颜之推《颜氏家训·序致》：“追思平昔之指，铭肌镂骨。”,比喻文章造诣极深。,1,lì bù kuī yì,"The Northern Qi Dynasty Yan Zhitui's ""Yan's Family Instructions: Preface"": ""In memory of the fingers of the past, remember the muscles and bones.""",It is a metaphor for the profound attainment in writing.,传统文化泱泱数千载，蕴藏数之不尽的哲学思想、人文精神、教化思想、道德理念，宝贵价值不言而喻。明大德、守公德、严私德之于管党治党，革故鼎新、与时俱进之于改革创新，义重于利、利不亏义之于市场经济，天下为公、大同世界之于人类命运共同体，无不充满启迪和教益。
41,九天揽月,8,sports,《晋书·王澄传》：“澄嘗谓衍曰：‘兄形似道，而神锋太儁。’衍曰：‘诚不如卿落落穆穆然也。’”,见：被；捐：弃。秋凉以后，扇子就被抛在一边不用了。旧时比喻妇女遭丈夫遗弃。,3,jiǔ tiān lǎn yuè,"""Book of Jin: Biography of Wang Cheng"": ""Cheng tasted that Yan said: 'Brother's shape is like the Tao, but the spirit is too handsome.' Yan said: 'It is not as good as Qing Luoluo Mu Muran.'""","See: be; donate: discard. After the cool of autumn, the fan was cast aside and not used. In the old days, it was a metaphor for a woman being abandoned by her husband.",这是一个堪称“无价”的年份。时间的年轮上，刻印着白衣为甲、逆行出征的勇敢，隔空拥抱、大爱无言的温暖，决战决胜、拔除穷根的坚毅，深潜海底、九天揽月的豪迈……时间无价，生命无价，奋斗无价。
42,积水成渊,6,mainland China politics,唐·张怀谨《书议》：“麟凤一毛，龟龙片甲，亦无所不录。。”,仰求别人，不如自己努力。,3,jī shuǐ chéng yuān,"Tang Zhang Huaijin's ""Book Discussion"": ""A feather of a lin and phoenix, a piece of turtle and dragon, and everything is recorded.""",It is better to look up to others than to work on your own.,携手推动“一带一路”实现高质量发展，我们要按照习主席主旨演讲中强调的重要理念，秉持共商共建共享原则，倡导多边主义，充分发挥沿线各国各地区的优势和潜能，实现聚沙成塔积水成渊；要促进开放、绿色、廉洁的新理念落地生根，将绿色作为“一带一路”建设的底色，让这条新丝路繁花似锦永续发展；要努力实现高标准、惠民生、可持续目标，聚焦消除贫困、增加就业、改善民生，让共建“一带一路”成果更好惠及全体人民，为当地经济社会发展作出实实在在的贡献。
