,Chengyu,Explanation
291,机不可失,"When many mosquitoes get together, the sound will be as loud as the sound of thunder. Metaphorically speaking, if there are many people who say bad things, they will make people suffer a lot of damage."
292,飞黄腾达,It is used as a polite word to welcome guests.
293,画龙点睛,Writing - Situation - (6) Teaching - Seminar
294,后顾之忧,Writing about people - virtues and talents - (1) noble - outstanding
295,巧取豪夺,"Burning trees and forests and hunting animals. The metaphor is to seek only immediate benefits, not to make long-term plans."
296,一笔勾销,Writing about people - Virtue and talent - (26) Stupidity - Stupidity
297,一箭双雕,"It is a metaphor for a person's gentle and loving attitude, making people willing to approach."
298,过河拆桥,Writing about people - Acting - (3) Attitude - Other
299,利令智昏,It refers to the violation of the routine and the adoption of expedient measures.
300,朝三暮四,比物：比喻；连：连连缀；类：相同的事物。 Connecting similar things and making a platitude to summarize
301,开天辟地,It is a metaphor for surrendering to a superior person and sighing at oneself.
302,掩耳盗铃,Refers to whispering in private.
303,守株待兔,Spend your days at leisure.
304,揠苗助长,"In the olden days, it referred to the birth of a first-born child."
305,防患未然,"The original meaning is to consider the situation and take appropriate measures. Later, it describes the ability to handle things with a clear mind."
306,不可多得,"什: describe many; 襲: quantifier, set, layer. Wrapping the items in layers and hiding them in a precious way. Describe the extremely precious collection of items."
307,先见之明,Writing about people-movement-(2) walking-fast and slow
308,巧夺天工,Jiao: Strong. Strong like a scared dragon
309,不胫而走,"Weigh: measure; Fuel: firewood; Cuan: burn a fire to cook rice. Weighing the firewood to cook rice. The metaphor is to pay attention only to small things, to be calculating, to describe stinginess or poverty"
310,百折不挠,Writing about people - experience - (3) situation - poverty
311,投笔从戎,It refers to stubbornness and lack of adaptability.
312,乐不可支,It is a description of self-interest for no reason.
313,东山再起,Writing about people - feelings - (7) fear - panic
314,不求甚解,"White head: white head, referring to old age; empty: in vain. When one's hair is white, one returns empty-handed. Refers to old age without achievement"
315,世外桃源,pathos: a sad look; snot: tears. Weeping sadly. Describe very sorrowful
316,言过其实,The metaphor is to treat a treacherous villain as a clean and fair gentleman.
317,手不释卷,"Learned, but not allowed to get it right."
318,惊天动地,Silk: dense look; curtain: tent. refers to the planning of military affairs in the tent of the military camp
319,劳而无功,"Strong and resolute, unshakeable."
320,口是心非,Refers to its name but not its performance
321,目空一切,Red Heart: a sincere heart. Sincerely treating others
322,异口同声,Writing about people - Virtue and talent - (3) Loyalty - Loyalty
323,轻而易举,冁然：The way of laughing. Laughing happily.
324,诚心诚意,Embroidery: Using silk velvet or silk thread to embroider a floral pattern on cloth. A metaphor for returning to one's hometown after becoming rich and boasting to the villagers
325,痴心妄想,"Lax: the appearance of dissipation; release: dissipation. Like ice melting when it meets heat. Describe the complete elimination of doubts, misunderstandings, barriers, etc."
326,涂脂抹粉,"Work: exquisite, complete. Exhaustion to make the article or craft more exquisite"
327,不平则鸣,Refers to never forgetting.
328,山穷水尽,Lower yourself to comply with others.
329,水涨船高,Writing about people - Acting - (3) Attitude - Obedience
330,一视同仁,Writing about people - speech - (6) delusion - nonsense
331,饱经风霜,It is a metaphor for not having a wide range of knowledge.
332,摇旗呐喊,Refers to falsification.
333,寸步难行,"In the old days, it referred to the sons of bureaucrats, landlords and rich families."
334,四平八稳,Writing - Situation - (7) Culture and art - Poor work
335,措手不及,To measure the depth of the ground by stabbing it with an awl. The metaphor is that the knowledge is shallow and little is known.
336,默默无闻,"Evil: Opposite to ""good"" and ""good"". It is not evil, but it is very majestic and makes people know how to respect it."
337,穿针引线,"Words: explain, illustrate. You can understand without saying anything. Describe the matter is very obvious"
338,别出心裁,It describes a very large collection of books.
339,见风使舵,Describe the life is very dangerous.
340,战战兢兢,To catch a mouse using a cat as bait. The metaphor is that things do not work out.
341,头重脚轻,Writing things-opposition-(10) success or failure-failure
342,美不胜收,"The original meaning is that it is better to live in seclusion and live in poverty than to rank as a minister and be under the control of titles and penalties. Later, it also refers to living in a filthy environment."
343,人云亦云,It means seeing something unreasonable and not feeling surprised.
344,千言万语,"Metaphorically, begging in the street."
345,三思而行,Writing about people - experience - (3) situation - poverty
346,弱肉强食,"Originally, it refers to the ability to do what one's parents want without waiting for them to ask. Later, it refers to guessing the intention of superiors and flattering them extremely."
347,触景生情,Misunderstanding or misinterpreting the original meaning of the author by sticking to the diction.
348,喧宾夺主,Writing about people - Virtue and talent - (5) Humility - Modesty
349,任重道远,Stirring boiling water with fingers. It is a metaphor for not measuring oneself and being sure to fail.
350,锦上添花,Writing about people - Acting - (2) Style - Casual
351,青黄不接,Reason - Practice
352,喋喋不休,"It is a metaphor for taking advantage of the convenience of the situation, and it does not take much effort."
353,高谈阔论,"Hao: white; Shou: hair; Poor scriptures: dedicated to studying scriptures and ancient books. The Chinese character for ""poor scriptures"" is ""old"", ""white"", ""white"", ""white"", ""white"" and ""white""."
354,谈笑风生,"Originally, it refers to the victory over the other party at the banquet of the alliance of vassal states. Later, it refers to diplomatic negotiations in general."
355,乘人之危,Using historical stories to attack current politics.
356,强词夺理,Get up when the rooster crows. It describes diligent and untiring.
357,波澜壮阔,Vowing to lick the sky with the tongue. The metaphor is that what is done is not consistent with what is sought and cannot achieve the goal.
358,对症下药,"Writing about events - state of affairs - (3) results - opposite, inconsistent"
359,茅塞顿开,Study or work so hard that you forget to eat. Describe very diligent.
