Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2019-2020,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,263,64,0.243,80,0.304,263,64,0.243,80,0.304,Y
2019-2020,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,390,98,0.251,118,0.303,390,98,0.251,118,0.303,Y
2019-2020,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,425,81,0.191,90,0.212,425,81,0.191,90,0.212,Y
2019-2020,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,408,102,0.25,112,0.275,408,102,0.25,112,0.275,Y
2019-2020,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,316,85,0.269,93,0.294,316,85,0.269,93,0.294,Y
2019-2020,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,6,0.4,7,0.467,15,6,0.4,7,0.467,Y
2019-2020,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,22,5,0.227,5,0.227,0,0,0,0,0,Y
2019-2020,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,2853,466,0.163,525,0.184,2803,454,0.162,511,0.182,Y
2019-2020,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,30,5,0.167,5,0.167,30,5,0.167,5,0.167,Y
2019-2020,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,126,53,0.421,58,0.46,119,49,0.412,54,0.454,Y
2019-2020,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,501,190,0.379,219,0.437,470,185,0.394,214,0.455,Y
2019-2020,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,469,71,0.151,84,0.179,469,71,0.151,84,0.179,Y
2019-2020,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,772,142,0.184,164,0.212,772,142,0.184,164,0.212,Y
2019-2020,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,657,88,0.134,103,0.157,621,85,0.137,100,0.161,Y
2019-2020,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,497,129,0.26,156,0.314,497,129,0.26,156,0.314,Y
2019-2020,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,145,31,0.214,35,0.241,145,31,0.214,35,0.241,Y
2019-2020,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,545,69,0.127,79,0.145,545,69,0.127,79,0.145,Y
2019-2020,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,492,127,0.258,160,0.325,477,126,0.264,159,0.333,Y
2019-2020,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,423,45,0.106,55,0.13,423,45,0.106,55,0.13,Y
2019-2020,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,1377,306,0.222,338,0.245,1377,306,0.222,338,0.245,Y
2019-2020,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,397,38,9.57E-02,43,0.108,397,38,9.57E-02,43,0.108,Y
2019-2020,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,227,141,0.621,154,0.678,222,137,0.617,150,0.676,Y
2019-2020,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,494,316,0.64,353,0.715,485,313,0.645,350,0.722,Y
2019-2020,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,13,0.25,13,0.25,42,13,0.31,13,0.31,Y
2019-2020,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,34,10,0.294,11,0.324,0,0,0,0,0,Y
2019-2020,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,2519,400,0.159,481,0.191,2489,386,0.155,465,0.187,Y
2019-2020,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,183,92,0.503,108,0.59,156,80,0.513,95,0.609,Y
2019-2020,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,17,3,0.176,3,0.176,15,3,0.2,3,0.2,Y
2019-2020,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,152,Locally funded,Y,K,12,385,116,0.301,145,0.377,380,114,0.3,143,0.376,Y
2019-2020,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,2367,308,0.13,383,0.162,2353,301,0.128,376,0.16,Y
2019-2020,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,1373,438,0.319,588,0.428,1344,427,0.318,575,0.428,Y
2019-2020,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,2048,130,6.35E-02,151,7.37E-02,2037,125,6.14E-02,146,7.17E-02,Y
2019-2020,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,1930,413,0.214,512,0.265,1885,407,0.216,503,0.267,Y
2019-2020,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,449,132,0.294,176,0.392,434,130,0.3,174,0.401,Y
2019-2020,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,625,175,0.28,221,0.354,596,171,0.287,214,0.359,Y
2019-2020,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,377,178,0.472,218,0.578,377,178,0.472,218,0.578,Y
2019-2020,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,488,161,0.33,217,0.445,488,161,0.33,217,0.445,Y
2019-2020,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,689,179,0.26,212,0.308,689,179,0.26,212,0.308,Y
2019-2020,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,527,129,0.245,155,0.294,510,126,0.247,152,0.298,Y
2019-2020,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,687,129,0.188,161,0.234,673,127,0.189,159,0.236,Y
2019-2020,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,3,791,38,4.80E-02,43,5.44E-02,764,36,4.71E-02,41,5.37E-02,Y
2019-2020,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,626,95,0.152,113,0.181,624,93,0.149,111,0.178,Y
2019-2020,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,604,84,0.139,113,0.187,590,84,0.142,113,0.192,Y
2019-2020,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,488,55,0.113,71,0.145,488,55,0.113,71,0.145,Y
2019-2020,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,620,59,9.52E-02,65,0.105,620,59,9.52E-02,65,0.105,Y
2019-2020,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,629,53,8.43E-02,73,0.116,617,53,8.59E-02,73,0.118,Y
2019-2020,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,597,102,0.171,125,0.209,597,102,0.171,125,0.209,Y
2019-2020,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,910,85,9.34E-02,103,0.113,892,84,9.42E-02,101,0.113,Y
2019-2020,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,772,140,0.181,161,0.209,744,137,0.184,158,0.212,Y
2019-2020,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,535,115,0.215,139,0.26,517,112,0.217,134,0.259,Y
2019-2020,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,3,6,1067,33,3.09E-02,41,3.84E-02,1067,33,3.09E-02,41,3.84E-02,Y
2019-2020,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,7,8,1003,232,0.231,303,0.302,1003,232,0.231,303,0.302,Y
2019-2020,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,1021,339,0.332,439,0.43,1021,339,0.332,439,0.43,Y
2019-2020,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,7,8,1178,178,0.151,214,0.182,1178,178,0.151,214,0.182,Y
2019-2020,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,7,8,1273,170,0.134,209,0.164,1273,170,0.134,209,0.164,Y
2019-2020,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,7,8,1028,66,6.42E-02,81,7.88E-02,1028,66,6.42E-02,81,7.88E-02,Y
2019-2020,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,724,37,5.11E-02,45,6.22E-02,696,35,5.03E-02,42,6.03E-02,Y
2019-2020,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,600,75,0.125,81,0.135,577,72,0.125,78,0.135,Y
