Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,505,46,9.11E-02,60,0.119,505,46,9.11E-02,60,0.119,Y
2016-2017,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,560,131,0.234,164,0.293,543,126,0.232,159,0.293,Y
2016-2017,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,2,0.143,2,0.143,12,2,0.167,2,0.167,Y
2016-2017,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1254,Directly funded,Y,6,8,249,136,0.546,175,0.703,249,136,0.546,175,0.703,Y
2016-2017,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,9,12,347,201,0.579,229,0.66,338,198,0.586,226,0.669,Y
2016-2017,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3018,684,0.227,841,0.279,2916,650,0.223,803,0.275,Y
2016-2017,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,62,36,0.581,41,0.661,52,30,0.577,33,0.635,Y
2016-2017,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1022,217,0.212,268,0.262,1022,217,0.212,268,0.262,Y
2016-2017,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,592,189,0.319,242,0.409,592,189,0.319,242,0.409,Y
2016-2017,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,445,101,0.227,114,0.256,445,101,0.227,114,0.256,Y
2016-2017,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,394,110,0.279,135,0.343,394,110,0.279,135,0.343,Y
2016-2017,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,304,104,0.342,115,0.378,304,104,0.342,115,0.378,Y
2016-2017,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,407,103,0.253,119,0.292,407,103,0.253,119,0.292,Y
2016-2017,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,367,112,0.305,148,0.403,347,106,0.305,141,0.406,Y
2016-2017,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,118,0.213,139,0.251,531,115,0.217,135,0.254,Y
2016-2017,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,514,271,0.527,302,0.588,514,271,0.527,302,0.588,Y
2016-2017,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,301,85,0.282,105,0.349,301,85,0.282,105,0.349,Y
2016-2017,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,427,161,0.377,195,0.457,427,161,0.377,195,0.457,Y
2016-2017,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,483,141,0.292,164,0.34,471,136,0.289,157,0.333,Y
2016-2017,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,437,115,0.263,139,0.318,437,115,0.263,139,0.318,Y
2016-2017,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,302,98,0.325,120,0.397,302,98,0.325,120,0.397,Y
2016-2017,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,0.25,3,0.25,11,3,0.273,3,0.273,Y
2016-2017,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,26,4,0.154,4,0.154,0,0,0,0,0,Y
2016-2017,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2920,457,0.157,643,0.22,2861,438,0.153,621,0.217,Y
2016-2017,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,6,0,0,0,0,6,0,0,0,0,Y
2016-2017,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,117,39,0.333,42,0.359,113,38,0.336,41,0.363,Y
2016-2017,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,478,157,0.328,201,0.421,452,156,0.345,199,0.44,Y
2016-2017,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,469,70,0.149,98,0.209,469,70,0.149,98,0.209,Y
2016-2017,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,784,126,0.161,178,0.227,784,126,0.161,178,0.227,Y
2016-2017,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,656,80,0.122,100,0.152,627,80,0.128,100,0.159,Y
2016-2017,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,475,121,0.255,161,0.339,475,121,0.255,161,0.339,Y
2016-2017,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,143,15,0.105,16,0.112,143,15,0.105,16,0.112,Y
2016-2017,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,490,49,0.1,74,0.151,490,49,0.1,74,0.151,Y
2016-2017,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,457,102,0.223,144,0.315,445,98,0.22,140,0.315,Y
2016-2017,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,464,56,0.121,68,0.147,464,56,0.121,68,0.147,Y
2016-2017,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1436,245,0.171,323,0.225,1436,245,0.171,323,0.225,Y
2016-2017,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,20,4.71E-02,27,6.35E-02,425,20,4.71E-02,27,6.35E-02,Y
2016-2017,1,61168,1,Alameda,Emery Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0.5,1,0.5,2,1,0.5,1,0.5,Y
2016-2017,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,177,98,0.554,122,0.689,174,97,0.557,121,0.695,Y
2016-2017,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,508,295,0.581,358,0.705,503,293,0.583,355,0.706,Y
2016-2017,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,6,0.154,6,0.154,32,6,0.188,6,0.188,Y
2016-2017,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,33,1,3.03E-02,1,3.03E-02,1,1,1,1,1,Y
2016-2017,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2200,286,0.13,367,0.167,2164,274,0.127,351,0.162,Y
2016-2017,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,161,65,0.404,72,0.447,129,50,0.388,56,0.434,Y
2016-2017,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,31,9,0.29,9,0.29,30,9,0.3,9,0.3,Y
2016-2017,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,152,Locally funded,N,K,12,339,40,0.118,54,0.159,329,40,0.122,54,0.164,Y
2016-2017,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2249,220,9.78E-02,270,0.12,2217,212,9.56E-02,262,0.118,Y
2016-2017,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1385,385,0.278,522,0.377,1346,373,0.277,506,0.376,Y
2016-2017,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2003,59,2.95E-02,73,3.64E-02,1987,56,2.82E-02,69,3.47E-02,Y
2016-2017,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1897,330,0.174,422,0.222,1847,318,0.172,409,0.221,Y
2016-2017,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,435,125,0.287,169,0.389,427,125,0.293,169,0.396,Y
2016-2017,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,743,215,0.289,277,0.373,719,212,0.295,272,0.378,Y
2016-2017,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,448,159,0.355,208,0.464,448,159,0.355,208,0.464,Y
2016-2017,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,476,160,0.336,222,0.466,476,160,0.336,222,0.466,Y
2016-2017,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,653,167,0.256,204,0.312,653,167,0.256,204,0.312,Y
2016-2017,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,485,74,0.153,106,0.219,471,74,0.157,105,0.223,Y
2016-2017,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,616,154,0.25,196,0.318,602,153,0.254,194,0.322,Y
2016-2017,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,902,14,1.55E-02,21,2.33E-02,874,13,1.49E-02,20,2.29E-02,Y
2016-2017,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,641,89,0.139,134,0.209,640,89,0.139,134,0.209,Y
2016-2017,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,573,101,0.176,124,0.216,562,101,0.18,124,0.221,Y
2016-2017,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,630,72,0.114,80,0.127,630,72,0.114,80,0.127,Y
2016-2017,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,677,36,5.32E-02,45,6.65E-02,677,36,5.32E-02,45,6.65E-02,Y
2016-2017,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,579,46,7.94E-02,59,0.102,579,46,7.94E-02,59,0.102,Y
2016-2017,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,563,101,0.179,114,0.202,561,101,0.18,114,0.203,Y
2016-2017,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,903,47,5.20E-02,68,7.53E-02,854,42,4.92E-02,62,7.26E-02,Y
2016-2017,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,635,125,0.197,161,0.254,635,125,0.197,161,0.254,Y
2016-2017,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,526,90,0.171,117,0.222,513,90,0.175,117,0.228,Y
2016-2017,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,1109,54,4.87E-02,65,5.86E-02,1109,54,4.87E-02,65,5.86E-02,Y
2016-2017,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,948,205,0.216,266,0.281,948,205,0.216,266,0.281,Y
2016-2017,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,691,225,0.326,293,0.424,691,225,0.326,293,0.424,Y
2016-2017,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1199,108,9.01E-02,141,0.118,1199,108,9.01E-02,141,0.118,Y
2016-2017,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1278,161,0.126,206,0.161,1278,161,0.126,206,0.161,Y
2016-2017,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1119,42,3.75E-02,54,4.83E-02,1119,42,3.75E-02,54,4.83E-02,Y
2016-2017,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,756,26,3.44E-02,37,4.89E-02,721,24,3.33E-02,35,4.85E-02,Y
2016-2017,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,673,58,8.62E-02,70,0.104,646,58,8.98E-02,70,0.108,Y
2016-2017,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,901,105,0.117,134,0.149,886,104,0.117,133,0.15,Y
