Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,5,0.152,5,0.152,28,3,0.107,3,0.107,Y
2018-2019,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,192,47,0.245,55,0.286,191,46,0.241,54,0.283,Y
2018-2019,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,484,279,0.576,305,0.63,470,274,0.583,300,0.638,Y
2018-2019,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,579,171,0.295,203,0.351,573,168,0.293,200,0.349,Y
2018-2019,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,494,191,0.387,236,0.478,494,191,0.387,236,0.478,Y
2018-2019,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,427,89,0.208,98,0.23,427,89,0.208,98,0.23,Y
2018-2019,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1767,346,0.196,371,0.21,1696,321,0.189,345,0.203,Y
2018-2019,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,352,Directly funded,Y,6,12,351,90,0.256,93,0.265,348,88,0.253,91,0.261,Y
2018-2019,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,202,182,0.901,191,0.946,178,160,0.899,168,0.944,Y
2018-2019,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,251,87,0.347,114,0.454,249,87,0.349,114,0.458,Y
2018-2019,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1261,452,0.358,498,0.395,1234,436,0.353,481,0.39,Y
2018-2019,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,96,50,0.521,52,0.542,75,39,0.52,41,0.547,Y
2018-2019,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,5,30,8,0.267,8,0.267,30,8,0.267,8,0.267,Y
2018-2019,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,469,54,0.115,60,0.128,469,54,0.115,60,0.128,Y
2018-2019,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,640,87,0.136,101,0.158,640,87,0.136,101,0.158,Y
2018-2019,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,335,62,0.185,70,0.209,335,62,0.185,70,0.209,Y
2018-2019,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,544,226,0.415,251,0.461,527,220,0.417,244,0.463,Y
2018-2019,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,872,119,0.136,134,0.154,872,119,0.136,134,0.154,Y
2018-2019,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,575,226,0.393,250,0.435,575,226,0.393,250,0.435,Y
2018-2019,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,397,159,0.401,181,0.456,384,156,0.406,176,0.458,Y
2018-2019,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,651,69,0.106,76,0.117,626,65,0.104,72,0.115,Y
2018-2019,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,610,54,8.85E-02,60,9.84E-02,610,54,8.85E-02,60,9.84E-02,Y
2018-2019,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,0.167,1,0.167,3,1,0.333,1,0.333,Y
2018-2019,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,8,4,0.5,4,0.5,6,3,0.5,3,0.5,Y
2018-2019,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1168,190,0.163,214,0.183,1135,181,0.159,205,0.181,Y
2018-2019,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,561,69,0.123,76,0.135,561,69,0.123,76,0.135,Y
2018-2019,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,862,160,0.186,190,0.22,862,160,0.186,190,0.22,Y
2018-2019,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,504,66,0.131,82,0.163,504,66,0.131,82,0.163,Y
2018-2019,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,573,173,0.302,191,0.333,541,167,0.309,185,0.342,Y
2018-2019,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,7,0.175,7,0.175,35,6,0.171,6,0.171,Y
2018-2019,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3154,739,0.234,823,0.261,3077,721,0.234,803,0.261,Y
2018-2019,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,47,36,0.766,37,0.787,45,35,0.778,36,0.8,Y
2018-2019,1,61143,138552,Alameda,Berkeley Unified,REALM Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,6,12,383,216,0.564,240,0.627,376,211,0.561,235,0.625,Y
2018-2019,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,989,208,0.21,249,0.252,989,208,0.21,249,0.252,Y
2018-2019,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,667,198,0.297,237,0.355,667,198,0.297,237,0.355,Y
2018-2019,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,449,88,0.196,98,0.218,449,88,0.196,98,0.218,Y
2018-2019,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,377,104,0.276,117,0.31,377,104,0.276,117,0.31,Y
2018-2019,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,320,104,0.325,110,0.344,320,104,0.325,110,0.344,Y
2018-2019,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,401,83,0.207,95,0.237,401,83,0.207,95,0.237,Y
2018-2019,1,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,398,109,0.274,125,0.314,379,102,0.269,118,0.311,Y
2018-2019,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,557,127,0.228,143,0.257,533,121,0.227,136,0.255,Y
2018-2019,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,497,248,0.499,297,0.598,497,248,0.499,297,0.598,Y
2018-2019,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,281,73,0.26,94,0.335,281,73,0.26,94,0.335,Y
2018-2019,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,403,135,0.335,154,0.382,403,135,0.335,154,0.382,Y
2018-2019,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,501,130,0.259,143,0.285,463,121,0.261,134,0.289,Y
2018-2019,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,110,0.259,129,0.304,425,110,0.259,129,0.304,Y
2018-2019,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,305,90,0.295,105,0.344,305,90,0.295,105,0.344,Y
2018-2019,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,2,0.143,2,0.143,13,2,0.154,2,0.154,Y
2018-2019,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,17,5,0.294,6,0.353,0,0,0,0,0,Y
2018-2019,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2834,520,0.183,629,0.222,2786,508,0.182,614,0.22,Y
2018-2019,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,14,2,0.143,2,0.143,14,2,0.143,2,0.143,Y
2018-2019,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,125,47,0.376,50,0.4,117,45,0.385,48,0.41,Y
2018-2019,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,506,187,0.37,233,0.46,468,181,0.387,225,0.481,Y
2018-2019,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,464,82,0.177,98,0.211,463,81,0.175,97,0.21,Y
2018-2019,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,781,145,0.186,185,0.237,781,145,0.186,185,0.237,Y
2018-2019,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,626,87,0.139,98,0.157,594,85,0.143,96,0.162,Y
2018-2019,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,490,135,0.276,169,0.345,490,135,0.276,169,0.345,Y
2018-2019,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,143,30,0.21,32,0.224,143,30,0.21,32,0.224,Y
2018-2019,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,511,74,0.145,90,0.176,510,74,0.145,90,0.176,Y
2018-2019,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,493,149,0.302,179,0.363,476,147,0.309,177,0.372,Y
2018-2019,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,436,56,0.128,61,0.14,436,56,0.128,61,0.14,Y
2018-2019,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1391,282,0.203,333,0.239,1391,282,0.203,333,0.239,Y
2018-2019,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,424,38,8.96E-02,47,0.111,424,38,8.96E-02,47,0.111,Y
2018-2019,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,209,155,0.742,170,0.813,205,152,0.741,167,0.815,Y
2018-2019,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,534,373,0.699,426,0.798,522,363,0.695,416,0.797,Y
2018-2019,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,9,0.184,9,0.184,40,7,0.175,7,0.175,Y
2018-2019,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,41,7,0.171,7,0.171,1,0,0,0,0,Y
2018-2019,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2448,411,0.168,492,0.201,2412,402,0.167,480,0.199,Y
2018-2019,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,176,91,0.517,102,0.58,146,77,0.527,87,0.596,Y
2018-2019,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,34,17,0.5,19,0.559,30,15,0.5,17,0.567,Y
2018-2019,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,152,Locally funded,N,K,12,368,96,0.261,118,0.321,354,93,0.263,114,0.322,Y
2018-2019,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2294,312,0.136,383,0.167,2270,304,0.134,374,0.165,Y
2018-2019,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1292,419,0.324,559,0.433,1259,408,0.324,546,0.434,Y
2018-2019,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2046,119,5.82E-02,138,6.74E-02,2029,116,5.72E-02,135,6.65E-02,Y
2018-2019,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1918,463,0.241,568,0.296,1870,450,0.241,552,0.295,Y
2018-2019,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,447,151,0.338,196,0.438,432,151,0.35,196,0.454,Y
2018-2019,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,717,222,0.31,286,0.399,698,218,0.312,282,0.404,Y
2018-2019,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,418,174,0.416,222,0.531,418,174,0.416,222,0.531,Y
2018-2019,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,481,173,0.36,214,0.445,481,173,0.36,214,0.445,Y
2018-2019,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,663,171,0.258,209,0.315,663,171,0.258,209,0.315,Y
2018-2019,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,517,139,0.269,162,0.313,501,135,0.269,158,0.315,Y
2018-2019,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,707,131,0.185,167,0.236,692,131,0.189,167,0.241,Y
2018-2019,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,857,36,4.20E-02,41,4.78E-02,833,31,3.72E-02,36,4.32E-02,Y
2018-2019,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,650,111,0.171,146,0.225,646,110,0.17,145,0.224,Y
2018-2019,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,589,90,0.153,117,0.199,574,90,0.157,116,0.202,Y
2018-2019,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,607,89,0.147,108,0.178,607,89,0.147,108,0.178,Y
2018-2019,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,655,50,7.63E-02,57,8.70E-02,655,50,7.63E-02,57,8.70E-02,Y
2018-2019,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,588,60,0.102,77,0.131,575,59,0.103,76,0.132,Y
2018-2019,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,570,110,0.193,132,0.232,570,110,0.193,132,0.232,Y
2018-2019,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,885,90,0.102,99,0.112,872,90,0.103,99,0.114,Y
2018-2019,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,786,153,0.195,182,0.232,755,150,0.199,179,0.237,Y
2018-2019,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,519,124,0.239,151,0.291,508,124,0.244,151,0.297,Y
2018-2019,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,1054,44,4.17E-02,54,5.12E-02,1054,44,4.17E-02,54,5.12E-02,Y
2018-2019,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,972,242,0.249,290,0.298,972,242,0.249,290,0.298,Y
2018-2019,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,727,229,0.315,308,0.424,727,229,0.315,308,0.424,Y
2018-2019,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1245,181,0.145,218,0.175,1245,181,0.145,218,0.175,Y
2018-2019,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1297,186,0.143,224,0.173,1297,186,0.143,224,0.173,Y
2018-2019,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1060,69,6.51E-02,81,7.64E-02,1060,69,6.51E-02,81,7.64E-02,Y
2018-2019,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,746,37,4.96E-02,45,6.03E-02,712,32,4.49E-02,40,5.62E-02,Y
2018-2019,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,708,86,0.121,93,0.131,679,81,0.119,88,0.13,Y
2018-2019,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,912,112,0.123,141,0.155,903,112,0.124,141,0.156,Y
