Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Y,1888,Locally funded,N,10,12,134,49,0.366,49,0.366,19,12,0.632,12,0.632,Y
2020-2021,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1383,Directly funded,Y,K,8,395,106,0.268,111,0.281,383,106,0.277,111,0.29,Y
2020-2021,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1296,Directly funded,Y,K,8,555,89,0.16,101,0.182,555,89,0.16,101,0.182,Y
2020-2021,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,N ,N/A,N/A,N,K,Adult,58,58,1,58,1,40,40,1,40,1,Y
2020-2021,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,N ,N/A,N/A,N,P,12,318,316,0.994,316,0.994,266,264,0.992,264,0.992,Y
2020-2021,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Y,352,Directly funded,Y,6,12,358,82,0.229,86,0.24,351,79,0.225,83,0.236,Y
2020-2021,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,1743,322,0.185,350,0.201,1690,304,0.18,332,0.196,Y
2020-2021,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,N ,N/A,N/A,N,9,12,170,61,0.359,64,0.376,166,60,0.361,63,0.38,Y
2020-2021,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Y,398,Directly funded,Y,9,12,167,135,0.808,154,0.922,145,118,0.814,135,0.931,Y
2020-2021,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,637,62,9.73E-02,65,0.102,610,58,9.51E-02,61,0.1,Y
2020-2021,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,583,54,9.26E-02,57,9.78E-02,583,54,9.26E-02,57,9.78E-02,Y
2020-2021,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,458,48,0.105,49,0.107,458,48,0.105,49,0.107,Y
2020-2021,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,N ,N/A,N/A,N,6,12,1199,386,0.322,405,0.338,1176,378,0.321,396,0.337,Y
2020-2021,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,610,82,0.134,90,0.148,610,82,0.134,90,0.148,Y
2020-2021,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,311,58,0.186,60,0.193,311,58,0.186,60,0.193,Y
2020-2021,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,63,37,0.587,37,0.587,36,18,0.5,18,0.5,Y
2020-2021,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,848,125,0.147,132,0.156,848,125,0.147,132,0.156,Y
2020-2021,1,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,518,190,0.367,201,0.388,511,189,0.37,200,0.391,Y
2020-2021,1,61119,139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,5,438,93,0.212,97,0.221,438,93,0.212,97,0.221,Y
2020-2021,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1066,Directly funded,Y,K,12,589,191,0.324,195,0.331,586,189,0.323,193,0.329,Y
2020-2021,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,12,0.375,12,0.375,28,11,0.393,11,0.393,Y
2020-2021,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,455,236,0.519,252,0.554,435,231,0.531,247,0.568,Y
2020-2021,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,1181,Directly funded,Y,6,8,439,192,0.437,251,0.572,439,192,0.437,251,0.572,Y
2020-2021,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1718,Directly funded,Y,K,5,303,120,0.396,160,0.528,303,120,0.396,160,0.528,Y
2020-2021,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,612,222,0.363,233,0.381,612,222,0.363,233,0.381,Y
2020-2021,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,394,133,0.338,151,0.383,394,133,0.338,151,0.383,Y
2020-2021,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,1182,169,0.143,181,0.153,1147,163,0.142,175,0.153,Y
2020-2021,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,840,139,0.165,148,0.176,840,139,0.165,148,0.176,Y
2020-2021,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,542,61,0.113,62,0.114,523,59,0.113,60,0.115,Y
2020-2021,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N ,N/A,N/A,N,10,12,3,1,0.333,1,0.333,2,0,0,0,0,Y
2020-2021,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,494,72,0.146,75,0.152,494,72,0.146,75,0.152,Y
2020-2021,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,2,0.167,2,0.167,10,2,0.2,2,0.2,Y
2020-2021,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,428,113,0.264,118,0.276,427,113,0.265,118,0.276,Y
2020-2021,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,387,90,0.233,97,0.251,387,90,0.233,97,0.251,Y
2020-2021,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,3257,739,0.227,795,0.244,3157,708,0.224,763,0.242,Y
2020-2021,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,10,12,32,23,0.719,23,0.719,30,22,0.733,22,0.733,Y
2020-2021,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,313,72,0.23,77,0.246,304,68,0.224,73,0.24,Y
2020-2021,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,308,81,0.263,86,0.279,308,81,0.263,86,0.279,Y
2020-2021,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,411,81,0.197,89,0.217,407,80,0.197,88,0.216,Y
2020-2021,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,291,79,0.271,82,0.282,291,79,0.271,82,0.282,Y
2020-2021,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,475,219,0.461,252,0.531,475,219,0.461,252,0.531,Y
2020-2021,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,488,117,0.24,121,0.248,476,112,0.235,116,0.244,Y
2020-2021,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,958,184,0.192,196,0.205,958,184,0.192,196,0.205,Y
2020-2021,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,19,0.373,19,0.373,44,15,0.341,15,0.341,Y
2020-2021,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,242,59,0.244,64,0.264,242,59,0.244,64,0.264,Y
2020-2021,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,419,82,0.196,84,0.2,411,78,0.19,80,0.195,Y
2020-2021,1,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,386,92,0.238,100,0.259,375,88,0.235,96,0.256,Y
2020-2021,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,362,105,0.29,118,0.326,362,105,0.29,118,0.326,Y
2020-2021,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,395,73,0.185,87,0.22,395,73,0.185,87,0.22,Y
2020-2021,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,634,129,0.203,141,0.222,634,129,0.203,141,0.222,Y
2020-2021,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,1359,281,0.207,309,0.227,1359,281,0.207,309,0.227,Y
2020-2021,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,474,151,0.319,170,0.359,453,149,0.329,166,0.366,Y
2020-2021,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2641,474,0.179,520,0.197,2610,463,0.177,509,0.195,Y
2020-2021,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,12,233,44,0.189,51,0.219,230,43,0.187,50,0.217,Y
2020-2021,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,458,71,0.155,83,0.181,458,71,0.155,83,0.181,Y
2020-2021,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,777,159,0.205,184,0.237,777,159,0.205,184,0.237,Y
2020-2021,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,629,72,0.114,90,0.143,605,70,0.116,88,0.145,Y
2020-2021,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,403,36,8.93E-02,40,9.93E-02,403,36,8.93E-02,40,9.93E-02,Y
2020-2021,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,491,140,0.285,161,0.328,491,140,0.285,161,0.328,Y
2020-2021,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,6,0.462,6,0.462,12,6,0.5,6,0.5,Y
2020-2021,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,139,27,0.194,27,0.194,139,27,0.194,27,0.194,Y
2020-2021,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,557,72,0.129,76,0.136,557,72,0.129,76,0.136,Y
2020-2021,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,108,41,0.38,44,0.407,98,38,0.388,41,0.418,Y
2020-2021,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,9,12,21,5,0.238,5,0.238,0,0,0,0,0,Y
2020-2021,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,489,137,0.28,151,0.309,477,136,0.285,150,0.314,Y
2020-2021,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,411,55,0.134,60,0.146,411,55,0.134,60,0.146,Y
2020-2021,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,8,494,342,0.692,384,0.777,486,338,0.695,379,0.78,Y
2020-2021,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,N ,N/A,N/A,N,9,12,204,153,0.75,171,0.838,200,149,0.745,167,0.835,Y
2020-2021,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2544,381,0.15,434,0.171,2519,374,0.148,427,0.17,Y
2020-2021,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,871,72,8.27E-02,79,9.07E-02,856,72,8.41E-02,79,9.23E-02,Y
2020-2021,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,631,180,0.285,208,0.33,603,174,0.289,202,0.335,Y
2020-2021,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,628,75,0.119,80,0.127,611,75,0.123,80,0.131,Y
2020-2021,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,380,180,0.474,207,0.545,365,177,0.485,203,0.556,Y
2020-2021,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,999,245,0.245,300,0.3,999,245,0.245,300,0.3,Y
2020-2021,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,152,Locally funded,Y,K,12,405,122,0.301,154,0.38,389,116,0.298,145,0.373,Y
2020-2021,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,427,134,0.314,166,0.389,427,134,0.314,166,0.389,Y
2020-2021,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,1022,63,6.16E-02,72,7.05E-02,1022,63,6.16E-02,72,7.05E-02,Y
2020-2021,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,592,35,5.91E-02,41,6.93E-02,592,35,5.91E-02,41,6.93E-02,Y
2020-2021,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,1056,356,0.337,431,0.408,1056,356,0.337,431,0.408,Y
2020-2021,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,708,184,0.26,219,0.309,708,184,0.26,219,0.309,Y
2020-2021,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,447,117,0.262,132,0.295,433,116,0.268,131,0.303,Y
2020-2021,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2382,301,0.126,359,0.151,2353,294,0.125,348,0.148,Y
2020-2021,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,725,127,0.175,149,0.206,714,127,0.178,149,0.209,Y
2020-2021,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,2,770,35,4.55E-02,41,5.32E-02,747,35,4.69E-02,41,5.49E-02,Y
2020-2021,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,446,168,0.377,198,0.444,431,165,0.383,194,0.45,Y
2020-2021,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,1393,463,0.332,587,0.421,1351,449,0.332,566,0.419,Y
2020-2021,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,492,61,0.124,70,0.142,492,61,0.124,70,0.142,Y
2020-2021,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,725,55,7.59E-02,59,8.14E-02,693,52,7.50E-02,56,8.08E-02,Y
2020-2021,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,1652,226,0.137,267,0.162,1652,226,0.137,267,0.162,Y
2020-2021,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,684,104,0.152,117,0.171,683,103,0.151,116,0.17,Y
2020-2021,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,680,48,7.06E-02,51,7.50E-02,680,48,7.06E-02,51,7.50E-02,Y
2020-2021,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,527,37,7.02E-02,42,7.97E-02,526,37,7.03E-02,42,7.98E-02,Y
2020-2021,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2063,136,6.59E-02,153,7.42E-02,2044,131,6.41E-02,148,7.24E-02,Y
2020-2021,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,559,54,9.66E-02,61,0.109,559,54,9.66E-02,61,0.109,Y
2020-2021,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,619,58,9.37E-02,71,0.115,606,56,9.24E-02,69,0.114,Y
2020-2021,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55,17,0.309,17,0.309,41,15,0.366,15,0.366,Y
2020-2021,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,479,88,0.184,99,0.207,479,88,0.184,99,0.207,Y
2020-2021,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,787,108,0.137,128,0.163,762,106,0.139,126,0.165,Y
2020-2021,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,922,79,8.57E-02,92,9.98E-02,906,79,8.72E-02,92,0.102,Y
2020-2021,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,746,130,0.174,150,0.201,731,129,0.176,149,0.204,Y
2020-2021,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,143,76,0.531,86,0.601,111,56,0.505,65,0.586,Y
2020-2021,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,523,87,0.166,96,0.184,523,87,0.166,96,0.184,Y
2020-2021,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,1278,192,0.15,220,0.172,1278,192,0.15,220,0.172,Y
